"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","relatedCatalogItem","occurrenceRemarks","barcode","phylum","order","typeStatus","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","class","dayIdentified","fieldNumber","individualCount"
"1","2020-09-24 10:58:18-03","UEPA","MFS-FLORES","MFSFL000006","S","Plantae","Meliaceae","Swietenia","macrophylla","Swietenia macrophylla","King","Silva, CAS da","Lucas, F.C.A.","01","2011","09","26","Brasil","Pará","Belém","Campus de Pesquisa do Museu Paraense Emílio Goeldi. Área de sub-bosque.","-48.490178","-1.455731","-48.490178","-1.455731","MFS000320","Árvore de até 70,00 m de altura. Flores pequenas de cor amarelada.","MFSFL000006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","54777","PreservedSpecimen","Plantae","Meliaceae","Swietenia","candollei","Swietenia candollei","Pittier",NA,"H. F. Pittier","5789","1913","01",NA,"Venezuela","Aragua",NA,"La Trinidad de Maracay",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=125739' target='other'> <mi>dwc_moreinfo</mi></a>","NY00054777","Magnoliophyta","Sapindales","isotype","South America","440","440","sheet","NY00054777_01",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","842275","PreservedSpecimen","Plantae","Meliaceae","Swietenia","krukovii","Swietenia krukovii","Gleason",NA,"B. A. Krukoff","5223","1933","07","15","Brazil","Acre","Tarauacá","Upper Rio Jurupary. On terra firma.","-70.7656","-8.1617",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=71619' target='other'> <mi>dwc_moreinfo</mi></a>","NY00842275","Magnoliophyta","Sapindales",NA,"South America",NA,NA,"separate fruit","NY00842275_01 NY00842275_02",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","842276","PreservedSpecimen","Plantae","Meliaceae","Swietenia","krukovii","Swietenia krukovii","Gleason",NA,"B. A. Krukoff","5223","1933","07","15","Brazil","Acre","Tarauacá","Upper Rio Jurupary. On terra firma.","-70.7656","-8.1617",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=956187' target='other'> <mi>dwc_moreinfo</mi></a>","NY00842276","Magnoliophyta","Sapindales",NA,"South America",NA,NA,"separate fruit","NY00842276_01",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","54778","PreservedSpecimen","Plantae","Meliaceae","Swietenia","krukovii","Swietenia krukovii","Gleason","Unspecified Determiner","B. A. Krukoff","5223","1933","07","15","Brazil","Acre","Feijó","Basin of Rio Juruá, upper Rio Jurupari (tributary of Rio Envira)","-69.87","-8.45",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=71614' target='other'> <mi>dwc_moreinfo</mi></a>","NY00054778","Magnoliophyta","Sapindales","holotype","South America",NA,NA,"sheet","NY00054778_01 NY00054778_02",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01142798","PreservedSpecimen","Plantae","Meliaceae","Swietenia","macrophylla","Swietenia macrophylla","King","B. T. Styles","G. A. Black","48-2353","1948","03","12","Brazil","Pará",NA,"Região do Rio Capim, Candirú-Assú.",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1585695' target='other'> <mi>dwc_moreinfo</mi></a>","NY01142798","Magnoliophyta","Sapindales",NA,"South America",NA,NA,"sheet","NY01142798_01",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1281631","PreservedSpecimen","Plantae","Meliaceae","Swietenia","macrophylla","Swietenia macrophylla","King","D. C. Daly","K. A. Kainer","103","1989","09","27","Brazil","Acre","Xapuri","Ser. Cachoeira, Col. Sao Luis, Sucam 37.","-68.5044","-10.6517",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1730860' target='other'> <mi>dwc_moreinfo</mi></a>","NY01281631","Magnoliophyta","Sapindales",NA,"South America",NA,NA,"sheet","NY01281631_01",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01142799","PreservedSpecimen","Plantae","Meliaceae","Swietenia","macrophylla","Swietenia macrophylla","King","B. T. Styles","P. B. Cavalcante","1443","1966","01",NA,"Brazil","Pará",NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1585750' target='other'> <mi>dwc_moreinfo</mi></a>","NY01142799","Magnoliophyta","Sapindales",NA,"South America",NA,NA,"sheet","NY01142799_01",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01142801","PreservedSpecimen","Plantae","Meliaceae","Swietenia","macrophylla","Swietenia macrophylla","King","B. T. Styles","R. de Lemos Fróes","20284","1943","08","26","Brazil","Pará",NA,"Tocantins, Marabá, rio Itacayuna.",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1585759' target='other'> <mi>dwc_moreinfo</mi></a>","NY01142801","Magnoliophyta","Sapindales",NA,"South America",NA,NA,"sheet","NY01142801_01",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","869555","PreservedSpecimen","Plantae","Meliaceae","Swietenia","macrophylla","Swietenia macrophylla","King","D. C. Daly","K. A. Kainer","103","1989","09","27","Brazil","Acre","Xapuri","Ser. Cachoeira, Col. Sao Luis, Sucam 37.","-68.5044","-10.6517",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1061217' target='other'> <mi>dwc_moreinfo</mi></a>","NY00869555","Magnoliophyta","Sapindales",NA,"South America",NA,NA,"sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","01142802","PreservedSpecimen","Plantae","Meliaceae","Swietenia","macrophylla","Swietenia macrophylla","King","J. A. Kallunki","C. A. Cid Ferreira","4872","1984","06","28","Brazil","Rondônia","Presidente Medici","BR 364, rodovia Cuiabá- Porto Velho, km 300, estrada para Alvorada do Oeste, km 24, linha 110","-62.63","-11.12",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1585809' target='other'> <mi>dwc_moreinfo</mi></a>","NY01142802","Magnoliophyta","Sapindales",NA,"South America",NA,NA,"separate fruit","NY01142802_01",NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","01142800","PreservedSpecimen","Plantae","Meliaceae","Swietenia","macrophylla","Swietenia macrophylla","King","B. T. Styles","J. M. Pires","51965","1961","09",NA,"Brazil","Pará",NA,"Vicinity of Belém.","-48.4555221","-1.2849922",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1585755' target='other'> <mi>dwc_moreinfo</mi></a>","NY01142800","Magnoliophyta","Sapindales",NA,"South America",NA,NA,"sheet","NY01142800_01",NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","02692461","PreservedSpecimen","Plantae","Meliaceae","Swietenia","macrophylla","Swietenia macrophylla","King",NA,"L. Biral","1086","2014","10","21","Brazil","São Paulo","Rio Claro","Cultivada no Campus da Unesp, em caminho entre o prédio central do IB e o herbário.","-47.9128","-22.6661",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2987600' target='other'> <mi>dwc_moreinfo</mi></a>","NY02692461","Magnoliophyta","Sapindales",NA,"South America",NA,NA,"sheet","NY02692461_01",NA,NA,NA,NA,NA,NA,NA,NA
