"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","geoFlag","continentOcean","preparationType","previousCatalogNumber","barcode","imagecode","class","typeStatus","eventTime","fieldNumber","infraspecificEpithet","individualCount","relatedCatalogItem"
"1","2019-06-10 10:10:51-03","FZB-BH","CVJBFZB","2460","S","Plantae","Magnoliophyta","Saxifragales","Haloragaceae","Laurembergia","tetrandra","Laurembergia tetrandra","(Schott) Kanitz","Carlos A. Ferreira Jr.","2012","09","12","Carlos Alberto F. Jr.; Albina, Fernado e Aparecida","CAF","2012","09","13","Brasil","Minas Gerais","Santana do Riacho","RPPN Brumas do Espinhaço e Ermo da Gerais, area tras do Pico do Brumoso próximo ao rio do quilombo.","-43.7144012451172","-19.1688995361328","19º 02' 07S","43º 41' 41W","26557","1233","1233","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:39:49-03","E","E","293096","PreservedSpecimen","Plantae",NA,NA,"Haloragaceae","Laurembergia","tetrandra","Laurembergia tetrandra",NA,NA,NA,NA,NA,"Harley, Raymond M.","26197","1988","11","18","BR","Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00293096 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:301538","E00293096",NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:39:49-03","E","E","293093","PreservedSpecimen","Plantae",NA,NA,"Haloragaceae","Laurembergia","tetrandra","Laurembergia tetrandra",NA,NA,NA,NA,NA,"Harley, Raymond M.","25875","1988","11","03","BR","Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00293093 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:301462","E00293093",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","569567","PreservedSpecimen","Plantae","Magnoliophyta","Saxifragales","Haloragaceae","Laurembergia","tetrandra","Laurembergia tetrandra","(Schott) Kanitz","D. C. Zappi",NA,NA,NA,"R. M. Harley","25875","1988","11","03","Brazil","Bahia","Rio de Contas","Pico das Almas. Vertente leste. Campo do Queiroz","-41.95","-13.53",NA,NA,NA,"1500","1500","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=635545' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"NY00569567","NY00569567_01",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00836936","PreservedSpecimen","Plantae","Magnoliophyta","Saxifragales","Haloragaceae","Laurembergia","tetrandra","Laurembergia tetrandra","(Schott) Kanitz","J. A. Kallunki",NA,NA,NA,"S. C. de Sant'Ana","716","1998","10","12","Brazil","Bahia","Canavieiras","Cerca de 19 km de Santa Luzia, na estrada que liga Santa Luzia/Canavieiras","-39.1978562","-15.5102246",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=195968' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"NY00836936","NY00836936_01",NA,NA,NA,NA,NA,NA,NA
"6","2016-09-29 20:08:00-03","NY","NYBG","687442","PreservedSpecimen","Plantae","Magnoliophyta","Saxifragales","Haloragaceae","Laurembergia","tetrandra","Laurembergia tetrandra",NA,"Dominguez-Vazquez",NA,NA,NA,"W. Hoehne","5851","1964","10","24","Brazil","Rio de Janeiro",NA,"Estrada Rio - Santos, km 5.",NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=875196' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"NY00687442","NY00687442_01",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","476610","PreservedSpecimen","Plantae","Magnoliophyta","Saxifragales","Haloragaceae","Laurembergia","tetrandra","Laurembergia tetrandra","(Schott) Kanitz","R. M. Harley",NA,NA,NA,"R. M. Harley","26197","1988","11","18","Brazil","Bahia","Rio de Contas","Pico das Almas. Vertente leste. na parte norte do vale abaixo do pico","-41.97","-13.53",NA,NA,NA,"1575","1600","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=635546' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"NY00476610","NY00476610_01",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","413608","PreservedSpecimen","Plantae","Magnoliophyta","Saxifragales","Haloragaceae","Serpicula","brasiliensis","Serpicula brasiliensis","Cambess.",NA,NA,NA,NA,"R. L. Liesner","24210","1988","05","04","Venezuela","Bolívar",NA,"Gran Sabana; San Ignacio de Yuruani","-61.17","5",NA,NA,NA,"850","850","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=499120' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"NY00413608",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","413596","PreservedSpecimen","Plantae","Magnoliophyta","Saxifragales","Haloragaceae","Serpicula","brasiliensis","Serpicula brasiliensis","Cambess.","J. A. Kallunki",NA,NA,NA,"H. S. Irwin","30697","1971","02","20","Brazil","Bahia","Morro do Chapéu","Extensive area of sandstone above the 100 m falls of the Rio Ferro Doido, ca. 18 km E. of Morro do Chapéu","-41.1558","-11.5503",NA,NA,NA,"1100","1100","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=499117' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"NY00413596","NY00413596_01",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","413603","PreservedSpecimen","Plantae","Magnoliophyta","Saxifragales","Haloragaceae","Serpicula","brasiliensis","Serpicula brasiliensis","Cambess.",NA,NA,NA,NA,"G. G. Hatschbach","47078","1983","10","20","Brazil","Bahia","Nova Viçosa","Rio Pau Velho","-39.3717","-17.8919",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=499126' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"NY00413603","NY00413603_01",NA,NA,NA,NA,NA,NA,NA
