"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","year","month","day","stateProvince","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","dayIdentified","class","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","951599","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Cassia","strictifolia","Cassia strictifolia","Benth.","type fragment","A. F. C. P. Saint-Hilaire","s.n.","South America","Brazil","[..ad Rio Santa Anna: A. de St. Hilaire from protologue].","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1063725' target='other'> <mi>dwc_moreinfo</mi></a>","NY00951599","NY00951599_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00978969","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","strictifolia","Chamaecrista strictifolia","(Benth.) H.S.Irwin & Barneby",NA,"R. M. Harley","25144","South America","Brazil","30 km da cidade na estrada para Salinas, ao N. do vale do rio Jequitinhonha","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1063682' target='other'> <mi>dwc_moreinfo</mi></a>","NY00978969","NY00978969_01","R. C. Barneby","1988","10","17","Minas Gerais","Grão Mogol","-42.63","-16.58","700","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00978970","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","strictifolia","Chamaecrista strictifolia","(Benth.) H.S.Irwin & Barneby",NA,"R. M. Harley","25144","South America","Brazil","30 km da cidade na estrada para Salinas, ao N. do vale do rio Jequitinhonha","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1063696' target='other'> <mi>dwc_moreinfo</mi></a>","NY00978970","NY00978970_01","R. C. Barneby","1988","10","17","Minas Gerais","Grão Mogol","-42.63","-16.58","700","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-12-20 21:17:17-03","UFV","VIC","45738","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Chamaecrista","strictifolia","Chamaecrista strictifolia","(Benth) . Irwin & Barneby",NA,"Harley, R.M.; et al.","25144",NA,"Brasil","30 Km. da cidade na estrada para Salinas, ao N. do, Cerrado.",NA,"Arbusto até 1,5 m.Folhas verde-amareladas, brilhantes com resina. Flores com sépalas verde-amareladas, pétalas amarelas.; Folhas verde-amareladas, brilhantes com resina. Flores com sépalas verde-amareladas, pétalas amarelas.; Arbusto a","VIC045738","VIC045738","Lewis, G.P.","1988","10","17","Minas Gerais","Grão Mogol","-42.8897018432617","-16.5594005584717",NA,NA,"1990","67219","auto",NA,NA,NA,NA,NA,NA,NA
"5","2019-11-27 13:48:38-03","UFS","ASE","38612","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Chamaecrista","strictifolia","Chamaecrista strictifolia","(Benth.) H.S.Irwin & Barneby",NA,"Bautista, HP; Ortiz, S,","2677","Southern America","Brasil","Serra do Espinhaço, BR 251, torre da televisão, 173 km de Salinas.",NA,"Arbusto 2,5m de altura, flores amarelas, frutos castanhos avermelhados.muito ornamental.abudante.; campo rupestre.","ASE0040071",NA,"Ortiz, S","1998","09","18","Minas Gerais","Grão Mogol","-42.434","-16.2447","820","820","2001",NA,NA,"04","-42.434","-16.2447",NA,NA,NA,NA
"6","2020-12-21 16:25:56-03","MBM","MBM","424055","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Chamaecrista","strictifolia","Chamaecrista strictifolia","(Benth.) H.S. Irwin & Barneby",NA,"Bautista, H.P.; Ortiz, S.; Ortiz, S.","2677","Southern America","Brazil","Serra do Espinhaço, BR-252, torre da televisão, 173km de Salinas",NA,"Arbusto 2,5m de altura, muito ornamental. Flores amarelas. Frutos castanho-avermelhados. Abundante.; Campo rupestre.","MBM424055",NA,"Queiroz, L.","1998","09","18","Minas Gerais","Grão Mogol","-42.727778","-16.413056","820","820","2001",NA,NA,"04","-42.727778","-16.413056",NA,NA,NA,NA
"7","2015-10-21 18:31:55-02","MNHN","RECOLNAT_MNHN_P","P00836117","PreservedSpecimen",NA,NA,NA,"Fabaceae","Cassia","strictifolia","Cassia strictifolia","Benth.","isolectotype","Saint-Hilaire, A. de",NA,NA,"Brésil","Rio, Santa- Anna","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00836117' target='other'> <mi>dwc_moreinfo</mi></a>","P00836117","P00836117_01","Barneby","1816",NA,NA,"Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2015-10-21 18:31:26-02","MNHN","RECOLNAT_MNHN_P","P00836116","PreservedSpecimen",NA,NA,NA,"Fabaceae","Chamaecrista","strictifolia","Chamaecrista strictifolia","(Benth.) H.S.Irwin & Barneby","lectotype","Saint-Hilaire, A. de",NA,NA,"Brésil","Rio, Santa- Anna","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00836116' target='other'> <mi>dwc_moreinfo</mi></a>","P00836116","P00836116_01","Barneby","1816",NA,NA,"Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2012-10-15 15:31:00-03","MNHN","RECOLNAT_MNHN_P","P00836118","PreservedSpecimen",NA,NA,NA,"Fabaceae","Chamaecrista","strictifolia","Chamaecrista strictifolia","(Benth.) H.S.Irwin & Barneby","isolectotype","Saint-Hilaire, A. de",NA,NA,"Brésil","Rio, Santa- Anna","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00836118' target='other'> <mi>dwc_moreinfo</mi></a>","P00836118","P00836118_01","Barneby","1816",NA,NA,"Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2017-06-07 15:13:24-03","MNHN","RECOLNAT_MNHN_P","P03084053","PreservedSpecimen",NA,NA,NA,"Fabaceae","Chamaecrista","strictifolia","Chamaecrista strictifolia","(Benth.) H.S.Irwin & Barneby",NA,"[Saint-Hilaire]",NA,NA,"Brasil","Rio Sta. Anna.","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03084053' target='other'> <mi>dwc_moreinfo</mi></a>","P03084053","P03084053_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"110",NA,NA,NA
