"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","typeStatus","class","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","503127","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","capensis","Xyris capensis","Thunb.","L. B. Smith","G. G. Hatschbach","15418","1966","12","13","South America","Brazil","Paraná","Palmas","S. Agostinho","-51.9906","-26.4844","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=587209' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503127","NY00503127_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","503126","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","capensis","Xyris capensis","Thunb.","L. B. Smith","L. B. Smith","14267","1965","01","05","South America","Brazil","Santa Catarina","Sao Joaquim","Near encruzilhada de Boava, 8 km south of Sao Joaquim","-49.93","-28.33","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=587212' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503126","NY00503126_01","1300","1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","503123","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","capensis","Xyris capensis multicaulis","L.A.Nilsson",NA,"A. F. Regnell","1275",NA,NA,NA,"South America","Brazil","Minas Gerais","Caldas","Caldas. Pedra branca, lagrimalsinho no pe da Pedreira da Coruna","-46.3858","-21.9236","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=159682' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503123","NY00503123_01",NA,NA,"multicaulis","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","503125","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","capensis","Xyris capensis","Thunb.","L. B. Smith","L. B. Smith","9066","1956","12","22","South America","Brazil","Santa Catarina","Pôrto Uniao","Campo northeast of Caçador","-51.0781","-26.2383","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=587211' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503125","NY00503125_01","1100","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","503128","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","capensis","Xyris capensis","Thunb.","R. Callejas Posada","M. Macedo","1447","1979","10","25","South America","Brazil","Mato Grosso","Nossa Senhora do Livramento","Fazenda Moqueiu, N. Sra. do Livramento, Cuiabá","-56.3456","-15.775","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=587208' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503128","NY00503128_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","503124","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","capensis","Xyris capensis","Thunb.","L. B. Smith","B. Rambo","30906","1946","01","10","South America","Brazil","Rio Grande do Sul","Sao Francisco de Paula","Vila Oliva. In paludosis","-50.890537","-29.219297","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=587210' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503124","NY00503124_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","503123","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","capensis","Xyris capensis multicaulis","L.A.Nilsson",NA,"A. F. Regnell","1275",NA,NA,NA,"South America","Brazil","Minas Gerais","Caldas","Caldas. Pedra branca, lagrimalsinho no pe da Pedreira da Coruna","-46.3858","-21.9236","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=159682' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503123","NY00503123_01",NA,NA,"multicaulis","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 10:21:02-03","NBC","NL-BOTANY","L.1425746","PreservedSpecimen","Plantae",NA,"Poales","Xyridaceae","Xyris","capensis","Xyris capensis","Thunb.",NA,"Hatschbach GG",NA,"1966","11","06","Southern America","Brazil",NA,NA,"Est. Paraná. Mun. Balsa Nova. Tamanduá.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1425746 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1425746","NL-L1425746",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 10:21:02-03","NBC","NL-BOTANY","WAG.1193893","PreservedSpecimen","Plantae",NA,"Poales","Xyridaceae","Xyris","capensis","Xyris capensis","Thunb.",NA,"Rambo B",NA,"1957","01","23","Southern America","Brazil",NA,NA,"Sta Catarina. Campo dos Padres p. Bom Retiro, in paludosis.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1193893 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1193893","NL-WAG1193893",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 10:21:02-03","NBC","NL-BOTANY","WAG.1193894","PreservedSpecimen","Plantae",NA,"Poales","Xyridaceae","Xyris","capensis","Xyris capensis","Thunb.",NA,"Hatschbach GG",NA,"1966","12","13","Southern America","Brazil",NA,NA,"Parana. Mun: Palmas. S. Agostinho.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1193894 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1193894","NL-WAG1193894",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
