"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","yearIdentified","monthIdentified","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","fieldNumber","typeStatus","individualCount","dayIdentified"
"1","2016-09-29 20:50:00-03","NY","NYBG","00861286","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Aristida","oligospira","Aristida oligospira","H. M. Longhi-Wagner","M. A. Chase","8891","1925","03","16","South America","Brazil","Minas Gerais","Antonio Justiniano, 17 km. South of Oliveira","875","875","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=932386' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861286","NY00861286_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:52:58-03","EAO","IAN","62747","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Aristida","oligospira","Aristida oligospira",NA,"Chase, A","10496","1930","01","06","Southern America","Brasil","Minas Gerais","Faria. Seraa de Bocaina",NA,NA,NA,NA,"IAN062747","IAN062747 IAN062747_e IAN062747_e1","Henr.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:52:58-03","EAO","IAN","90742","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Aristida","oligospira","Aristida oligospira","Longhi-Wagner, HM","Macêdo, A","4304","1956","02","10","Southern America","Brasil","Minas Gerais","Perto dos Pilões e Ponte do rio Cifuco.",NA,NA,NA,"Capim campestre. Inflorescência roxa.","IAN090742",NA,"Henr.","1988","10","Ituiutuba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:52:58-03","EAO","IAN","66844","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Aristida","oligospira","Aristida oligospira",NA,"Chase, A","10776","1930","02","11","Southern America","Brasil","Mato Grosso do Sul",NA,NA,NA,NA,NA,"IAN066844",NA,"Henr.",NA,NA,"Campo Grande","-54.6464004516602","-20.4428005218506","161190","auto",NA,NA,NA,NA,NA,NA,NA
"5","2019-10-09 11:28:49-03","UFBA","ALCB","038926","PreservedSpecimen","Plantae","Monocotyledon",NA,"Poaceae","Aristida","oligospira","Aristida oligospira","Reis, PA","Harley, RM; Atkins, S; Saar, E; Guedes, ML; Stannard, B; Passos Júnior, LA","PCD5561","1997","02","13","Southern America","Brasil","Bahia","Chapada Diamantina, Caminho para Abaíra","970","970",NA,"0,50 m, cespitosa, crescendo em áreas mais abertas. Ocasional.","ALCB020618","ALCB020618","(Hack.) Henrard","2014","09","Mucugê","-41.366667","-13",NA,NA,"-41.366667","-13",NA,NA,NA,NA,NA
"6","2020-02-08 10:16:09-03","NBC","NL-BOTANY","L.1215735","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Aristida","oligospira","Aristida oligospira",NA,"Pedersen TM",NA,"1972","12","04","Southern America","Argentina",NA,"Plantae Argentinenses. On teh steep banks of the gully formed by the Arroya Pegnahn. Estancia,,Las Tres Marias''. Dep. Empedrado. Prov. Corrientes.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1215735 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1215735","NL-L1215735","(Hack.) Henrard",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"7","2020-02-08 10:16:09-03","NBC","NL-BOTANY","L.1215737","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Aristida","oligospira","Aristida oligospira",NA,"Chase MA",NA,"1925","03","16","Southern America","Brazil",NA,"PLANTS OF BRAZIL. Antonio Justiniano, 17 km, south of Oliveira, Minas Geraes.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1215737 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1215737","NL-L1215737","(Hack.) Henrard",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"8","2020-02-08 10:16:09-03","NBC","NL-BOTANY","WAG.1820210","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Aristida","oligospira","Aristida oligospira",NA,"Pedersen TM",NA,"1972","12","04","Southern America","Argentina",NA,"Plantae Argentinenses. On teh steep banks of the gully formed by the Arroya Pegnahn. Estancia,,Las Tres Marias''. Dep. Empedrado. Prov. Corrientes.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1820210 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1820210","NL-WAG1820210","(Hack.) Henrard",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"9","2020-02-08 10:16:09-03","NBC","NL-BOTANY","WAG.1820211","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Aristida","oligospira","Aristida oligospira",NA,"Pedersen TM",NA,"1972","12","04","Southern America","Argentina",NA,"Plantae Argentinenses. On teh steep banks of the gully formed by the Arroya Pegnahn. Estancia,,Las Tres Marias''. Dep. Empedrado. Prov. Corrientes.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1820211 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1820211","NL-WAG1820211","(Hack.) Henrard",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"10","2020-12-20 21:18:53-03","UFV","VIC","3110","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","oligospira","Aristida oligospira",NA,"Chase, A.","10496","1930","01","06",NA,"Brasil","Minas Gerais","Serra da Bocaina, Campo; solo argiloso vermelho.",NA,NA,NA,NA,"VIC003110","VIC003110","(Hack.) Henrard",NA,NA,"Faria Lemos","-42.0297012329102","-20.8083000183105","14353","auto",NA,NA,NA,NA,NA,NA,NA
