"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","preparationType","occurrenceRemarks","barcode","imagecode","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","identifiedBy","yearIdentified","monthIdentified","dayIdentified","class","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","232468","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Piptocarpha","robusta","Piptocarpha robusta","G.M.Barroso","isotype","A. P. Duarte","9758","1966","05","08","South America","Brazil","Minas Gerais","Nova Venecia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=251190' target='other'> <mi>dwc_moreinfo</mi></a>","NY00232468","NY00232468_01 NY00232468_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1546597","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Piptocarpha","robusta","Piptocarpha robusta","G.M.Barroso","isotype","A. P. Duarte","9758[=herb. RB 131650]","1966","05","09","South America","Brazil","Espírito Santo","Nova Venécia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1897625' target='other'> <mi>dwc_moreinfo</mi></a>","NY01546597","NY01546597_01","Cristalino","-40.4006004333496","-18.710599899292","42400","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 11:02:10-03","ESALQ","ESA","106530","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Piptocarpha","robusta","Piptocarpha robusta",NA,NA,"Duarte, A.P.","9758.0","1966","05","08",NA,"Brasil","Espírito Santo","Nova Venécia",NA,NA,"ESA106530",NA,NA,"-40.4006004333496","-18.710599899292","42400","auto","Barroso, G.M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-30 11:23:46-03","UFES","VIES","46716","S","Plantae",NA,NA,"Asteraceae","Piptocarpha","robusta","Piptocarpha robusta","G.M.Barroso",NA,"Scheidegger, A.F.A.; Nichio-Amaral, R.; Dutra, S.C.; Oliveira, R.M.; Nepomuceno, A.","120","2019","10","17",NA,"Brasil","Espírito Santo","Conceição da Barra",NA,NA,"VIES046716","VIES046716","Trilha da Sede Abandonada. Floresta Nacional do Rio Preto","-39.7322006225586","-18.5932998657227","41644","auto","D.P. Volet","2020","09","30",NA,NA,NA,NA,NA,NA,NA
"5","2020-12-21 16:16:55-03","MBM","MBM","353496","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Piptocarpha","robusta","Piptocarpha robusta","G.M. Barroso","ISOTYPE","Duarte, A.P.","9758","1966","05","08","Southern America","Brazil","Espírito Santo","Nova Venécia",NA,NA,"MBM353496","MBM353496","Cristalino","-40.4006004333496","-18.710599899292","42400","auto","Barroso, G.M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-10-11 15:59:17-03","UESC","UESC","11739","S","Plantae","Angiospermae","Florideophycidae","Asteraceae","Piptocarpha","robusta","Piptocarpha robusta","G.M.Barroso",NA,"Paixão, J.L.,","1056","2006","08","18",NA,"Brasil","Bahia","Potiraguá",NA,"Mata Higrófila Sul Baiana.; Trepadeira, à ca. 15,0m alt.","UESC0011739",NA,NA,"-39.575","-15.203333",NA,NA,NA,NA,NA,NA,"Dicotyledoneae","39W34'30''","15S12'12''","315","315",NA,NA
"7","2020-09-02 18:20:50-03","MBML","MBML-HERBARIO","14471",NA,"Plantae",NA,NA,"Compositae","Piptocarpha","robusta","Piptocarpha robusta","G.M.Barroso",NA,"L. Kollmann; et al","3343","2000","11","22",NA,"Brasil","Espírito Santo","Barra de São Francisco",NA,"Trepadeira no sol. Inflorescência velha marrom.","MBML014471","MBML014471","Parque Municipal Sombra da Tarde","-40.890833","-18.738333",NA,NA,"D.P. Volet/09-08-2019",NA,NA,NA,NA,"40W53'27","18S44'18",NA,NA,NA,NA
"8","2020-07-16 18:37:25-03","MBML","MBML-HERBARIO","41612",NA,"Plantae",NA,NA,"Compositae","Piptocarpha","robusta","Piptocarpha robusta","G.M.Barroso",NA,"A. M. Assis; V. G. Demuner","1508","2008","04","25",NA,"Brasil","Espírito Santo","Nova Venécia",NA,"Escandente. Bracteas e pétalas verdes. Floresta Ombrofila Densa #?# estagio medio de regeneração.","MBML041612","MBML041612","Serra de Cima (Torre 98/3 - LT 230 Kv Mascarenhas x Verona)","-40.482222","-18.796333",NA,NA,"D.P. Volet/09-08-2019",NA,NA,NA,NA,"40W28'56","18S47'46,8","163","163",NA,NA
"9","2020-07-10 09:45:25-03","MBML","MBML-HERBARIO","47604",NA,"Plantae",NA,NA,"Compositae","Piptocarpha","robusta","Piptocarpha robusta","G.M.Barroso",NA,"A. M. Assis; K.F.O. Faria","1715","2008","07","16",NA,"Brasil","Espírito Santo","Colatina",NA,"Arbusto 3 m. Flores brancas. Floresta Estacional Semidecidual - estagio medio de regeneração","MBML047604","MBML047604","Boa Esperança (Torre 37/1 - LT 230 Kv Mascarenhas x Verona)","-40.656472","-19.287778",NA,NA,"D.P. Volet/09-08-2019",NA,NA,NA,NA,"40W39'23,3","19S17'16","205","205",NA,NA
"10","2020-07-10 09:45:25-03","MBML","MBML-HERBARIO","2254",NA,"Plantae",NA,NA,"Compositae","Piptocarpha","robusta","Piptocarpha robusta","G.M.Barroso",NA,"R. M. Pizziolo","180","1984","07","10",NA,"Brasil","Espírito Santo","Barra de São Francisco",NA,"Arbusto de 3m, flores brancas, melífera, solo escuro.","MBML002254","MBML002254","Boa Sorte","-40.8908004760742","-18.7549991607666","36480","auto","D.P. Volet/09-08-2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
