"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","phylum","infraspecificEpithet","continentOcean","imagecode","day","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","order","preparationType","typeStatus","fieldNumber","individualCount","class","sex"
"1","2020-06-29 11:30:14-03","UFRJ","RFA","17228","PreservedSpecimen","Plantae","Euphorbiaceae","Algernonia","brasiliensis","Algernonia brasiliensis","Baill.","L.J.S. Pinto","2014","01","13","P. Occhioni","7878","1976","01","Brasil","Rio de Janeiro","Guapimirim","Limoeiro, próximo a Serra dos Órgãos","-42.9818992614746","-22.5372009277344","21463","Arbusto de 3 m de altura; flor verde","RFA40610","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-08 17:38:17-03","EAO","IAN","25227","PreservedSpecimen","Plantae","Euphorbiaceae","Algernonia","brasiliensis","Algernonia brasiliensis cuneata","Müll.Arg.",NA,NA,NA,NA,"Lhotsky","s.n.",NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,"IAN025227",NA,"Dicotiledônea","cuneata","Southern America","IAN025227_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-08 17:38:17-03","EAO","IAN","25227","PreservedSpecimen","Plantae","Euphorbiaceae","Algernonia","brasiliensis","Algernonia brasiliensis cuneata","Müll.Arg.",NA,NA,NA,NA,"Lhotsky","s.n.",NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,"IAN025227",NA,"Dicotiledônea","cuneata","Southern America","IAN025227_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-02-08 21:32:06-03","UFBA","ALCB","122923","PreservedSpecimen","Plantae","Euphorbiaceae","Algernonia","brasiliensis","Algernonia brasiliensis","Baill.","Guedes, ML","2016","03",NA,"Alves, R","s/n","2016","02","Brasil","Bahia","Cairú","Ilha de Boipeba.","-39.033333","-13.483333",NA,"Folhas cartáceas, discolores. Fruto tricoca, imatura.","ALCB009919",NA,"Dicotyledon",NA,"Southern America","ALCB009919","24","-39.033333","-13.483333",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-02-15 11:39:22-02","IPA","IPA","55133","S","Plantae","Euphorbiaceae","Algernonia","brasiliensis","Algernonia brasiliensis","Baill.",NA,NA,NA,NA,"Emygdio, L.; Emmerich, M.; Emmerich, M.","3641","1972","10","Brasil","Rio de Janeiro",NA,"Niteroi, Saco São Francisco, morro do Xingú. Mata umbrófila.",NA,NA,NA,"Árvore mais ou menos 5 m de altura.","IPA0055133",NA,"Plantae",NA,"Southern America",NA,"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-01 16:29:31-03","UNICAMP","UEC","205770","S","Plantae","Euphorbiaceae","Algernonia","brasiliensis","Algernonia brasiliensis","Baill.","Külkamp, J","2019","08","25","Külkamp, J; Monge, M; Torres, FR","1066","2019","08","Brazil","Rio de Janeiro","Rio de Janeiro","Brasil, Rio de Janeiro, Rio de Janeiro.Parque Nacional da Tijuca.","-43.2075004577637","-22.9027996063232","57442","Nativa.Altura:4m.Comum ao longo da trilha.Hábito/Forma de Vida:Arbusto com tronco ereto, branco, látex branco, ramos secundários formando um ângulo de 90 graus com o tronco, fruto verde com tons avermelhados, estigma branco com papil","UEC166555","auto","Magnoliopsida",NA,NA,"UEC166555","24",NA,NA,"250","250",NA,NA,NA,NA,NA,NA,NA
"7","2020-06-29 09:30:14-03","UFRRJ","RBR","43689","S","Plantae","Euphorbiaceae","Algernonia","brasiliensis","Algernonia brasiliensis","Baill.","L.H. Soares",NA,NA,NA,"L.H. Soares",NA,"2013","10","Brasil","Rio de Janeiro","Rio de Janeiro","Est. do Sumaré. F34-75.","-43.215556","-22.934167",NA,NA,"RBR00043689",NA,NA,NA,NA,NA,"01","43º12'56''W","22º56'3''S",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-06-29 09:30:14-03","UFRRJ","RBR","43723","S","Plantae","Euphorbiaceae","Algernonia","brasiliensis","Algernonia brasiliensis","Baill.","T.P.P. Alverga",NA,NA,NA,"L.H. Soares",NA,"2014","06","Brasil","Rio de Janeiro","Rio de Janeiro","Taquaral. Inventário complementar P3-34.","-43.475278","-22.861667",NA,NA,"RBR00043723",NA,NA,NA,NA,NA,"05","43º28'31''W","22º51'42''S",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-06-29 09:30:14-03","UFRRJ","RBR","43798","S","Plantae","Euphorbiaceae","Algernonia","brasiliensis","Algernonia brasiliensis","Baill.","T.P.P. Alverga",NA,NA,NA,"J.H. Martins",NA,"2013","06","Brasil","Rio de Janeiro","Rio de Janeiro","Mangueira. P2/X5.","-43.234722","-22.901111",NA,NA,"RBR00043798",NA,NA,NA,NA,NA,"17","43º14'5''W","22º54'4''S",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-06-29 09:30:14-03","UFRRJ","RBR","11230","S","Plantae","Euphorbiaceae","Algernonia","brasiliensis","Algernonia brasiliensis","Baill.",NA,NA,NA,NA,"F.C. Nettesheim","84","2002","04","Brasil","Rio de Janeiro","Mangaratiba","'Ilha da Marambaia, Área da gruta da santa'","-44.040599822998","-22.9596996307373","17272",NA,"RBR00011230","auto",NA,NA,NA,NA,"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-06-29 09:30:14-03","UFRRJ","RBR","8000","S","Plantae","Euphorbiaceae","Algernonia","brasiliensis","Algernonia brasiliensis","Baill.",NA,NA,NA,NA,"L.F.T. Menezes","1083","2003","05","Brasil","Rio de Janeiro","Mangaratiba","'Ilha da Marambaia, caminho para a gruta da santa'","-44.040599822998","-22.9596996307373","17272",NA,"RBR00008000","auto",NA,NA,NA,NA,"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-12-21 16:24:03-03","MBM","MBM","282898","PreservedSpecimen","Plantae","Euphorbiaceae","Algernonia","brasiliensis","Algernonia brasiliensis","Baill.","Emmerich, M.",NA,NA,NA,"Emygdio, L.","452","1946","04","Brazil","Rio de Janeiro","Grajaú","Grajaú",NA,NA,NA,NA,"MBM282898",NA,NA,NA,"Southern America","MBM282898",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-12-21 16:24:03-03","MBM","MBM","282899","PreservedSpecimen","Plantae","Euphorbiaceae","Algernonia","brasiliensis","Algernonia brasiliensis","Baill.",NA,NA,NA,NA,"Emygdio, L.; et al.; et al.","3641","1972","10","Brazil","Rio de Janeiro","Niterói","Morro do Xingu","-43.1035995483398","-22.88330078125","14785",NA,"MBM282899","auto",NA,NA,"Southern America","MBM282899","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2019-11-01 15:33:06-03","PUC-RIO","FCAB","8152","PreservedSpecimen","Plantae","Euphorbiaceae","Algernonia","brasiliensis","Algernonia brasiliensis","Baill.","J.M.A. Braga",NA,NA,NA,"J.M. Freire; R.R. Oliveira; B.L. Rosendo","666","2010","06","Brasil","Rio de Janeiro","Camorim","Maciço da Pedra Branca 10.10","-42.825306","-22.681361",NA,"Árvore com 12 m de altura, com 36 cm de CAP.","FCAB008152",NA,NA,NA,NA,NA,"10","-42.825306","-22.681361",NA,NA,"Angiospermae",NA,NA,NA,NA,NA,NA
"15","2015-09-05 09:17:51-03","MNHN","RECOLNAT_MNHN_P","P05484410","PreservedSpecimen",NA,"Euphorbiaceae","Algernonia","brasiliensis","Algernonia brasiliensis","Baill.",NA,NA,NA,NA,"Glaziou, A.",NA,"1871","1","Brasil",NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05484410' target='other'> <mi>dwc_moreinfo</mi></a>","P05484410",NA,NA,NA,NA,"P05484410_01","1",NA,NA,NA,NA,NA,"hb",NA,NA,NA,NA,NA
"16","2015-09-26 12:57:32-03","MNHN","RECOLNAT_MNHN_P","P00716386","PreservedSpecimen",NA,"Euphorbiaceae","Algernonia","brasiliensis","Algernonia brasiliensis","Baill.",NA,NA,NA,NA,"Gaudichaud, C.",NA,"1834",NA,"Brésil",NA,NA,"Rio de Janeiro",NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00716386' target='other'> <mi>dwc_moreinfo</mi></a>","P00716386",NA,NA,NA,NA,"P00716386_01",NA,NA,NA,NA,NA,NA,"hb","holotype","1151",NA,NA,NA
"17","2015-09-26 12:57:38-03","MNHN","RECOLNAT_MNHN_P","P00716387","PreservedSpecimen",NA,"Euphorbiaceae","Algernonia","brasiliensis","Algernonia brasiliensis","Baill.",NA,NA,NA,NA,"Gaudichaud, C.",NA,"1834",NA,"Brésil",NA,NA,"Rio de Janeiro",NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00716387' target='other'> <mi>dwc_moreinfo</mi></a>","P00716387",NA,NA,NA,NA,"P00716387_01",NA,NA,NA,NA,NA,NA,"hb","isotype","1151",NA,NA,NA
