"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","yearIdentified","monthIdentified","dayIdentified","imagecode","coordinatePrecision","geoFlag","preparationType","individualCount","fieldNumber","continentOcean","typeStatus"
"1","2019-08-27 13:28:26-03","IAP","PACA-AGP","103386","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliatae","Caryophyllales","Amaranthaceae","Froelichiella","grisea","Froelichiella grisea","R. E. Fr.","Fank-de-Carvalho","Fank-de-Carvalho","124","2008","09","20","Brasil","GO","Alto Paraíso de Goiás","RPPN Cara Preta.","-47.51825","-14.008183","47°31.095'W","14°00.491'S","1509","1509","Confirmado por M.S. marcgioretto em 01.2009 Habitat: só encontrada na área campo limpo e úmido de Cerrado, solo arenoso e com rochas","PACA103386",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-08-27 13:28:26-03","IAP","PACA-AGP","103395","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliatae","Caryophyllales","Amaranthaceae","Froelichiella","grisea","Froelichiella grisea","R. E. Fr.","Fank-de Carvelho","Fank-de-Carvalho","119 a-b","2008","06","29","Brasil","GO","Alto Paraíso de Goiás","RPPN Cara Preta.","-47.517617","-14.00845","47°31.057'W","14°00.507'S",NA,NA,"Confirmado por M.S. Marchioretto em 01.2009 Habitat: só encontrada em área de campo limpo e úmido de Cerrado, solo arenoso e com rochas","PACA103395",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-08-27 13:28:26-03","IAP","PACA-AGP","116299","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliatae","Caryophyllales","Amaranthaceae","Froelichiella","grisea","Froelichiella grisea","R. E. Fr.","Marchioretto, M.S.","Verdi, M.","7341","2014","11","26","Brasil","GO","Cavalcante","Parque Nacional da Chapada dos Veadeiros, Pouso Alto","-47.494444","-13.943056","47º29'40''W","13º56'35''S","1462","1462","altura: 40 cm; área recentemente queimada Habitat: em solo arenoso úmido, cerrado, campo limpo Hábito: arbusto","PACA116299","2017","03","06",NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-08-27 13:28:26-03","IAP","PACA-AGP","85786","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliatae","Caryophyllales","Amaranthaceae","Froelichiella","grisea","Froelichiella grisea","R. E. Fr.","M.S. Marchioretto","M.L. Fonseca","585","1995","09","26","Brasil","GO","Alto Paraíso","Parque Nacional Chapada dos Veadeiros",NA,NA,NA,NA,NA,NA,"erva heliófita, pilosa, botões florais branco-amarronzados; Habitat: no cerrado queimado, sobre morro pedregoso","PACA085786","1999","01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-01 16:21:15-03","UNICAMP","UEC","157270","S","Plantae","Magnoliopsida",NA,NA,"Amaranthaceae","Froelichiella","grisea","Froelichiella grisea","R.E.Fr.","Fank-de-Carvalho, SM","Fank-de-Carvalho, SM; Emery, E; Name, K","124","2008","09","20","Brazil","Goiás","Alto Paraíso de Goiás","RPPN Cara Preta, Folha: SD-23Y-A","-47.516944","-14.002222","-47.516944","-14.002222","1509","1509","Erva 0,2-0,4m alt. Inflorescência terminal sem folhas involucrais, brácteas verde-avermelhadas, anteras amarelas ou avermelhadas. Folhas mucronadas, verde discolores. Caule ereto, piloso, esbranquiçado. Parte subterrânea bem desenvolvi","UEC008104","2008","09",NA,"UEC008104",NA,NA,NA,NA,NA,NA,NA
"6","2019-11-01 15:33:01-03","PUC-RIO","FCAB","6919","PreservedSpecimen","Plantae",NA,NA,"Angiospermae","Amaranthaceae","Froelichiella","grisea","Froelichiella grisea","R.E.Fr.","Fank de Carvalho, S.M.","S.M.F. Carvalho; Emery, E.; Name Khesller","124","2008","09","20","Brasil","Goiás","Alto Paraíso de Goiás","RPPN Cara Preta, Folha: SD-23-Y-A. Solo arenoso com rochas próximas. vegetação campo limpo de cerrado.","-47.516944","-14.002222","-47.516944","-14.002222","1509","1509","Erva de 0,20-0,40m altura. Inflorescência terminal sem folhas involucrais, brácteas verde-avermelhadas, anteras amarelas ou avermelhadas. Folhas nucronadas, verdes discolores. Caule ereto, pilosos, esbranquiçado. Parte subterrânea bem des","006919","2008","09",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-11-01 15:27:48-03","PUC-RIO","FCAB","6079","PreservedSpecimen","Plantae",NA,NA,"Angiospermae","Amaranthaceae","Froelichiella","grisea","Froelichiella grisea","R.E.Fr.",NA,"A.P. Duarte","9433","1967",NA,NA,"Brasil","Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,"006079","2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-11-01 15:27:48-03","PUC-RIO","FCAB","5710","PreservedSpecimen","Plantae",NA,NA,"Angiospermae","Amaranthaceae","Froelichiella","grisea","Froelichiella grisea","R.E.Fr.",NA,"C. Munhoz; N. Rodrigues; K.M.O. Ramos","1903","2000","09","02","Brasil","Goiás","Alto Paraíso de Goiás","Fazenda Água Fria, cerca de 10km em direção a Tere","-47.5099983215332","-14.1324996948242",NA,NA,"1448","1448","&nf;; Erva com cerca de 30 cm. Botões novos amarelos. Rasteira. Muito frequente.; Campo limpo úmido, borda de cerrado rupestre e mata de galeria. Solo arenoso.","005710",NA,NA,NA,NA,"44724","auto",NA,NA,NA,NA,NA
"9","2019-11-01 15:27:48-03","PUC-RIO","FCAB","5709","PreservedSpecimen","Plantae",NA,NA,"Angiospermae","Amaranthaceae","Froelichiella","grisea","Froelichiella grisea","R.E.Fr.",NA,"C. Munhoz; N. Rodrigues; K.M.O. Ramos","1904","2000","09","02","Brasil","Goiás","Alto Paraíso de Goiás","Fazenda Água Fria","-47.5099983215332","-14.1324996948242",NA,NA,NA,NA,"Erva com cerca de 30 cm. Botões novos avermelhados. Rasteira. Raízes tuberosas.","005709",NA,NA,NA,NA,"44724","auto",NA,NA,NA,NA,NA
"10","2019-11-01 15:27:48-03","PUC-RIO","FCAB","5713","PreservedSpecimen","Plantae",NA,NA,"Angiospermae","Amaranthaceae","Froelichiella","grisea","Froelichiella grisea","R.E.Fr.",NA,"C. Munhoz; N. Rodrigues; K.M.O. Ramos","1979","2000","09","23","Brasil","Goiás","Alto Paraíso de Goiás","Fazenda Água Fria","-47.5099983215332","-14.1324996948242",NA,NA,NA,NA,"Cerca de 30 cm. Flores velhas. Muito frequente.","005713",NA,NA,NA,NA,"44724","auto",NA,NA,NA,NA,NA
