"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","phylum","order","recordNumber","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-04-05 14:33:50-03","UNESC","CRI","12644","PreservedSpecimen","Plantae","Orchidaceae","Bifrenaria","aureofulva","Bifrenaria aureofulva","(Hook.) Lindl.","Peterson T. Padilha & Renato Colares","2017","09","18","Alexandre Medeiros","2017","07","25","Brasil","Santa Catarina","Balneário Camboriú","Laranjeiras.","-48.593333","-27.006944","48º35'36''W","27º0'25''S","Coleta 527. Flor amarela. Habito: Rupícola","CRI010858","CRI010858",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","687054","PreservedSpecimen","Plantae","Orchidaceae","Bifrenaria","aureofulva","Bifrenaria aureofulva","(Hook.) Lindl.","A. L. V. Toscano de Brito",NA,NA,NA,"R. M. Harley","1992","03","24","Brazil","Bahia","Abaíra","Campo do Ouro Fino","-41.9","-13.25",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=852654' target='other'> <mi>dwc_moreinfo</mi></a>","NY00687054","NY00687054_01","Magnoliophyta","Asparagales","53331","South America","1600","1700","sheet",NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","686269","PreservedSpecimen","Plantae","Orchidaceae","Bifrenaria","aureofulva","Bifrenaria aureofulva","(Hook.) Lindl.","S. Koehler",NA,NA,NA,"F. C. Hoehne","1918","03","04","Brazil","São Paulo",NA,"Alto da Serra",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=830276' target='other'> <mi>dwc_moreinfo</mi></a>","NY00686269","NY00686269_01","Magnoliophyta","Asparagales","1598","South America",NA,NA,"sheet",NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","686267","PreservedSpecimen","Plantae","Orchidaceae","Bifrenaria","aureofulva","Bifrenaria aureofulva","(Hook.) Lindl.","S. Koehler",NA,NA,NA,"P. K. H. Dusén","1909","01","04","Brazil","Paraná",NA,"Banhado",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=830272' target='other'> <mi>dwc_moreinfo</mi></a>","NY00686267","NY00686267_01","Magnoliophyta","Asparagales","7678","South America",NA,NA,"sheet",NA,NA,NA,NA,NA,NA
"5","2021-02-18 09:30:23-03","UNESP-IBB","BOTU","6582","PreservedSpecimen","Plantae","Orchidaceae","Stenocoryne","secunda","Stenocoryne secunda","Hoehne","Amaral Jr., A.","1972","01","21","Amaral Jr., A.","1972","01","21","Brasil","São Paulo","Botucatu","Faxinal",NA,NA,"9999","9999",NA,"BOTU006582",NA,NA,NA,"1389",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-12-12 15:31:46-03","UFABC","HUFABC","000928","PreservedSpecimen","Plantae","Orchidaceae","Bifrenaria","aureofulva","Bifrenaria aureofulva","Lindl.",NA,NA,NA,NA,"Brólio, P; Neto, G; Sakane, M","1988","06","06","Brasil","São Paulo","São Paulo",NA,"-46.6300010681152","-23.5400009155273",NA,NA,"Planta em cultivo na Coleção do Orquidário Frederico Hoehne do Instituto de Botânica de São Paulo sob o número de identificação Ibt15685, coletada em 2018 por Moraes, A. P.","HUFABC000928","HUFABC000928","Angiospermas",NA,"s.n.",NA,NA,NA,NA,"53584","auto",NA,NA,NA,NA
"7","2019-12-04 15:26:31-03","PUCPR","HUCP","21013","S","Plantae","Orchidaceae","Bifrenaria","aureofulva","Bifrenaria aureofulva","(Hook.) Lindl.","Lemos, JV",NA,NA,NA,"Lemos, JV","2008","02","24","Brasil","Paraná","Pontal do Paraná","Rio Guaraguaçu","-48.511100769043","-25.6735992431641",NA,NA,NA,"HUCP00002940","HUCP00002940","Monocotiledonea",NA,"059",NA,NA,NA,NA,"19508","auto",NA,NA,NA,NA
"8","2020-02-08 08:46:01-03","NBC","NL-BOTANY","U.1457936","PreservedSpecimen","Plantae","Orchidaceae","Bifrenaria","aureofulva","Bifrenaria aureofulva","Lindl.",NA,NA,NA,NA,"Lindeman JC","1953","12","11","Surinam",NA,NA,"Flora Surinamensis. Jodensavanne-Mapane kreek area (Suriname R.) In small savanne-wood N. of camp 12.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1457936 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1457936","NL-U1457936",NA,"Asparagales",NA,"Southern America",NA,NA,NA,NA,NA,"Magnoliopsidae","U 0205437",NA,NA
"9","2020-11-04 12:17:23-03","ESALQ","ESA","35797","PreservedSpecimen","Plantae","Orchidaceae","Bifrenaria","aureo-fulva","Bifrenaria aureo-fulva",NA,NA,NA,NA,NA,"Souza, J.P. et al.","1996","12","16","Brasil","São Paulo","Cunha",NA,"-44.9599990844727","-23.0699996948242",NA,NA,NA,"ESA035797","ESA035797","Magnoliophyta",NA,"966.0",NA,NA,NA,NA,"38855","auto",NA,NA,NA,NA
"10","2020-11-04 12:17:23-03","ESALQ","ESA","38585","PreservedSpecimen","Plantae","Orchidaceae","Bifrenaria","aureo-fulva","Bifrenaria aureo-fulva","(Hook.) Lindl.","Forster, W.",NA,NA,NA,"Bertoncini, A.P. et al.","1996","12","13","Brasil","São Paulo","Cunha",NA,"-44.9599990844727","-23.0699996948242",NA,NA,NA,"ESA038585",NA,"Magnoliophyta",NA,"754.0",NA,NA,NA,NA,"38855","auto",NA,NA,NA,NA
"11","2020-11-04 12:17:23-03","ESALQ","ESA","18842","PreservedSpecimen","Plantae","Orchidaceae","Bifrenaria","aureo-fulva","Bifrenaria aureo-fulva","(Hook.) Lindl.","Forster, W.",NA,NA,NA,"Souza, V.C. et al.","1995","03","09","Brasil","Minas Gerais","Ouro Branco",NA,"-43.6918983459473","-20.5207996368408",NA,NA,NA,"ESA018842",NA,"Magnoliophyta",NA,"8011.0",NA,NA,NA,NA,"13809","auto",NA,NA,NA,NA
"12","2020-11-04 12:17:23-03","ESALQ","ESA","75812","PreservedSpecimen","Plantae","Orchidaceae","Bifrenaria","secunda","Bifrenaria secunda","(Vell.) Pabst",NA,NA,NA,NA,"Meireles, L.D.; Gonçalves, A.P.S.; Soares Jr., F.J.; Meneghetti, G.I.P.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Gandolfi, S.; Souza, J.P.; Ivanauskas, N.M.; Furlan, E.","2001","04","12","Brasil","São Paulo","São Paulo","BLOQUEADO","-46.6300010681152","-23.5400009155273",NA,NA,"Epífita a ca. 4m alt. Flores alaranjadas. Mata de encosta.","ESA075812","ESA075812","Magnoliophyta",NA,"106.0",NA,"700","700",NA,"53584","auto",NA,NA,NA,NA
"13","2021-03-31 13:40:42-03","MN","R","36210","PreservedSpecimen","Plantae","Orchidaceae","Bifrenaria","aureofulva","Bifrenaria aureofulva","Lindl.","Koehler, S.","2002","05",NA,"Sampaio, A.J.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
