"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","infraspecificEpithet","typeStatus","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","1280634","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Erythroxylaceae","Erythroxylum","pulchrum","Erythroxylum pulchrum","A.St.-Hil.","J. L. da Costa Lima","R. D. Ribeiro","1308","2009","10","16","South America","Brazil","Rio de Janeiro","Petrópolis","Região do belvedere, Pedra Branca.","-43.1786","-22.505","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1615729' target='other'> <mi>dwc_moreinfo</mi></a>","NY01280634","NY01280634_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","393294","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Erythroxylaceae","Erythroxylum","pulchrum","Erythroxylum pulchrum","A.St.-Hil.","A. Amaral","J. P. L. Sobrinho","1592","1967","10","17","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Guanabara, Tijuca, Estr. das Furnas","-43.2075","-22.9031","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=260788' target='other'> <mi>dwc_moreinfo</mi></a>","NY00393294","NY00393294_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1181441","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Erythroxylaceae","Erythroxylum","pulchrum","Erythroxylum pulchrum","A.St.-Hil.",NA,"R. D. Ribeiro","1056","2008","12","06","South America","Brazil","Rio de Janeiro","Rio das Ostras","Mar do Norte. Balneário das Garças, área com remanescentes sobre morrotes.","-41.9447","-22.5269","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1370086' target='other'> <mi>dwc_moreinfo</mi></a>","NY01181441","NY01181441_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","03075465","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Erythroxylaceae","Erythroxylum","pulchrum","Erythroxylum pulchrum","A.St.-Hil.",NA,"J. Braga","3553","1996","10","09","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Recreio dos Bandeirantes, Prainha, Área de Proteção Ambiental da Prainha, topo do morro da Boa Vista.","-43.2075","-22.9031","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3301648' target='other'> <mi>dwc_moreinfo</mi></a>","NY03075465","NY03075465_01","350","350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","393295","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Erythroxylaceae","Erythroxylum","pulchrum","Erythroxylum pulchrum","A.St.-Hil.","O. E. Schulz","L. Riedel","390","1833","08",NA,"South America","Brazil","Rio de Janeiro","Rio de Janeiro","Corcovado","-43.212076","-22.951842","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=260790' target='other'> <mi>dwc_moreinfo</mi></a>","NY00393295","NY00393295_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","393291","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Erythroxylaceae","Erythroxylum","pulchrum","Erythroxylum pulchrum","A.St.-Hil.","M. I. Bezerra Loiola","L. Riedel",NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=260789' target='other'> <mi>dwc_moreinfo</mi></a>","NY00393291","NY00393291_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1039083","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Erythroxylaceae","Erythroxylum","pulchrum","Erythroxylum pulchrum","A.St.-Hil.","J. O. Mendonça","C. Farney","2214","1983","12","20","South America","Brazil","Rio de Janeiro","Saquarema","Restinga de Ipitangas.","-42.5103","-22.9203","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1481622' target='other'> <mi>dwc_moreinfo</mi></a>","NY01039083","NY01039083_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00997460","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Erythroxylaceae","Erythroxylum","pulchrum","Erythroxylum pulchrum","A.St.-Hil.","J. L. da Costa Lima","J. G. Jardim","2859","2000","02","24","South America","Brazil","Bahia","Santa Teresinha","14,5 km na rod. Elísio Medrado/ Sta. Teresinha. Toree da Embratel, ca. 7 km do Distr. de Pedra Branca. Serra da Giboia.","-39.4758","-12.8536","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1178367' target='other'> <mi>dwc_moreinfo</mi></a>","NY00997460","NY00997460_01","750","750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1737892","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Erythroxylaceae","Erythroxylum","pulchrum","Erythroxylum pulchrum","A.St.-Hil.","J. L. da Costa Lima","B. S. Amorim","1406","2012","01","24","South America","Brazil","Alagoas","Quebrangulo","REBIO Pedra Talhada. Mata próximo à Pedra Talhada.","-36.4710998535156","-9.31888961791992","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1946908' target='other'> <mi>dwc_moreinfo</mi></a>","NY01737892","NY01737892_01",NA,NA,"16583","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","393290","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Erythroxylaceae","Erythroxylum","pulchrum","Erythroxylum pulchrum","A.St.-Hil.","T. C. Plowman","T. C. Plowman","13940","1985","02","14","South America","Brazil","Rio de Janeiro","Cabo Frio","4 km. south of Barra do Sao Joao on highway (RJ-106) to Cabo Frio. Remnants of restinga woodland between the highway and the sea (east of road). Near sea level","-42.0183","-22.8794","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=260787' target='other'> <mi>dwc_moreinfo</mi></a>","NY00393290","NY00393290_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
