"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","identifiedBy","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","imagecode","phylum","continentOcean","relatedCatalogItem","typeStatus"
"1","2021-03-24 17:09:22-03","UFES","SAMES","8229","PreservedSpecimen","Plantae","Malpighiaceae","Stigmaphyllon","crenatum","Stigmaphyllon crenatum","C.E.Anderson","Pinto Junior,H.V.; W.S.Justiuno.;T.Sperandio.;Menezes,L.F.T.","407","2018","03","22","Brasil","Espírito Santo","Vila Pavão","PEDRA DO VIADINHO.","-40.611400604248","-18.6149997711182","-405558333.0","-186230556.0","19647","Folhas verdes, flores amarelas, sol, habitando ilha de vegetação inselberg granítico.","SAMES08229","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-04-27 16:10:21-03","UFES","VIES","28586","S","Plantae","Malpighiaceae","Stigmaphyllon","crenatum","Stigmaphyllon crenatum","C.E.Anderson","de Paula, L.F.A.; L.O. Azevedo; R. C. Forzza","888","2016","03","11","Brasil","Espírito Santo","Pancas","Pedra da Colina.","-40.876667","-19.231111","40º52'36''W","19º13'52''S",NA,NA,"VIES028586",NA,"L.F.A. de Paula","2016","03","11","745","745","VIES028586",NA,NA,NA,NA
"3","2020-04-27 16:10:21-03","UFES","VIES","35782","S","Plantae","Malpighiaceae","Stigmaphyllon","crenatum","Stigmaphyllon crenatum","C.E.Anderson","Pellegrini, M.O.O.; Oliveira, J.A. & Forzza, R.C.","361","2013","04","22","Brasil","Minas Gerais","Nova Belém","Serra do Pitengo.","-41.0167007446289","-18.4750003814697",NA,NA,"17402",NA,"VIES035782","auto","Amorim, A.","2015","06","12","685","685","VIES035782",NA,NA,NA,NA
"4","2020-12-11 11:37:42-03","UFMG","BHCB","188103","PreservedSpecimen","Plantae","Malpighiaceae","Stigmaphyllon","crenatum","Stigmaphyllon crenatum","C.E.Anderson","Machado, TM; Couto, DR; Paixão-Souza, B; Kessous, I","672","2014","08","25","Brasil","Espírito Santo","Nova Venécia","Serra de Cima, Pedra atrás do sítio Wandrea na estrada entre Nova Venécia e Colatina","-40.4725","-18.7825","-40.4725","-18.7825",NA,"Planta escandente. Folhas discolores, flores amarelas.; em inselberg crescendo em moita de encholirium e espalhando sobre a rocha.","BHCB188103",NA,NA,"2019",NA,NA,"205","205",NA,"Dicotyledon","Southern America",NA,NA
"5","2020-07-10 09:47:10-03","MBML","MBML-HERBARIO","26688",NA,"Plantae","Malpighiaceae","Stigmaphyllon","crenatum","Stigmaphyllon crenatum","C. Anderson","V. Demuner; L.F.S. Magnago, M. Belizário, Elias Bausen","1638","2006","01","18","Brasil","Espírito Santo","Marilândia","Liberdade (Água.Viva, Pedra do Cruzeiro), Prop.: Aguilar A. Lovucini","-40.551111","-19.348333","40W33'4","19S20'54",NA,"Arbusto 2m, botões florais, flores amarelas, frutos verdes para vinho. Solo raso, sobre rocha, (Cruzeiro a gruta).","MBML026688",NA,"C. Anderson/2009",NA,NA,NA,"150","150","MBML026688",NA,NA,NA,NA
"6","2020-07-10 09:47:10-03","MBML","MBML-HERBARIO","27661",NA,"Plantae","Malpighiaceae","Stigmaphyllon","crenatum","Stigmaphyllon crenatum","C.Anderson","L. F. S. Magnago; V. Demuner, T. Cruz, Elias Bausen","1612","2006","11","29","Brasil","Espírito Santo","Águia Branca","Rochedo, área de afloramento rochoso, propr.: Ailton Corteleti.","-40.798611","-18.944167","40W47'55","18S56'39",NA,"Arbusto 60cm de alt. Flores amarelas. Vegetação Rupestre.","MBML027661",NA,"André M. Amorim/2008",NA,NA,NA,"300","300","MBML027661",NA,NA,NA,NA
"7","2020-07-10 09:47:10-03","MBML","MBML-HERBARIO","28454",NA,"Plantae","Malpighiaceae","Stigmaphyllon","crenatum","Stigmaphyllon crenatum","C.Anderson","L. F. S. Magnago; V. Demuner, T. Cruz, Elias Bausen","1348","2006","09","06","Brasil","Espírito Santo","Águia Branca","Rochedo, área de afloramento rochoso, propr.: Ailton Corteleti.","-40.798611","-18.944167","40W47'55","18S56'39",NA,"Arbusto 1,5m de alt. Flores amarelas. Vegetação rupestre.","MBML028454",NA,"André M. Amorim/2008",NA,NA,NA,"300","300","MBML028454",NA,NA,NA,NA
"8","2020-07-10 09:47:10-03","MBML","MBML-HERBARIO","35045",NA,"Plantae","Malpighiaceae","Stigmaphyllon","crenatum","Stigmaphyllon crenatum","C. Anderson","L. Kollmann; A.P. Fontana & K. Brahim","10908","2008","04","18","Brasil","Espírito Santo","Colatina","Sapucaia, Alto Moacir, terreno do Laulau, 500m.","-40.554722","-19.341111","40W33'17","19S20'28",NA,"Erva escandente 2m, rupestre no sol, pétalas amarelas. Fruto avermelhado.","MBML035045",NA,"R.F. Almeida/X-2012",NA,NA,NA,NA,NA,"MBML035045",NA,NA,NA,NA
"9","2020-07-10 09:47:10-03","MBML","MBML-HERBARIO","37108",NA,"Plantae","Malpighiaceae","Stigmaphyllon","crenatum","Stigmaphyllon crenatum","C.E. Anderson","A. P. Fontana; L. Kollmann & K. A. Brahim","5033","2008","04","14","Brasil","Espírito Santo","Santa Leopoldina","Rio das Farinhas, beira da estrada próximo do mata burro, afloramento rochoso granítico.","-40.624778","-20.134944","40W37'29,2","20S8'5,8",NA,"Epífita a 10cm, sobre Velloziaceae, no sol. Flores lilás com labelo com base até o meio com calos brancos. Vide ÁlcoolCult.DNA","MBML037108",NA,"R.F. Almeida/X-2012",NA,NA,NA,"624","624","MBML037108",NA,NA,NA,NA
"10","2020-07-10 09:47:10-03","MBML","MBML-HERBARIO","37852",NA,"Plantae","Malpighiaceae","Stigmaphyllon","crenatum","Stigmaphyllon crenatum","C. Anderson","L. Kollmann; & E.Leme","11761","2009","07","06","Brasil","Minas Gerais","Caraí","afloramento rochoso","-41.341111","-17.171111","41W20'28","17S10'16",NA,"Arbusto rupícola ao sol, flores amarelas, frutos vermelhos.","MBML037852",NA,"R.F. Almeida/X-2012",NA,NA,NA,"865","865","MBML037852",NA,NA,NA,NA
