"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","year","month","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","recordNumber","day","stateProvince","county","decimalLongitude","decimalLatitude","identifiedBy","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","dayIdentified","fieldNumber","individualCount","relationshipType","relatedCatalogItem","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","318849","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Aniseia","hastata","Aniseia hastata","Meisn.","possible type","L. Riedel","1833","11","South America","Brazil","Prov. Tarebate?","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=239155' target='other'> <mi>dwc_moreinfo</mi></a>","NY00318849","NY00318849_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01922742","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","fimbriosepala","Ipomoea fimbriosepala","Choisy",NA,"L. O. A. Teixeira","1982","06","South America","Brazil","Estrada Humaitá-Jacarecanga, km 150, a 62 km ao Sul.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2150125' target='other'> <mi>dwc_moreinfo</mi></a>","NY01922742","NY01922742_01","1333","23","Amazonas","Humaitá","-63.0208","-7.50611",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01922743","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","fimbriosepala","Ipomoea fimbriosepala","Choisy",NA,"S. H. K. Keel","1977","11","South America","Brazil","Lago Muru-muru, region Janauacá.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2150126' target='other'> <mi>dwc_moreinfo</mi></a>","NY01922743","NY01922743_01","325","26","Amazonas",NA,"-60.3","-3.42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-01-06 11:42:06-03","UFPI-MRV","HDELTA","4236","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Ipomoea","fimbriosepala","Ipomoea fimbriosepala","Choisy",NA,"Pereira, V.S.; Carvalho, A.S.","2015","09",NA,"Brasil","Pontal do Anel",NA,"<ll>dwc_commonname:</ll> Salsa (jetirana)","HDELTA004236",NA,"86","12","Piauí","Luis Correia","-41.6669006347656","-2.87916994094849","Lemos, J.R.","59685","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-13 09:19:22-03","UFRJ","RFA","9548","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Ipomoea","fimbriosepala","Ipomoea fimbriosepala","Choisy",NA,"G.G. Hatschbach","1970","02",NA,"Brasil",NA,NA,"Volúvel, flor lilás","RFA28116",NA,"23703","17","Mato Grosso do Sul","Terenos","-54.8602981567383","-20.4421997070312","J.I. Falcão","52758","auto","1970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-24 17:10:36-03","UTFPR","DVPR","1303","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Convolvulaceae","Ipomoea","fimbriosepala","Ipomoea fimbriosepala","Choisy",NA,"Moura, APC","2012","01",NA,"Brasil","Comunidade São Cristóvão",NA,"Cipó, veg.","DVPR001303",NA,"s.n.","04","Paraná","Dois Vizinhos","-53.057201385498","-25.7336006164551","Moura, APC","19637","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:13:22-03","UFBA","ALCB","47814","PreservedSpecimen","Plantae","Dicotyledon",NA,"Convolvulaceae","Ipomoea","fimbriosepala","Ipomoea fimbriosepala","Choisy",NA,"Oliveira, RP de; Santos, TR; Rios, L","2000","04","Southern America","Brasil","Arroz de Baixo, ca. 11km da cidade, Fazenda do Sr. Júlio. Brejo perto do Rio Preto.",NA,"com caúles volúveis. Folhas verdes-claras. Cálice verde-claro ou vináceo claro. Corola e brácteas lilases, o tubo internamente roxo, estames e estiletes brancos.",NA,NA,"500","04","Bahia","Formosa do Rio Preto","-45.271944","-11.060278","Staples, G",NA,NA,"2016","05","-45.271944","-11.060278","531","531",NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 10:34:20-03","NBC","NL-BOTANY","U.1227315","PreservedSpecimen","Plantae",NA,"Solanales","Convolvulaceae","Ipomoea","fimbriosepala","Ipomoea fimbriosepala","Choisy",NA,"Keel S; Anazildo","1977","11","Southern America","Brazil","Brazilian Amazonia, Lago Muru muru region Janauaca.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1227315 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1227315","NL-U1227315",NA,"26",NA,NA,"-60.3","-3.416667",NA,NA,NA,NA,NA,"-60.3","-3.416667",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"9","2020-02-08 10:34:20-03","NBC","NL-BOTANY","U.1228076","PreservedSpecimen","Plantae",NA,"Solanales","Convolvulaceae","Ipomoea","fimbriosepala","Ipomoea fimbriosepala","Choisy",NA,"Cristóbal CL; et al.","1977","05","Southern America","Argentina","Prov. Chaco dep. Bermejo. Isla Brasilera.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1228076 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1228076","NL-U1228076",NA,"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"10","2020-02-08 10:34:20-03","NBC","NL-BOTANY","U.1228077","PreservedSpecimen","Plantae",NA,"Solanales","Convolvulaceae","Ipomoea","fimbriosepala","Ipomoea fimbriosepala","Choisy",NA,"Tressens SG; Cáceres S; Vanni RO; Zamudio C","1989","11","Southern America","Argentina","Prov. Corrientes dep. Mercedes Laguna Ibera Paso Picada reserva natural provincial del Ibera.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1228077 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1228077","NL-U1228077",NA,"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
