"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","continentOcean","country","locality","occurrenceRemarks","barcode","imagecode","phylum","infraspecificEpithet","identifiedBy","yearIdentified","monthIdentified","dayIdentified","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","recordNumber","minimumElevationInMeters","maximumElevationInMeters","typeStatus"
"1","2020-02-08 08:46:19-03","NBC","NL-BOTANY","L.1515464","PreservedSpecimen","Plantae","Magnoliopsidae","Asparagales","Orchidaceae","Grobya","fascifera","Grobya fascifera","Rchb.f.","Hatschbach GG","1961","05","07","Southern America","Brazil","Est. Parana, Mun. Morretes, Pilão de Pedra.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1515464 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1515464","NL-L1515464",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-08-27 13:26:35-03","IAP","PACA-AGP","677","PreservedSpecimen","Plantae","Liliatae","Orchidales","Orchidaceae","Grobya","bibrachiata","Grobya bibrachiata var. riograndensis","Pabst","C. Orth SJ","1933","09","04",NA,"Brasil",NA,"Habitat: In silva, epiphytica Fenofase: flor","PACA000677",NA,"Magnoliophyta","var. riograndensis","G. Pabst","1954","09","03","RS","Osório","-50.2696990966797","-29.8866996765137","27350","auto",NA,NA,NA,NA,NA,NA
"3","2019-08-27 13:26:35-03","IAP","PACA-AGP","117842","PreservedSpecimen","Plantae","Liliatae","Orchidales","Orchidaceae","Grobya","fascifera","Grobya fascifera","Rchb. f.","Cunha, S.","2011","04","23",NA,"Brasil",NA,"Hábito: epífita","PACA117842",NA,"Magnoliophyta",NA,"Silva, V. L.","2011","04","30","RS","Três Cachoeiras","-49.913158","-29.417928",NA,NA,"49º54'47.37''W","29º25'04.54''S",NA,NA,NA,NA
"4","2016-07-05 11:14:18-03","FFCLRP","LBMBP","1245","S","Plantae",NA,NA,"Orchidaceae","Grobya","fascifera","Grobya fascifera","Rchb.f.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E.R.Pansarin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-11-21 14:40:45-03","UFJF","CESJ","67727","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Grobya","fascifera","Grobya fascifera","Rchb.f.","E. Caglioni; et al.","2015","03","25","América do Sul","Brasil","Parque Botânico Morro do Baú, Floresta Ombrófila Densa","Epífito com flores amarelas listradas com róseo. Florescimento em cultivo.","CESJ067727",NA,"Angiosperma",NA,"E. Caglioni",NA,NA,NA,"Santa Catarina","Ilhota","-48.9308","-26.799808",NA,NA,"-48.9308","-26.799808","533","810","810",NA
"6","2020-10-14 10:04:09-03","FURB","FURB","43990","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Grobya","fascifera","Grobya fascifera","Rchb.f.","Caetano, J.O.","2014","04","08",NA,"Brasil","Rua Holanda, acima do local de extração de macadame.",NA,"FURB04794","FURB04794",NA,NA,"Caetano, JO","2014","04",NA,"Santa Catarina","Benedito Novo","-49.4177778","-26.8002778",NA,NA,"-49.4177778","-26.8002778","70","579","579",NA
"7","2020-10-14 10:04:09-03","FURB","FURB","53426","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Grobya","fascifera","Grobya fascifera","Rchb.f.","Funez, L.A.; E. Caglioni, A.V. Rodrigues, A. Schneiders, F.L.V. Bones","2017","04","17",NA,"Brasil","Baú.","Flores amareladas Habitat: Floresta Habito: Epífita","FURB53426","FURB53426",NA,NA,"L.A. Funez","2017","04","25","Santa Catarina","Ilhota","-48.9302778","-26.8013889",NA,NA,"-48.9302778","-26.8013889","6206","758","758",NA
"8","2020-12-09 14:47:24-03","FURB","FURB","66526","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Grobya","fascifera","Grobya fascifera","Rchb.f.","Kassner-Filho, A.","2020","06","26",NA,"Brasil","Fazenda Schacht.","flor amarela, listras castanho Habitat: interior do fragmento Habito: epífita","FURB66526","FURB66526",NA,NA,"Kassner-Filho, A.","2020","06","26","Santa Catarina","Ibirama","-49.5622222","-26.9483333",NA,NA,"-49.5622222","-26.9483333","5714","613","613",NA
"9","2020-12-21 16:38:30-03","MBM","MBM","49630","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Grobya","fascifera","Grobya fascifera","Rchb.","Hatschbach, G.","1963","05","05","Southern America","Brazil","Serra da Lapinha","Epífita.","MBM049630","MBM049630",NA,NA,"Pabst, G.",NA,NA,NA,"Paraná","Campina Grande do Sul","-49.0553016662598","-25.3055992126465","55154","auto",NA,NA,"10056",NA,NA,NA
"10","2020-12-21 16:38:30-03","MBM","MBM","49629","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Grobya","fascifera","Grobya fascifera","Rchb.","Hatschbach, G.","1961","05","07","Southern America","Brazil","Pilão de Pedra","Epífita.","MBM049629","MBM049629",NA,NA,"Pabst, G.",NA,NA,NA,"Paraná","Morretes","-48.834400177002","-25.476900100708","30514","auto",NA,NA,"8014",NA,NA,NA
