"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","recordNumber","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","barcode","imagecode","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","typeStatus"
"1","2019-06-10 10:10:40-03","FZB-BH","CVJBFZB","303","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","echinata","Aechmea echinata","(Leme) Leme","Elton. C. M. Leme","2011","08","Elton M. C. Leme; Pedro Nahoum; A. Amorim; Jones Caldas da Silva","1995","04","04","Brasil","Bahia","Uruçuca","Estrada Serra Grande-Itacaré","-39.2844009399414","-14.5930995941162","33791","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","585825","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","echinata","Aechmea echinata","(Leme) Leme","H. E. Luther",NA,NA,"J. G. Jardim","1997","10","17","Brazil","Bahia","Itacaré","Ca. 15.5 km da BR-101 na Rodovia para Itacaré. Torre da EMBRATEL, ca. 7 km da entrada","-39.2713273","-14.4201153",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=546115' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"1148","South America","550","550","sheet","NY00585825","NY00585825_01",NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","684484","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","echinata","Aechmea echinata","(Leme) Leme","W. W. Thomas",NA,NA,"W. W. Thomas","2002","08","04","Brazil","Bahia","Itacaré","10 km W of jct. road from Ilhéus to Itacaré (BA 001) on road from Itacaré to BR 101, then 1.6 km S on fazenda road to Reserva Fazenda Capitao","-39.0885","-14.345",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=546117' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"13059","South America","125","125","sheet","NY00684484","NY00684484_01",NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00110689","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Wittrockia","echinata","Wittrockia echinata","Leme","W. W. Thomas",NA,NA,"W. W. Thomas","1995","05","08","Brazil","Bahia","Uruçuca","7.4 km north of Serra Grande on road to Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz","-39.0606","-14.4233",NA,NA,"Site: SG <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2775444' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"10819","South America",NA,NA,"sheet","NY00110689","NY00110689_01",NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","517943","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Wittrockia","echinata","Wittrockia echinata","Leme","W. W. Thomas",NA,NA,"W. W. Thomas","1995","05","08","Brazil","Bahia","Uruçuca","7.4 km north of Serra Grande on road to Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz","-39.0606","-14.4233",NA,NA,"Site: SG <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=110601' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"10819","South America",NA,NA,"sheet","NY00517943","NY00517943_01",NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","416433","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Wittrockia","echinata","Wittrockia echinata","Leme",NA,NA,NA,"W. W. Thomas","2000","10","03","Brazil","Bahia","Uruçuca","Serra Grande forest, 7.3 km N of Serra Grande on old road to Itacaré","-39.0617","-14.4231",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=110603' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"12212","South America",NA,NA,"sheet","NY00416433","NY00416433_01 NY00416433_02",NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01874107","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Wittrockia","echinata","Wittrockia echinata","Leme","E. M. C. Leme",NA,NA,"W. W. Thomas","1992","05","07","Brazil","Bahia","Uruçuca","7.3 km N of Serra Grande on rd to Itacaré.","-39.0617","-14.4231",NA,NA,"Site: SG <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=110598' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"9191","South America",NA,NA,"sheet","NY01874107","NY01874107_01",NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01874108","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Wittrockia","echinata","Wittrockia echinata","Leme","E. M. C. Leme",NA,NA,"W. W. Thomas","1992","05","07","Brazil","Bahia","Uruçuca","7.3 km N of Serra Grande on rd to Itacaré.","-39.0617","-14.4231",NA,NA,"Site: SG <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=110597' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"9191","South America",NA,NA,"sheet","NY01874108","NY01874108_01",NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","517227","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Wittrockia","echinata","Wittrockia echinata","Leme","L. B. Smith",NA,NA,"A. M. V. de Carvalho","1991","07","01","Brazil","Bahia","Uruçuca","Distrito de Serra Grande. 7.3 km na estrada Serra Grande/Itacaré, Fazenda Lagoa do Conjunto Fazenda Santa Cruz","-39.0617","-14.4231",NA,NA,"Site: SG <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=110602' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"3360","South America",NA,NA,"sheet","NY00517227","NY00517227_01",NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","110690","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Wittrockia","echinata","Wittrockia echinata","Leme","W. W. Thomas",NA,NA,"W. W. Thomas","1995","05","08","Brazil","Bahia","Uruçuca","7.4 km north of Serra Grande on road to Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz","-39.0606","-14.4233",NA,NA,"Site: SG <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=110600' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"10819","South America",NA,NA,"fluid-preserved","NY00110690",NA,NA,NA,NA,NA,NA
