"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","phylum","maximumElevationInMeters","imagecode","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","typeStatus","fieldNumber","individualCount","previousCatalogNumber"
"1","2016-09-27 19:39:00-03","NY","NYBG","1581324","PreservedSpecimen","Plantae","Fabales","Fabaceae","Chamaecrista","viscosa","viscosa","Chamaecrista viscosa viscosa","(Kunth) H.S.Irwin & Barneby","R. C. Barneby","O. Huber","9318","1984","03","31","South America","Venezuela","Bolívar","Piar","En la región del Río Cucurital medio, al W del frente occidental del Auyantepui","-62.72","5.85","420","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1886759' target='other'> <mi>dwc_moreinfo</mi></a>","NY01581324",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","823331","PreservedSpecimen","Plantae","Fabales","Fabaceae","Chamaecrista","viscosa","major","Chamaecrista viscosa major","(Benth.) H.S.Irwin & Barneby","A. O. de Souza","J. G. Jardim","3552","2001","04","16","South America","Brazil","Bahia","Carinhanha","Rod. para Cocos, 13 km W da cidade.","-43.8669","-14.2292","480","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=940217' target='other'> <mi>dwc_moreinfo</mi></a>","NY00823331","Magnoliophyta","480","NY00823331_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1581335","PreservedSpecimen","Plantae","Fabales","Fabaceae","Chamaecrista","viscosa","major","Chamaecrista viscosa major","(Benth.) H.S.Irwin & Barneby",NA,"J. C. Lindeman","6678","1954","11","20","South America","Guyana",NA,NA,"Corantyne R., Oreala savanna",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1887617' target='other'> <mi>dwc_moreinfo</mi></a>","NY01581335","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1581303","PreservedSpecimen","Plantae","Fabales","Fabaceae","Chamaecrista","viscosa","viscosa","Chamaecrista viscosa viscosa","(Kunth) H.S.Irwin & Barneby",NA,"H. H. Rusby","1125","1917","08","01","South America","Colombia","Huila",NA,"Cordillera Oriental, East of Neiva",NA,NA,"200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1886580' target='other'> <mi>dwc_moreinfo</mi></a>","NY01581303","Magnoliophyta","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1581326","PreservedSpecimen","Plantae","Fabales","Fabaceae","Chamaecrista","viscosa","major","Chamaecrista viscosa major","(Benth.) H.S.Irwin & Barneby",NA,"R. H. Schomburgk","156",NA,NA,NA,"South America","Guyana",NA,NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1887506' target='other'> <mi>dwc_moreinfo</mi></a>","NY01581326","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1581347","PreservedSpecimen","Plantae","Fabales","Fabaceae","Chamaecrista","viscosa","paraguayensis","Chamaecrista viscosa paraguayensis","(Chodat & Hassl.) H.S.Irwin & Barneby","R. C. Barneby","J. B. E. Pohl","1829",NA,NA,NA,"South America","Brazil",NA,NA,"Aquaquente",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1887762' target='other'> <mi>dwc_moreinfo</mi></a>","NY01581347","Magnoliophyta",NA,"NY01581347_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1581302","PreservedSpecimen","Plantae","Fabales","Fabaceae","Chamaecrista","viscosa","viscosa","Chamaecrista viscosa viscosa","(Kunth) H.S.Irwin & Barneby",NA,"H. García-Barriga","17051","1959","01",NA,"South America","Colombia",NA,NA,"Llanos Orientales: La Macarena (Parte Sur). Rio Guayabero",NA,NA,"235","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1886578' target='other'> <mi>dwc_moreinfo</mi></a>","NY01581302","Magnoliophyta","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1581301","PreservedSpecimen","Plantae","Fabales","Fabaceae","Chamaecrista","viscosa","viscosa","Chamaecrista viscosa viscosa","(Kunth) H.S.Irwin & Barneby",NA,"T. C. Plowman","4258","1974","09","15","South America","Colombia","Meta",NA,"Northeast end of Sierra de la Macarena. El Tablazo",NA,NA,"671","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1886575' target='other'> <mi>dwc_moreinfo</mi></a>","NY01581301","Magnoliophyta","732",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1581300","PreservedSpecimen","Plantae","Fabales","Fabaceae","Chamaecrista","viscosa","viscosa","Chamaecrista viscosa viscosa","(Kunth) H.S.Irwin & Barneby",NA,"E. P. Killip","16264","1926","12","29","South America","Colombia","Santander",NA,"Upper Río Lebrija valley, northwest of Bucaramanga",NA,NA,"400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1886574' target='other'> <mi>dwc_moreinfo</mi></a>","NY01581300","Magnoliophyta","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","470777","PreservedSpecimen","Plantae","Fabales","Fabaceae","Chamaecrista","viscosa","major","Chamaecrista viscosa major","(Benth.) H.S.Irwin & Barneby","R. C. Barneby","L. Riedel","160","1831",NA,NA,"South America","Brazil",NA,NA,"Sissis Paracatu",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=250996' target='other'> <mi>dwc_moreinfo</mi></a>","NY00470777","Magnoliophyta",NA,"NY00470777_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
