"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","year","month","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","day","continentOcean","preparationType","previousCatalogNumber","occurrenceRemarks","typeStatus","recordNumber","phylum","order","locality","minimumElevationInMeters","maximumElevationInMeters","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-04-05 14:34:14-03","UNESC","CRI","2839","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","utilis","Daphnopsis utilis","Warm.","Nevling","1966","J. G. Kuhlmann","1933","07","Brasil","Rio de Janeiro","Rio de Janeiro","-43.257778","-22.970278","43º15'28''W","22º58'13''S","CRI007822","CRI007822",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:43:56-03","E","E","324049","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","utilis","Daphnopsis utilis",NA,NA,NA,"Harley, R.M.; Stannard, B.; Nic Lughadha, E.; Queiroz, R.F.","1992","02","BR",NA,NA,NA,NA,NA,NA,"E00324049",NA,"15","E. Tropical South America","herbarium specimen of unspecif","BGBASE:326591","<a href=http://data.rbge.org.uk/herb/E00324049 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:43:56-03","E","E","161256","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","utilis","Daphnopsis utilis",NA,NA,NA,"Ibáñez García, A. & Bridgewater, S.","1996","10","BR",NA,NA,NA,NA,NA,NA,"E00161256",NA,"23","E. Tropical South America","herbarium specimen of unspecif","BGBASE:168662","<a href=http://data.rbge.org.uk/herb/E00161256 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:43:56-03","E","E","324041","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","utilis","Daphnopsis utilis",NA,NA,NA,"Harley, R.M.; Stannard, B.; Nic Lughadha, E.; Queiroz, R.F.","1992","02","BR",NA,NA,NA,NA,NA,NA,"E00324041",NA,"15","E. Tropical South America","herbarium specimen of unspecif","BGBASE:326566","<a href=http://data.rbge.org.uk/herb/E00324041 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:43:56-03","E","E","324176","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","utilis","Daphnopsis utilis",NA,NA,NA,"Stannard, B.; Queiroz, R.F.","1992","02","BR",NA,NA,NA,NA,NA,NA,"E00324176",NA,"19","E. Tropical South America","herbarium specimen of unspecif","BGBASE:327077","<a href=http://data.rbge.org.uk/herb/E00324176 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:43:56-03","E","E","313899","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","utilis","Daphnopsis utilis",NA,NA,NA,"Glaziou, M.A.",NA,NA,"BR",NA,NA,NA,NA,NA,NA,"E00313899",NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:336985","<a href=http://data.rbge.org.uk/herb/E00313899 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","isotype","17747",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:43:56-03","E","E","324040","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","utilis","Daphnopsis utilis",NA,NA,NA,"Sano, P.T.; Laessoe, T.","1992","03","BR",NA,NA,NA,NA,NA,NA,"E00324040",NA,"04","E. Tropical South America","herbarium specimen of unspecif","BGBASE:326565","<a href=http://data.rbge.org.uk/herb/E00324040 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","17525","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","sessiliflora","Daphnopsis sessiliflora","Griseb. ex Taub.",NA,NA,"A. F. M. Glaziou",NA,NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,"NY00017525","NY00017525_01",NA,"South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=582674' target='other'> <mi>dwc_moreinfo</mi></a>","type","17747","Magnoliophyta","Malvales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","684941","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","utilis","Daphnopsis utilis","Warm.","L. Rossi",NA,"R. M. Harley","1992","02","Brazil","Bahia","Abaíra","-41.9","-13.25",NA,NA,"NY00684941","NY00684941_01","15","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=881129' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"52081","Magnoliophyta","Malvales","Campo do Ouro Fino (baixo).","1600","1700",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01022622","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","utilis","Daphnopsis utilis","Warm.","J. A. Kallunki; R. C. Barneby",NA,"H. S. Irwin","1971","01","Brazil","Minas Gerais",NA,"-43.67613","-19.82237",NA,NA,"NY01022622","NY01022622_01","16","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1145055' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"30483","Magnoliophyta","Malvales","Serra do Espinhaço, middle slopes of Serra da Piedade, ca. 40 km E. of Belo Horizonte, BR-31","1800","1800",NA,NA,NA,NA,NA,NA,NA,NA
