"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","day","locality","identifiedBy","yearIdentified","monthIdentified","dayIdentified","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","class","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","00809278","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Dasycondylus","resinosus","Dasycondylus resinosus","(Spreng.) R.M.King & H.Rob.","G. Gardner","64","1836","08","South America","Brazil","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=798234' target='other'> <mi>dwc_moreinfo</mi></a>","NY00809278","NY00809278_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00809274","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Dasycondylus","resinosus","Dasycondylus resinosus","(Spreng.) R.M.King & H.Rob.","A. P. Duarte","4921","1959","07","South America","Brazil","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=798232' target='other'> <mi>dwc_moreinfo</mi></a>","NY00809274","NY00809274_01","21","Descida do Sumaré para o Silvestre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00809280","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Dasycondylus","resinosus","Dasycondylus resinosus","(Spreng.) R.M.King & H.Rob.","Martii Herbar. Florae Brasil.","668","1839","06","South America","Brazil",NA,"sheet","See duplicate (NY barcode 809281) for date and locality information. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=798238' target='other'> <mi>dwc_moreinfo</mi></a>","NY00809280","NY00809280_01",NA,"Ilheos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00809281","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Dasycondylus","resinosus","Dasycondylus resinosus","(Spreng.) R.M.King & H.Rob.","Martii Herbar. Florae Brasil.","668","1839","06","South America","Brazil",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=798239' target='other'> <mi>dwc_moreinfo</mi></a>","NY00809281","NY00809281_01",NA,"Ilheos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00809282","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Dasycondylus","resinosus","Dasycondylus resinosus","(Spreng.) R.M.King & H.Rob.","R. Spruce","4804","1856","07","South America","Peru",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=798240' target='other'> <mi>dwc_moreinfo</mi></a>","NY00809282","NY00809282_01",NA,"Prope Tarapoto, Peruvia on centalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00809276","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Dasycondylus","resinosus","Dasycondylus resinosus","(Spreng.) R.M.King & H.Rob.","G. Gardner","64","1836","08","South America","Brazil","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=798235' target='other'> <mi>dwc_moreinfo</mi></a>","NY00809276","NY00809276_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00809277","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Dasycondylus","resinosus","Dasycondylus resinosus","(Spreng.) R.M.King & H.Rob.","J. B. E. Pohl","78",NA,NA,"South America","Brazil",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=798236' target='other'> <mi>dwc_moreinfo</mi></a>","NY00809277","NY00809277_01",NA,"Queiroz, Padre Cerrea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00809279","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Dasycondylus","resinosus","Dasycondylus resinosus","(Spreng.) R.M.King & H.Rob.","A. F. M. Glaziou","1483","1867",NA,"South America","Brazil","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=798237' target='other'> <mi>dwc_moreinfo</mi></a>","NY00809279","NY00809279_01",NA,"Corcorado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00809275","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Dasycondylus","resinosus","Dasycondylus resinosus","(Spreng.) R.M.King & H.Rob.","G. Gardner","64","1836","08","South America","Brazil","Rio de Janeiro","sheet","Comm. am. Shuttleworth. 1838 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=798233' target='other'> <mi>dwc_moreinfo</mi></a>","NY00809275","NY00809275_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-13 09:19:02-03","UFRJ","RFA","15616","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Dasycondylus","resinosus","Dasycondylus resinosus","(Spreng.) R.M.King & H.Rob.","P. Occhioni","6437","1974","11",NA,"Brasil","Rio de Janeiro",NA,"Arbusto de 2 a 4 m de altura, capítulos alvos.","RFA13526",NA,"04","Lagoa de Maricá","R.L. Esteves","2001","08","19","Maricá","-42.8185997009277","-22.9193992614746","20726","auto",NA,NA,NA,NA,NA,NA,NA,NA
