"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","year","month","day","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","dayIdentified","fieldNumber","class","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","355713","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Oreodaphne","frondosa","Oreodaphne frondosa","Meisn.","isotype","A. F. Regnell","111.80","South America","Brazil","Minas Gerais","Ad Caldas et Uberavas.","sheet","Frgm. es Hb. Mart. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=278119' target='other'> <mi>dwc_moreinfo</mi></a>","NY00355713","NY00355713_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 11:12:03-03","ESALQ","ESA","9793","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lauraceae","Ocotea","frondosa","Ocotea frondosa","(Meissn.) Mez",NA,"Andrade, P.M. ; Lopes, M.A.","475.0",NA,"Brasil","Minas Gerais",NA,NA,NA,"ESA009793",NA,"Moraes, P.L.R.","1984","11","17","Caratinga","-42.1391983032227","-19.7896995544434","49886","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 11:12:03-03","ESALQ","ESA","33878","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lauraceae","Ocotea","frondosa","Ocotea frondosa","(Meissn.) Mez",NA,"Lopes, M.A. ; Andrade, P.M.","811.0",NA,"Brasil","Minas Gerais",NA,NA,NA,"ESA033878",NA,"Baitello, J.B.","1984","11","17","Caratinga","-42.1391983032227","-19.7896995544434","49886","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-02-02 14:38:23-02","BGBM","B","B 10 0185338","S","Plantae",NA,NA,"Lauraceae","Ocotea","frondosa","Ocotea frondosa","Mez","isotype","A. F. Regnell","III 80","Middle and South America","Brazil",NA,"Prov. Minas Geraes, Caldas, loco humido.",NA,"Ex Mus. Bot. Holm. Herb. Brasil. Regnelli No. III 80 <a href=http://herbarium.bgbm.org/object/B100185338 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100185338","B100185338 B100185338_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-01 16:32:40-03","UNICAMP","UEC","166765","S","Plantae","Magnoliopsida",NA,"Lauraceae","Ocotea","frondosa","Ocotea frondosa","(Meisn.) Mez",NA,"Padgurschi, MCG; Tamashiro, JY; Belinello, R","1568",NA,"Brazil","São Paulo","PESM. Núcleo Santa Virgínia. Parcela K.",NA,"K1701 Árvore, ca. 20 m, sem flores ou frutos.; Floresta Ombrófila Densa Montana.","UEC039877","UEC039877","Brotto, ML","2008",NA,NA,"São Luiz do Paraitinga","-45.067778","-23.325556",NA,NA,"2018","09","-45.067778","-23.325556","1065","1093",NA,NA,NA,NA
"6","2021-03-01 16:32:40-03","UNICAMP","UEC","70161","S","Plantae","Magnoliopsida",NA,"Lauraceae","Ocotea","frondosa","Ocotea frondosa","(Meisn.) Mez",NA,"Daniel, A","s.n.",NA,"Brazil","São Paulo",NA,NA,"Árvore 10m, em início de floração. Nativa em mata primária.","UEC138294","UEC138294","Baitello, JB","1968","09","10","Pariquera-Açu","-47.8800010681152","-24.7099990844727","17990","auto","1994","02",NA,NA,NA,NA,"10",NA,NA,NA
"7","2015-10-01 09:07:59-03","MNHN","RECOLNAT_MNHN_P","P00756884","PreservedSpecimen",NA,NA,NA,"Lauraceae","Ocotea","frondosa","Ocotea frondosa","(Meisn.) Mez","isotype","Regnell, A.F.",NA,NA,"Brésil",NA,"Ad Caldas in Minas Geraes","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00756884' target='other'> <mi>dwc_moreinfo</mi></a>","P00756884","P00756884_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"III 80",NA,NA
"8","2020-12-11 11:37:04-03","UFMG","BHCB","6340","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lauraceae","Ocotea","frondosa","Ocotea frondosa","(Meisn.) Mez",NA,"Andrade, PM de; et al.","475","Southern America","Brasil","Minas Gerais","Estação Biológica de Caratinga.",NA,"arbóreo-30m; mata atlântica","BHCB046389",NA,NA,"1984","11","17","Caratinga","-42.1391983032227","-19.7896995544434","49886","auto","1994",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-02-11 17:19:20-03","UFPR","UPCB","29768","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","frondosa","Ocotea frondosa","(Meisn.) Mez",NA,"Lopes, M.A.","811",NA,"Brasil","Minas Gerais","Est. Biol. Caratinga, Matão, estrada",NA,"Árvore de 20m. Mata Atlântica..",NA,NA,"Baitello, J.B.","1984","11","17","Caratinga","-42.1391983032227","-19.7896995544434","49886","auto","1994","03",NA,NA,NA,NA,"10",NA,NA,NA
"10","2011-02-23 09:58:00-03","MO","MOBOT","3138263","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","frondosa","Ocotea frondosa","(Meisn.) Mez",NA,"Anders F. Regnell","Regnell 5968","South America","Brazil",NA,NA,NA,NA,NA,NA,NA,"1878",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
