"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","imagecode","county","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","individualCount","fieldNumber","class","typeStatus"
"1","2020-09-23 10:43:11-03","E","E","247197","PreservedSpecimen","Plantae","Rubiaceae","Simira","corumbensis","Simira corumbensis","Ratter, J.A.; Pott, A.; Pott, V.; Almeida Rego, S.C.; Martins, F. & Tamashiro, J.","6050","1987","11","20","E. Tropical South America","BR","Mato Grosso Do Sul","Corumba, MS, Fazenda of Dr Romeu.","-57.65","-19.016667","-57.650000","-19.016667","herbarium specimen of unspecif","BGBASE:266325","See samples in capsule.<a href=http://data.rbge.org.uk/herb/E00247197 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00247197",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1146458","PreservedSpecimen","Plantae","Rubiaceae","Simira","hexandra","Simira hexandra","P. G. Delprete","9458","2006","01","15","South America","Brazil","Goiás","Mun. Terezópolis. Faz. Santa Branca. Trilha do Macaco. Floresta semi-caducifolia, renascente de Mato Grosso goiano.","-49.2967","-16.6667",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1340903' target='other'> <mi>dwc_moreinfo</mi></a>","NY01146458","Magnoliophyta","Gentianales","(S.Moore) Steyerm.","L. F. Margalho","720","720","NY01146458_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1005851","PreservedSpecimen","Plantae","Rubiaceae","Simira","hexandra","Simira hexandra","M. dos R. Cordeiro","1074","1976","11","19","South America","Brazil","Mato Grosso","Fazenda Cachimbo, sub. Base Projeto RADAM.","-54.9328","-10.0575",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1099301' target='other'> <mi>dwc_moreinfo</mi></a>","NY01005851","Magnoliophyta","Gentianales","(S.Moore) Steyerm.","L. F. Margalho",NA,NA,"NY01005851_01","Matupá",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01096295","PreservedSpecimen","Plantae","Rubiaceae","Simira","hexandra","Simira hexandra","M. Kuhlmann","s.n.","1947","11","20","South America","Brazil","São Paulo","Jardinopolis, margem do rio Pardo",NA,NA,NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1236279' target='other'> <mi>dwc_moreinfo</mi></a>","NY01096295","Magnoliophyta","Gentianales","(S.Moore) Steyerm.","L. F. Margalho",NA,NA,"NY01096295_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1109361","PreservedSpecimen","Plantae","Rubiaceae","Simira","hexandra","Simira hexandra","M. H. Nee","34567","1987","03","29","South America","Brazil","Rondônia","Ca. 5 Km. NW of Costa Marques.","-64.233333","-12.416667",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1363511' target='other'> <mi>dwc_moreinfo</mi></a>","NY01109361","Magnoliophyta","Gentianales","(S.Moore) Steyerm.","L. F. Margalho","150","150","NY01109361_01","Costa Marques",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1109377","PreservedSpecimen","Plantae","Rubiaceae","Simira","hexandra","Simira hexandra","C. A. Cid Ferreira","4804","1984","06","25","South America","Brazil","Rondônia","BR 364, rodovia Cuiabá-Porto Velho, Km 300, estrada do morro da EMBRATEL, Km 7","-62.03","-11.2",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1363596' target='other'> <mi>dwc_moreinfo</mi></a>","NY01109377","Magnoliophyta","Gentianales","(S.Moore) Steyerm.","L. F. Margalho",NA,NA,"NY01109377_01","Presidente Medici",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01067948","PreservedSpecimen","Plantae","Rubiaceae","Simira","hexandra","Simira hexandra","J. A. Rizzo","3162","1968","12","28","South America","Brazil","Goiás","Nas elevacões que forma o Morro dos Lobos (agora Parque Moura Pacheco)","-49.2539","-16.6786",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1218923' target='other'> <mi>dwc_moreinfo</mi></a>","NY01067948","Magnoliophyta","Gentianales","(S.Moore) Steyerm.","L. F. Margalho",NA,NA,"NY01067948_01","Goiânia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1005861","PreservedSpecimen","Plantae","Rubiaceae","Simira","hexandra","Simira hexandra","G. Schaller","111","1978","04","25","South America","Brazil","Mato Grosso","Pantanal. Rio Paraguai, Fazenda Acurizal.","-57.53","-17.87",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1099345' target='other'> <mi>dwc_moreinfo</mi></a>","NY01005861","Magnoliophyta","Gentianales","(S.Moore) Steyerm.","J. A. Kallunki",NA,NA,"NY01005861_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1005862","PreservedSpecimen","Plantae","Rubiaceae","Simira","hexandra","Simira hexandra","G. Schaller","199","1978","07","05","South America","Brazil","Mato Grosso","Pantanal. Rio Paraguai, Fazenda Acurizal. Quadrant A.","-57.53","-17.87",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1099348' target='other'> <mi>dwc_moreinfo</mi></a>","NY01005862","Magnoliophyta","Gentianales","(S.Moore) Steyerm.","J. A. Kallunki",NA,NA,"NY01005862_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1109362","PreservedSpecimen","Plantae","Rubiaceae","Simira","hexandra","Simira hexandra","L. O. A. Teixeira","530","1982","05","16","South America","Brazil","Rondônia","Mineração Mibrasa, Setor Alto Candeias, km 128, Sudoeste de Ariquemes.","-63.58","-10.583333",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1363533' target='other'> <mi>dwc_moreinfo</mi></a>","NY01109362","Magnoliophyta","Gentianales","(S.Moore) Steyerm.","L. F. Margalho",NA,NA,"NY01109362_01","Ariquemes",NA,NA,NA,NA,NA,NA,NA,NA,NA
