"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","occurrenceRemarks","phylum","order","continentOcean","preparationType","infraspecificEpithet","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","individualCount","fieldNumber","typeStatus","previousCatalogNumber","sex"
"1","2021-04-05 14:25:35-03","UNESC","CRI","14904","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","calodonta","Mollinedia calodonta","Perkins","Oliveira, AA de","2011","01","26","Verdi, M.; Caglioni, E. & Martins, E.M.","5319","2010","08","14","Brasil","Santa Catarina","Taió","Fazenda Tarumã I. Fazenda Tarumã I.","-50.129444","-26.999444","50º7'46''W","26º59'58''S","808","808","CRI014268","CRI014268",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:35-03","UNESC","CRI","14974","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","calodonta","Mollinedia calodonta","Perkins","Peixoto, AL","2011","01","24","Verdi, M.; Tomazi, A.L. & Klemz, G.","2722","2009","09","26","Brasil","Santa Catarina","Jacinto Machado","Cará. Cará.","-49.859167","-28.979444","49º51'33''W","28º58'46''S","311","311","CRI014281","CRI014281","Regeneração IFFSC 15 /S/171 Habitat: Floresta Ombrófila Densa; Estágio Avançado Habito: arbustiva;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:35-03","UNESC","CRI","14986","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","calodonta","Mollinedia calodonta","Perkins","Oliveira, AA de","2011","01","26","Korte, A.; Kniess, A.","4357","2010","09","15","Brasil","Santa Catarina","Taió","Gramado. Gramado.","-50.220556","-27.000278","50º13'14''W","27º0'1''S","893","893","CRI014283","CRI014283","Florística IFFSC 624 (Arbusto) Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior do fragmento Habito: arbusto; flor botão floral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:35-03","UNESC","CRI","8616","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","schottiana","Mollinedia schottiana","(Spreng.) Perkins",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Santa Catarina","Garopaba",NA,"-48.618889","-28.027222","48º37'8''W","28º1'38''S",NA,NA,"CRI004802","CRI004802",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:35-03","UNESC","CRI","628","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","schottiana","Mollinedia schottiana","(Spreng.) Perkins",NA,NA,NA,NA,"Vanilde Citadini-Zanette; Jairo José Zocche & Aurélio José de Aguiar","978","1990","11","14","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI004795","CRI004795",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:35-03","UNESC","CRI","3189","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","schottiana","Mollinedia schottiana","(Spreng.) Perkins","Vanilde Citadini- Zanette",NA,NA,NA,"Vanilde Citadini-Zanette; Aurélio José de Aguiar & Robson dos Santos","1836","1992","11","10","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI004770","CRI004770",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:25:35-03","UNESC","CRI","11799","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","schottiana","Mollinedia schottiana","(Spreng.) Perkins","Guilherme Lodetti",NA,NA,NA,"Guilherme Alves Elias; Robson dos Santos, Peterson T. Padilha & Guilherme Lodetti",NA,"2016","04","04","Brasil","Santa Catarina","Grão Pará","Parque Estadual Serra Furada.","-49.391944","-28.189444","49º23'31''W","28º11'22''S","488","488","CRI004803","CRI004803","Floresta Ombrófila Densa Montana Habito: arbustiva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:25:35-03","UNESC","CRI","3309","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","schottiana","Mollinedia schottiana","(Spreng.) Perkins","Vanilde Citadini- Zanette",NA,NA,NA,"Vanilde Citadini-Zanette","1922","1991","11","28","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI004799","CRI004799",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:25:35-03","UNESC","CRI","3179","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","schottiana","Mollinedia schottiana","(Spreng.) Perkins","Vanilde Citadini- Zanette",NA,NA,NA,"Vanilde Citadini-Zanette; Robson dos Santos & Clair Maria Martinello","1830","1993","05","18","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI004774","CRI004774",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:33:44-03","UNESC","CRI","11898","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","schottiana","Mollinedia schottiana","(Spreng.) Perkins","Marciel Fernandes","2007","11","29","Marciel Bonfi Fernandes","33","2007","11","29","Brasil","Santa Catarina","Turvo",NA,"-49.685","-28.915556","49º41'6''W","28º54'56''S","30","30","CRI004806","CRI004806","Habito: árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
