"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","day","minimumElevationInMeters","maximumElevationInMeters","county","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","coordinatePrecision","geoFlag","class","fieldNumber","typeStatus","individualCount","previousCatalogNumber","sex","infraspecificEpithet"
"1","2021-03-15 16:37:00-03","NY","NYBG","1032092","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Habenaria","hexaptera","Habenaria hexaptera","Lindl.","F. C. Hoehne","A. Gehrt","27371","1931","02","South America","Brazil","São Paulo","Butantan.","-46.724373","-23.565521","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1190463' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032092","NY01032092_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1721189","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Habenaria","hexaptera","Habenaria hexaptera","Lindl.",NA,"W. R. Anderson","10755","1974","02","South America","Brazil","Pará","Alto Tapajós, Rio Cururú, region of village of Pratatí. S of village, up to 5 km away.","-57.08","-8","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1042914' target='other'> <mi>dwc_moreinfo</mi></a>","NY01721189","NY01721189_01","11","200","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","4094456","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Habenaria","hexaptera","Habenaria hexaptera","Lindl.",NA,"H. H. Rusby","2786","1886","02","South America","Bolivia","La Paz",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4413373' target='other'> <mi>dwc_moreinfo</mi></a>","NY04094456",NA,NA,"3048",NA,"Larecaja",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:52:46-03","EAO","IAN","147165","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Orchidaceae","Habenaria","hexaptera","Habenaria hexaptera","Lindl.","Pabst, GFJ","Anderson, WR","10755","1974","02","Southern America","Brasil","Pará",NA,NA,NA,NA,"Terrestrial in dense forest; flowers green.","IAN147165",NA,"11",NA,NA,"Alto Tapajós",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:52:46-03","EAO","IAN","147015","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Orchidaceae","Habenaria","hexaptera","Habenaria hexaptera","Lindl.","Batista, JAN","Anderson, WR","10605","1974","02","Southern America","Brasil","Pará","Rio Cururu. Open woods and shrubby margin along canal SE of missão Cururu.","-57.516667","-7.583333",NA,"Flowers green, open sand.","IAN147015",NA,"07","140","140","Alto Tapajós","1998","09","-57.516667","-7.583333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:52:46-03","EAO","IAN","147061","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Orchidaceae","Habenaria","hexaptera","Habenaria hexaptera","Lindl.","Batista, JAN","Anderson, WR","10649","1974","02","Southern America","Brasil","Pará","Missão Cururu, cerrado on hillside of white sand and dense forest at base of hill.","-57.516667","-7.583333",NA,"Herb. in cerrado, flowers green.","IAN147061",NA,"08","140","140",NA,"1998","09","-57.516667","-7.583333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-30 12:52:46-03","EAO","IAN","80300","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Orchidaceae","Habenaria","hexaptera","Habenaria hexaptera","Lindl.","Batista, JAN","Andrade-Lima, D de","511","1950","06","Southern America","Brasil",NA,"Pern. Piedade, parte posterior, restinga próximo estrada Cabo.",NA,NA,NA,"À sombra dos arbustos, flores amarelo-esverdeadas, raíz mais ou menos tuberosa.","IAN080300",NA,"14",NA,NA,NA,"1998","09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-30 12:52:46-03","EAO","IAN","89325","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Orchidaceae","Habenaria","hexaptera","Habenaria hexaptera","Lindl.","Pabst, GFJ","Black, GA","18393","1955","06","Southern America","Brasil","Ceará",NA,NA,NA,NA,NA,"IAN089325",NA,"24",NA,NA,"Barra do Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-02 16:29:06-03","CPAN-UFMS","COR","12087","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","hexaptera","Habenaria hexaptera","Lindl.","Batista, J.A.N.","Damasceno-Junior, G.A.; Ishii, I.H.; Pott, A.; Pott, V.J.; Milliken, W. Ratter, J.A.; Yesilyurt, J.; Urquiza, M.V.; Duarte, L.C.L.","3442","2005","02",NA,"Brasil","Mato Grosso do Sul","Mineração Corumbaense - Mina São Domingos. borda da mata; litólico com afloramento de hematita; Morro.","-57.6533012390137","-19.0091991424561",NA,"Com Flor: creme esverdeada Habito: erva terrestre",NA,NA,"22","656","656","Corumbá","2019","05",NA,NA,"02","295160","auto",NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 08:46:20-03","NBC","NL-BOTANY","L.1515882","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Habenaria","hexaptera","Habenaria hexaptera","Lindl.",NA,"Herzog TCJ",NA,"1911","02","Southern America","Bolivia",NA,"bei Tres Buces. *.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1515882 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1515882","NL-L1515882","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
