"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","individualCount","typeStatus","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","709545","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Calea","polycephala","Calea polycephala","(Baker) H.Rob.","H. E. Robinson","L. Buscalioni","411","1899","06","08","South America","Brazil","Pará","Rio Tocantins, nella foresta presso la Cachoeira da Itaboca.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=857864' target='other'> <mi>dwc_moreinfo</mi></a>","NY00709545","NY00709545_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-11-25 16:50:13-03","UFBA","ALCB","137912","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Calea","polycephala","Calea polycephala","(Baker) H. Rob.","Roque, N","Forzza, RC; Labiak, P; Goldenberg, R; Santos-Silva, DL; Piva, LP; Gonçalves, EWS","9746","2018","05","15","Southern America","Brasil","Mato Grosso","Parque Nacional do Juruena. Floresta na margem do Juruena.",NA,"com ramos escandentes, entre rochas próximo ao rio. Brácteas involucrais verdes; flores amarelas.","ALCB068380","ALCB068380","2019","01","Cotriguaçu","-58.564444","-8.9475","-58.564444","-8.9475","170","170",NA,NA,NA,NA,NA,NA
"3","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0012772","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Calea","polycephala","Calea polycephala","(Baker) H.Rob.","J. Pruski","G. & M. Hatschbach; R. Kummrow","56222","1992","1","18",NA,"Brazil","Goias","Espirito Santo (mun. Nova Gloria).",NA,"Erva 1m, ereta, ramificada. Capitulos amarelos.",NA,NA,NA,NA,NA,"-49.575271","-15.139575",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0012771","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Calea","polycephala","Calea polycephala","(Baker) H.Rob.","J. Pruski","G. Hatschbach; A. Schinini, E. Barbosa","70936","2000","5","11",NA,"Brazil","Tocantins","Rio Palmas (Mun. Conceição do Tocantins).",NA,"Arbusto 1.50m, flor amarela.",NA,NA,NA,NA,NA,"-47.298137","-12.217579",NA,NA,"400",NA,NA,NA,NA,NA,NA,NA
"5","2021-04-07 11:41:20-03","UFMS","CGMS","36598","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Calea","polycephala","Calea polycephala","(Baker) H.Rob.","G.H. Silva","A. Pott; A. Pott","13150","2005","08","22",NA,"Brasil","Mato Grosso do Sul","Cachoeira rupícola em área de cerradão.",NA,"Flor amarela. Flor odorosa. Habitat: Vegetação ripária em área de cerrado, com Inga vera. Solo areno-siltoso aluvial. Relevo várzea fluvial. Habito: Subarbusto. Ocasional. 1,20 m de altura.","CGMS1066009",NA,NA,NA,"Corguinho","-55.25","-19.9972222","-55,25","-19,9972222","230","230",NA,NA,NA,NA,NA,NA
"6","2021-04-07 11:41:20-03","UFMS","CGMS","36600","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Calea","polycephala","Calea polycephala","(Baker) H.Rob.","G.H. Silva","A. Pott; V.J. Pott; A.L.B. Sartori; L.C.P. Lima","8970","2001","05","20",NA,"Brasil","Mato Grosso do Sul","Aldeia Limão Verde, 25 Km norte de Aquidauana, sopé da Serra de Maracaju.",NA,"Flor amarela. Casa n°158. Habitat: Cerradão secundário com gado, originalmente com árvores com 10,00m de altura. Solo arenoso avermelhado. Relevo encosta. Habito: Subarbusto ereto. Frequente. 0,50-1,00 m de altura.","CGMS1066011",NA,NA,NA,"Aquidauana","-55.7872009277344","-20.4710998535156",NA,NA,NA,NA,"212961","auto",NA,NA,NA,NA
"7","2019-08-20 10:05:02-03","UNICAMP","UEC","107668","S","Plantae","Magnoliopsida",NA,"Asteraceae","Calea","polycephala","Calea polycephala","(Baker) H.Rob.","Hind, N","Koehler, S; Barbosa, A; Faria, AD; Filliettaz, AM; Pansarin, ER; Belinello, R","9912","1999","06","11",NA,"Brazil","São Paulo","Estreito",NA,NA,"UEC124470","UEC124470","2002","10","Pedregulho","-47.268611","-20.189722","-47.268611","-20.189722",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-01 16:23:35-03","UNICAMP","UEC","88695","S","Plantae","Magnoliopsida",NA,"Asteraceae","Calea","polycephala","Calea polycephala","(Baker) H.Rob.",NA,"Dias, TAB; et al.","270","1993","02","09",NA,"Brazil","Goiás","Estrada que leva a alternativa 4, ca. 5.7 km da estrada que liga a obra-UHE Corumba a Caldas Novas",NA,"Trepadeira, flor amarela-ouro, capítulo e brácteas verde-amarelada, estigma amarela-ouro; Mata galeria antropizada com regeneração","UEC120564","UEC120564",NA,NA,"Caldas Novas","-48.5","-17.9","-48.5","-17.9",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-01 16:23:35-03","UNICAMP","UEC","193317","S","Plantae","Magnoliopsida",NA,"Asteraceae","Calea","polycephala","Calea polycephala","(Baker) H.Rob.",NA,"Vinchnewski, W; Dias, D","348","1995","07","06",NA,"Brazil","Goiás","GO 118, km 196-197. Teresina de Goiás a direita, 300m da estrada.",NA,"Arbusto mais ou menos 1m de altura, flores amarelo claro.","UEC132090","UEC132090",NA,NA,"Alto Paraíso de Goiás","-47.5099983215332","-14.1324996948242",NA,NA,NA,NA,"44724","auto",NA,NA,NA,NA
"10","2021-03-01 16:23:35-03","UNICAMP","UEC","89956","S","Plantae","Magnoliopsida",NA,"Asteraceae","Calea","polycephala","Calea polycephala","(Baker) H.Rob.",NA,"Silva, GP; Dias, TAB; Santos, HG; Cordovil, SP; Reis, A","1277","1993","03","23",NA,"Brazil","Goiás","Margem esquerda do R. Corumba, em frente à estação de medição de vasão S.O.3. Área de influência",NA,"Subarbusto de 1m, flor amarela, estames e antera amarela, frequente; Ecotono mata secundária - cerrado, solo areno-argiloso, relevo ondulado","UEC121443","UEC121443",NA,NA,"Ipameri","-48.1596984863281","-17.7219009399414",NA,NA,"600","600","102542","auto",NA,NA,NA,NA
