"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","county","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","individualCount","yearIdentified","class","coordinatePrecision","geoFlag"
"1","2021-03-15 16:37:00-03","NY","NYBG","02104162","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Hypolytrum","paraense","Hypolytrum paraense","M.Alves & W.W.Thomas","W. W. Thomas; M. Alves","F. A. Michelangeli","2390","2014","03","21","South America","Guyana","Potaro-Siparuni","Potaro River, trail along left bank, above third sets of rapids above Chenapau","-59.651","5.07197","625","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2362687' target='other'> <mi>dwc_moreinfo</mi></a>","NY02104162","NY02104162_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","622138","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Hypolytrum","paraense","Hypolytrum paraense","M.Alves & W.W.Thomas",NA,"A. S. L. da Silva","AS32","1977","10","16","South America","Brazil","Pará","Serra dos Carajás, 13 km. from mine headquarters","-49.1178","-5.3686",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=285764' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622138","NY00622138_01","isotype","Marabá",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01177764","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Hypolytrum","paraense","Hypolytrum paraense","M.Alves & W.W.Thomas","M. Alves","C. R. Sperling","5766","1982","05","19","South America","Brazil","Pará","Serra dos Carajás. 6 km. southeast of AMZA camp N-1","-50.27","-6.5","650","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1416586' target='other'> <mi>dwc_moreinfo</mi></a>","NY01177764","NY01177764_01",NA,NA,"650",NA,NA,NA,NA,NA,NA,NA
"4","2020-12-11 11:43:48-03","UFMG","BHCB","131128","PreservedSpecimen","Plantae","Monocotyledon",NA,"Cyperaceae","Hypolytrum","paraense","Hypolytrum paraense","M.Alves & W.W.Thomas",NA,"Silva, LVC; Sobral, M; Troncoso, CO; Garcia, L; Maciel, GM","687","2008","10","10","Southern America","Brasil","Pará","S11D, Mata Baixa","-50.369444","-6.398889","753",NA,NA,"BHCB012748",NA,NA,"Canaã dos Carajás","753","-50.369444","-6.398889",NA,NA,NA,NA,NA
"5","2020-12-11 11:43:48-03","UFMG","BHCB","159130","PreservedSpecimen","Plantae","Monocotyledon",NA,"Cyperaceae","Hypolytrum","paraense","Hypolytrum paraense","M.Alves & W.W.Thomas",NA,"Silva, LVC; Jorge, TB; Marino, F; Pereira, RA","1274","2012","06","21","Southern America","Brasil","Pará","N1, Floresta","-50.266667","-6.105556","695",NA,NA,"BHCB012749",NA,NA,"Parauapebas","695","-50.266667","-6.105556",NA,NA,NA,NA,NA
"6","2020-12-11 11:43:48-03","UFMG","BHCB","159131","PreservedSpecimen","Plantae","Monocotyledon",NA,"Cyperaceae","Hypolytrum","paraense","Hypolytrum paraense","M.Alves & W.W.Thomas",NA,"Silva, LVC; Jorge, TB; Marino, F; Pereira, RA","1275","2012","06","21","Southern America","Brasil","Pará","N1, Floresta","-50.316667","-6.099722","326",NA,NA,"BHCB012750",NA,NA,"Parauapebas","326","-50.316667","-6.099722",NA,NA,NA,NA,NA
"7","2020-12-11 11:43:48-03","UFMG","BHCB","159150","PreservedSpecimen","Plantae","Monocotyledon",NA,"Cyperaceae","Hypolytrum","paraense","Hypolytrum paraense","M.Alves & W.W.Thomas",NA,"Silva, LVC; Jorge, TB; Marino, F; Pereira, RA","1294","2012","06","22","Southern America","Brasil","Pará","N3, Mata Baixa","-50.216667","-6.105556","608",NA,NA,"BHCB012751",NA,NA,"Parauapebas","608","-50.216667","-6.105556",NA,NA,NA,NA,NA
"8","2020-12-11 11:43:48-03","UFMG","BHCB","159164","PreservedSpecimen","Plantae","Monocotyledon",NA,"Cyperaceae","Hypolytrum","paraense","Hypolytrum paraense","M.Alves & W.W.Thomas",NA,"Silva, LVC; Jorge, TB; Marino, F; Pereira, RA","1308","2012","06","23","Southern America","Brasil","Pará","N3, Mata Baixa","-50.216667","-6.105556","643",NA,NA,"BHCB012752",NA,NA,"Parauapebas","643","-50.216667","-6.105556",NA,NA,NA,NA,NA
"9","2020-12-11 11:43:48-03","UFMG","BHCB","159258","PreservedSpecimen","Plantae","Monocotyledon",NA,"Cyperaceae","Hypolytrum","paraense","Hypolytrum paraense","M.Alves & W.W.Thomas",NA,"Arruda, AJ; Paula, LFA de; Silva, LVC; Jorge, TB","1243","2012","07","24","Southern America","Brasil","Pará","N1, Floresta ombrófila densa.","-50.283333","-6.105556","573",NA,NA,"BHCB012753",NA,NA,"Parauapebas","573","-50.283333","-6.105556",NA,NA,NA,NA,NA
"10","2011-02-10 09:27:00-02","MO","MOBOT","1955007","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Hypolytrum","paraense","Hypolytrum paraense","M. Alves & W.W. Thomas","T. Zanoni","A.S. Silva|Cornelis C. Berg|Bruce W. Nelson|Andrew J. Henderson|R.P. Bahia|M.R. dos Santos","Silva AS 32","1977","10","16","South America","Brazil","Pará","Serra do Carajás, 13 km from mine headquarters, Municipio de Marabá. Forest of terra firme.",NA,NA,NA,NA,NA,NA,NA,"Isotype",NA,NA,NA,NA,"1",NA,NA,NA,NA
"11","2020-08-31 09:20:39-03","INPA","INPA","130819","S","Plantae","Monocotyledon","Poales","Cyperaceae","Hypolytrum","paraense","Hypolytrum paraense","M.Alves & W.W.Thomas","Zanoni, T","Silva, ASL da","32","1977","10","16","Southern America","Brasil","Pará","Serra dos Carajás, Serra dos Carajás, 13 km from mine headquarters. Forest on terra firme.","-49.1178","-5.3686",NA,NA,NA,"INPA0130819","INPA0130819 INPA0130819_e INPA0130819_e1","isotype","Marabá",NA,"-49.1178","-5.3686",NA,"2002",NA,NA,NA
"12","2019-11-01 16:07:28-03","UEFS","HUEFS","252515","PreservedSpecimen","Plantae","Angiospermae","Poales","Cyperaceae","Hypolytrum","paraense","Hypolytrum paraense","M.Alves & W.W.Thomas",NA,"Viana, P.L..","5772","2015","08","31",NA,"Brasil","Pará","FLONA Carajás- Platô N1.","-50.283333","-6",NA,NA,"Mata baixa sobre canga.","HUEFS0252515","HUEFS0252515",NA,"Parauapebas",NA,"50W17'","6S0'",NA,NA,"Lilianae",NA,NA
"13","2020-02-20 13:52:44-03","UEFS","HUEFS","253572","PreservedSpecimen","Plantae","Angiospermae","Poales","Cyperaceae","Hypolytrum","paraense","Hypolytrum paraense","M.Alves & W.W.Thomas",NA,"Wardil, M.V","289","2017","10","19",NA,"Brasil","Pará","Serra Norte dos Carajás, N4WN.","-49.9021987915039","-6.06750011444092",NA,NA,"Floresta ombrófila Aberta.","HUEFS0253572",NA,NA,"Parauapebas",NA,NA,NA,NA,NA,"Lilianae","147801","auto"
