"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","typeStatus","fieldNumber","individualCount","minimumElevationInMeters"
"1","2021-03-15 16:37:00-03","NY","NYBG","493609","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Gomphrena","regeliana","albiflora","Gomphrena regeliana albiflora","R.E.Fr.","G. Jönsson","1153a","1914","10","20","South America","Brazil","Paraná","Ponta Grossa","Villa Velha","-50.012929","-25.234872","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=450028' target='other'> <mi>dwc_moreinfo</mi></a>","NY00493609","NY00493609_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00837983","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Gomphrena","regeliana","albiflora","Gomphrena regeliana albiflora","R.E.Fr.","G. G. Hatschbach","25067","1970","10","22","South America","Brazil","Mato Grosso do Sul","Rio Brilhante","Rod. Br. 267, entroncamento.","-54.5464","-21.8019","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=931111' target='other'> <mi>dwc_moreinfo</mi></a>","NY00837983","NY00837983_01","T. M. Pedersen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-13 09:18:46-03","UFRJ","RFA","11660","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Gomphrena","regeliana",NA,"Gomphrena regeliana","Seub.","G.G. Hatschbach","25067","1970","10","22",NA,"Brasil","Mato Grosso do Sul","Rio Brilhante","Rod. BR 267, entroncamento.","-54.5463981628418","-21.8019008636475",NA,"Flor rosada","RFA11251",NA,"T.M. Pedersen","1971","65544","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 08:54:30-03","NBC","NL-BOTANY","L.1696383","PreservedSpecimen","Plantae",NA,"Caryophyllales","Amaranthaceae","Gomphrena","regeliana",NA,"Gomphrena regeliana","Seub.","Hatschbach GG",NA,"1962","12","21","Southern America","Brazil",NA,NA,"Est. Parana, Mun. Ponta Grossa, Vila Velha.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1696383 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1696383","NL-L1696383",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 08:54:30-03","NBC","NL-BOTANY","L.3709956","PreservedSpecimen","Plantae",NA,"Caryophyllales","Amaranthaceae","Gomphrena","regeliana",NA,"Gomphrena regeliana","Seub.","Pedersen TM",NA,"1986","10","19","Southern America","Paraguay",NA,NA,"Plantae Paraguayenses. Pedro Juan Caballero. Dep. Amambay.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3709956 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3709956","NL-L3709956",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 08:54:30-03","NBC","NL-BOTANY","U.1060438","PreservedSpecimen","Plantae",NA,"Caryophyllales","Amaranthaceae","Gomphrena","regeliana",NA,"Gomphrena regeliana","Seub.","Schinini A; Caballero Mármori G",NA,"1995","10","11","Southern America","Paraguay",NA,NA,"Argentina - Corrientes (CTES). Paraguay, Dep. Caaguazu. Cnia. Pindo, camino entre Itaqury y Curuguati. Estribaciones de la Sra. de San Joaquin. En campos cerrados de Butia y Syagrus, sue lo arenoso.","-55.333333","-24.583333",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1060438 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1060438","NL-U1060438",NA,NA,NA,NA,"Magnoliopsidae","-55.333333","-24.583333",NA,NA,NA,NA,NA,NA
"7","2020-02-08 08:54:30-03","NBC","NL-BOTANY","WAG.1291063","PreservedSpecimen","Plantae",NA,"Caryophyllales","Amaranthaceae","Gomphrena","regeliana",NA,"Gomphrena regeliana","Seub.","Pedersen TM",NA,"1986","10","19","Southern America","Paraguay",NA,NA,"Plantae Paraguayenses. Pedro Juan Caballero. Dep. Amambay.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1291063 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1291063","NL-WAG1291063",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-11-21 14:30:01-03","UFJF","CESJ","7733","PreservedSpecimen","Plantae","Angiosperma",NA,"Amaranthaceae","Gomphrena","regeliana",NA,"Gomphrena regeliana","Seub.","L. Krieger","CESJ7733","1969","12","22","América do Sul","Brasil","Paraná","Ponta Grossa","Parque Estadual de Vila Velha","-50.1618995666504","-25.0949993133545",NA,"No campo, 50cm alt., brácteas brancas, fl. amarelas.","CESJ007733","CESJ007733","J.C.Siqueira","1982","46557","auto",NA,NA,NA,"03","16",NA,NA,NA,NA
"9","2019-08-20 10:02:22-03","UNICAMP","UEC","31647","S","Plantae","Magnoliopsida",NA,"Amaranthaceae","Gomphrena","regeliana","albiflora","Gomphrena regeliana albiflora","Seub.","Garcia, WG","14037","1979",NA,NA,NA,"Brazil","Mato Grosso do Sul","Amambai","Arredores da tribo Caiuá","-55.320619","-23.118472",NA,"flor","UEC066397","UEC066397",NA,NA,NA,NA,NA,"-55.320619","-23.118472",NA,NA,NA,NA,NA,NA
"10","2016-03-04 12:13:44-03","MNHN","RECOLNAT_MNHN_P","P02441678","PreservedSpecimen",NA,NA,NA,"Amaranthaceae","Gomphrena","regeliana",NA,"Gomphrena regeliana","Seub.","Riedel, L.",NA,NA,NA,NA,NA,"Brésil",NA,NA,"s.l.",NA,NA,"hb","Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02441678' target='other'> <mi>dwc_moreinfo</mi></a>","P02441678","P02441678_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"isotype","490",NA,NA
"11","2016-03-04 12:13:49-03","MNHN","RECOLNAT_MNHN_P","P02441679","PreservedSpecimen",NA,NA,NA,"Amaranthaceae","Gomphrena","regeliana",NA,"Gomphrena regeliana","Seub.","Riedel, L.",NA,NA,NA,NA,NA,"Brésil",NA,NA,"s.l.",NA,NA,"hb","Reçu le 16 avril 1880 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02441679' target='other'> <mi>dwc_moreinfo</mi></a>","P02441679","P02441679_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"isotype","490",NA,NA
"12","2015-09-04 20:40:04-03","MNHN","RECOLNAT_MNHN_P","P05257357","PreservedSpecimen",NA,NA,NA,"Amaranthaceae","Gomphrena","regeliana",NA,"Gomphrena regeliana","Seub.","Krapovickas, A.|Schinini, A.|Harley, R.M.|Cristóbal, C.L.",NA,"1994","10","23",NA,"Paraguai",NA,NA,"Dept. Amambay. Alrededores de edro Juan Caballero, ruta 5.","-55.73333","-22.56667","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05257357' target='other'> <mi>dwc_moreinfo</mi></a>","P05257357","P05257357_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45882",NA,NA
"13","2021-02-11 17:17:48-03","UFPR","UPCB","9157","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Gomphrena","regeliana",NA,"Gomphrena regeliana","Seub.","Hatschbach, G.","25067","1970","10","22",NA,"Brasil","Mato Grosso","Rio Brilhante","Rodovia BR 267 - Entroncamento",NA,NA,NA,"Flor rosada, campo cerrado aberto..",NA,NA,"Pedersen, T.M.","1971",NA,NA,NA,NA,NA,"01","01",NA,NA,NA,NA
"14","2016-11-15 05:15:00-02","MO","MOBOT","1851517","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Gomphrena","regeliana",NA,"Gomphrena regeliana","Seub.","Antonio C. Krapovickas","Krapovickas 45882","1994","10","23","South America","Paraguay","Amambay",NA,"Alrededor de Pedro JUan Caballero.Cerrado.Suelo rojo no estructurado.Ruta 5.","-55.7333333","-22.5666667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"15","2016-11-15 05:15:00-02","MO","MOBOT","1851518","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Gomphrena","regeliana",NA,"Gomphrena regeliana","Seub.","Antonio C. Krapovickas|R.M. Harley|Carmen L. Cristóbal|Aurelio Schinini","Krapovickas 45882","1994","10","23","South America","Paraguay","Amambay",NA,"Alrededor de Pedro JUan Caballero.Cerrado.Suelo rojo no estructurado.Ruta 5.","-55.7333333","-22.5666667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"16","2014-12-03 16:18:00-02","MO","MOBOT","2458987","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Gomphrena","regeliana",NA,"Gomphrena regeliana","Seub.","Gert G. Hatschbach","Hatschbach 9542","1962","12","21","South America","Brazil","Paraná",NA,"Ponta Grossa. vila Velha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"17","2016-11-15 05:15:00-02","MO","MOBOT","2492123","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Gomphrena","regeliana",NA,"Gomphrena regeliana","Seub.","Antonio C. Krapovickas|R.M. Harley|Carmen L. Cristóbal|Aurelio Schinini","Krapovickas 45882","1994","10","23","South America","Paraguay","Amambay",NA,"Alrededores de Pedro Juan Caballero, ruta 5.","-55.7333333","-22.5666667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"18","2014-12-03 16:23:00-02","MO","MOBOT","2492137","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Gomphrena","regeliana",NA,"Gomphrena regeliana","Seub.","Aurelio Schinini|Guillermo Caballero M.","Schinini Cacace 30148","1995","10","11","South America","Paraguay","Caaguazú",NA,"Cnia. Pindo, camino entre Itaquyry y Curuguati. Estribaciones de la Sra. de San Joaquin.","-55.3333333","-24.5833333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","300.00000000"
"19","2014-12-03 16:23:00-02","MO","MOBOT","3422371","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Gomphrena","regeliana",NA,"Gomphrena regeliana","Seub.","Émile Hassler","Hassler 9610","1905","11",NA,"South America","Paraguay","Caaguazú",NA,"In regione fluminis Yhú.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"20","2014-12-03 16:20:00-02","MO","MOBOT","3422384","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Gomphrena","regeliana",NA,"Gomphrena regeliana","Seub.","Luciano Bernardi","Bernardi 18727","1978","11","17","South America","Paraguay",NA,NA,"Circa Isla Alta, Tebicuary Mi, Paraguari.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"21","2014-12-03 16:19:00-02","MO","MOBOT","3422426","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Gomphrena","regeliana",NA,"Gomphrena regeliana","Seub.","Per Dusén","Dusén 15686","1914","10","21","South America","Brazil","Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","875.00000000"
"22","2014-12-03 16:17:00-02","MO","MOBOT","3422428","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Gomphrena","regeliana",NA,"Gomphrena regeliana","Seub.","Ludwig Riedel","Riedel 490",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"23","2014-12-03 16:18:00-02","MO","MOBOT","3422455","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Gomphrena","regeliana",NA,"Gomphrena regeliana","Seub.","Per Dusén","Dusén 203","1908","11","26","South America","Brazil","Paraná",NA,"Villa, Velha, in arenosis.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"24","2014-12-03 16:20:00-02","MO","MOBOT","735392","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Gomphrena","regeliana",NA,"Gomphrena regeliana","Seub.","Troels M. Pedersen","Pedersen 14665","1986","10","19","South America","Paraguay","Amambay",NA,"Pedro Juan Caballero.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"25","2020-09-12 05:00:02-03","US","US","1481638","PreservedSpecimen","Plantae",NA,"Caryophyllales","Amaranthaceae","Gomphrena","regeliana",NA,"Gomphrena regeliana","Seub.","P. K. Dusén","15686","1914","10","21","South America","Brazil","Paraná","Ponta Grossa","Vila Velha","-50.1618995666504","-25.0949993133545",NA,NA,"US01340807","US01340807_01",NA,NA,"46557","auto","Dicotyledonae",NA,NA,NA,NA,NA,NA,"1",NA
"26","2020-09-12 05:00:02-03","US","US","2049698","PreservedSpecimen","Plantae",NA,"Caryophyllales","Amaranthaceae","Gomphrena","regeliana",NA,"Gomphrena regeliana","Seub.","F. Rojas","6430",NA,NA,NA,"South America","Paraguay",NA,NA,"Aquidaban. Sierra de Amambay",NA,NA,NA,NA,"US01340806",NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,"1",NA
"27","2020-09-12 05:00:02-03","US","US","2706823","PreservedSpecimen","Plantae",NA,"Caryophyllales","Amaranthaceae","Gomphrena","regeliana",NA,"Gomphrena regeliana","Seub.","G. Hatschbach","25067","1970","10","22","South America - Neotropics","Brazil","Mato Grosso do Sul","Rio Brilhante","Rod. BR 267, Entroncamento","-54.5463981628418","-21.8019008636475",NA,NA,"US01340803","US01340803_01",NA,NA,"65544","auto","Dicotyledonae",NA,NA,NA,NA,NA,NA,"1",NA
"28","2020-09-12 05:00:02-03","US","US","2405211","PreservedSpecimen","Plantae",NA,"Caryophyllales","Amaranthaceae","Gomphrena","regeliana",NA,"Gomphrena regeliana","Seub.","G. Hatschbach","9542","1962","12","21","South America","Brazil","Paraná","Ponta Grossa","Vila Velha","-50.1618995666504","-25.0949993133545",NA,NA,"US01340805","US01340805_01",NA,NA,"46557","auto","Dicotyledonae",NA,NA,NA,NA,NA,NA,"1",NA
"29","2020-09-12 05:00:02-03","US","US","2573011","PreservedSpecimen","Plantae",NA,"Caryophyllales","Amaranthaceae","Gomphrena","regeliana",NA,"Gomphrena regeliana","Seub.","L. Smith & R. M. Klein","14895","1965","1","20","South America","Brazil","Paraná","Ponta Grossa","Vila Velha","-50.1618995666504","-25.0949993133545",NA,NA,"US01340804","US01340804_01",NA,NA,"46557","auto","Dicotyledonae",NA,NA,NA,NA,NA,NA,"1",NA
"30","2019-11-13 11:14:14-03","USP","SPF","212232","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Gomphrena","regeliana",NA,"Gomphrena regeliana","Seub.","Krieger, L","CESJ7733","1969","12","22",NA,"Brasil","Paraná","Ponta Grossa","Vila Velha","-50.1618995666504","-25.0949993133545",NA,NA,"SPF00212232",NA,"Siqueira, JC","1982","46557","auto",NA,NA,NA,"03",NA,NA,NA,NA,NA
