"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","continentOcean","preparationType","previousCatalogNumber","occurrenceRemarks","typeStatus","locality","phylum","order","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","class","relatedCatalogItem","relationshipType","individualCount","eventTime","fieldNumber","sex"
"1","2021-04-05 14:34:14-03","UNESC","CRI","7809","PreservedSpecimen","Plantae","Theaceae","Gordonia","fruticosa","Gordonia fruticosa","(Schrad.) H.Keng","T. B. Guimarães","2005","T. B. Guimarães; Daniel de Barcellos Falkenberg","648","2004","08","20","Brasil","Santa Catarina","Florianópolis","-48.513333","-27.601389","48º30'48''W","27º36'5''S","CRI007585","CRI007585",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:34:14-03","UNESC","CRI","6110","PreservedSpecimen","Plantae","Theaceae","Laplacea","fruticosa","Laplacea fruticosa","(Schrad.) Kobuski","Vanilde Citadini-Zanette",NA,"Vanilde Citadini-Zanette; C. Goularte e S. Galvani","2466","1996","05","08","Brasil","Santa Catarina","Imbituba","-48.670278","-28.240556","48º40'13''W","28º14'26''S","CRI007583","CRI007583",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:43:50-03","E","E","81628","PreservedSpecimen","Plantae","Theaceae","Gordonia","fruticosa","Gordonia fruticosa",NA,NA,NA,"Harley, R.M., Stannard, B. & Pires, F.S.","26144","1988","11","13","BR",NA,NA,NA,NA,NA,NA,"E00081628",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:90376","<a href=http://data.rbge.org.uk/herb/E00081628 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:43:50-03","E","E","285269","PreservedSpecimen","Plantae","Theaceae","Gordonia","fruticosa","Gordonia fruticosa",NA,NA,NA,"Hartweg, Karl Theodor","717",NA,NA,NA,"EC","Loja",NA,NA,NA,NA,NA,"E00285269",NA,"W. Tropical South America","herbarium specimen of unspecif","BGBASE:293264","<a href=http://data.rbge.org.uk/herb/E00285269 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","unspecified kind of","Mountains of Loxa.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:43:50-03","E","E","80118","PreservedSpecimen","Plantae","Theaceae","Laplacea","fruticosa","Laplacea fruticosa",NA,NA,NA,"Gottsberger, I.",NA,"1985","10","18","BR",NA,NA,NA,NA,NA,NA,"E00080118",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:88880","<a href=http://data.rbge.org.uk/herb/E00080118 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","656842","PreservedSpecimen","Plantae","Theaceae","Gordonia","fruticosa","Gordonia fruticosa","(Schrad.) H.Keng","A. L. Weitzman",NA,"J. C. Lindeman","2425","1966","09","08","Brazil","Paraná",NA,NA,NA,NA,NA,"NY00656842","NY00656842_01","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=704407' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"10 km E. of Curitiba","Magnoliophyta","Ericales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1145094","PreservedSpecimen","Plantae","Theaceae","Gordonia","fruticosa","Gordonia fruticosa","(Schrad.) H.Keng","J. C. Yesilyurt",NA,"W. Ganev","2649","1993","12","15","Brazil","Bahia","Abaíra","-41.88","-13.28",NA,NA,"NY01145094","NY01145094_01","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1305753' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Gregória, beira do córrego da mata, próximo a Cachoeira das anáguas. Catolés de Cima","Magnoliophyta","Ericales","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00997001","PreservedSpecimen","Plantae","Theaceae","Gordonia","fruticosa","Gordonia fruticosa","(Schrad.) H.Keng","A. L. Weitzman",NA,"E. P. Heringer","8585","1961","08","09","Brazil","Distrito Federal","Brasília","-47.9294","-15.7797",NA,NA,"NY00997001","NY00997001_01","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1143339' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Horto do Guara.","Magnoliophyta","Ericales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00997011","PreservedSpecimen","Plantae","Theaceae","Gordonia","fruticosa","Gordonia fruticosa","(Schrad.) H.Keng","A. L. Weitzman",NA,"H. S. Irwin","18319","1966","07","21","Brazil","Goiás","Planaltina","-47.55","-15.23",NA,NA,"NY00997011","NY00997011_01 NY00997011_02","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1143358' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Near São Gabriel, ca. 50 km N. of Planaltina, on road to Veadeiros, Goiás.","Magnoliophyta","Ericales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02219564","PreservedSpecimen","Plantae","Theaceae","Gordonia","fruticosa","Gordonia fruticosa","(Schrad.) H.Keng",NA,NA,"Martii Herbar. Florae Brasil.","1062","1841",NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,"NY02219564","NY02219564_01","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2365232' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Ericales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
