"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","county","verbatimLongitude","verbatimLatitude","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","individualCount","class","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","547693","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Houlletia","brocklehurstiana","Houlletia brocklehurstiana","Lindl.","F. W. L. Kraenzlin","P. K. H. Dusén","8027","1908","09","08","South America","Brazil","Paraná","Serra do Mar, Pico do Diavo","700","700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=39642' target='other'> <mi>dwc_moreinfo</mi></a>","NY00547693","NY00547693_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","547692","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Houlletia","brocklehurstiana","Houlletia brocklehurstiana","Lindl.","Hoehne; Schltr.","F. C. Hoehne","5264","1921","02","10","South America","Brazil","São Paulo","Alto da Serra, matta da Estacao Biologica",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=39641' target='other'> <mi>dwc_moreinfo</mi></a>","NY00547692","NY00547692_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-02-18 09:30:19-03","UNESP-IBB","BOTU","6590","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Houlletia","brocklehurstiana","Houlletia brocklehurstiana","Lindl.","Amaral Jr., A.","Amaral Jr., A.","1340","1973","01","03",NA,"Brasil","São Paulo","Distrito de Rubião Júnior, estrada de Toledo",NA,NA,NA,NA,"BOTU006590",NA,"1975","02","23","Botucatu","9999","9999",NA,NA,NA,NA,NA,NA,NA
"4","2021-02-18 09:30:19-03","UNESP-IBB","BOTU","9050","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Houlletia","brocklehurstiana","Houlletia brocklehurstiana","Lindl.",NA,"Amaral Jr., A.","1340","1973","01","03",NA,"Brasil","São Paulo","A + - 4 km de Rubião Jr. pela estrada de Toledo",NA,NA,NA,NA,"BOTU009050",NA,NA,NA,NA,"Botucatu","9999","9999",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-31 13:41:04-03","MN","R","24879","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Houlletia","brocklehurstiana","Houlletia brocklehurstiana","Lindl.","Brade, A.C.","Brade, A.C.","11099","1929","03",NA,NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rio de Janeiro",NA,NA,"-43.2075004577637","-22.9027996063232","57442","auto",NA,NA,NA
"6","2021-03-31 13:41:04-03","MN","R","221350","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Houlletia","brocklehurstiana","Houlletia brocklehurstiana","Lindl.",NA,"Dressler, R.L.; Emmerich, M.","2987","1966","02","02",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rio de Janeiro",NA,NA,"-43.2075004577637","-22.9027996063232","57442","auto",NA,NA,NA
"7","2019-08-16 08:40:26-03","UTFPR","HCF","15370","S","Plantae",NA,NA,"Orchidaceae","Houlletia","brocklehurstiana","Houlletia brocklehurstiana","Lindl.","E.C. Smith","J. Cordeiro","4725","2013","03","07",NA,"Brasil","PR","Usina Hidrelétrica Governador Parigot de",NA,NA,NA,"terrícola, flor salmão. Nos barrancos à beira da estrada. Mata Atlântica. Unicata.",NA,NA,"2013","03",NA,"Antonina",NA,NA,"-48.7118988037109","-25.4286003112793","38300","auto",NA,NA,NA
"8","2020-12-21 16:38:35-03","MBM","MBM","391584","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Houlletia","brocklehurstiana","Houlletia brocklehurstiana","Lindl.","Smidt, E.C.","Cordeiro, J.; Barboza, E.; Costa, E.F.; Barboza, E.; Costa, E.F.","4725","2013","03","07","Southern America","Brazil","Paraná","Usina Hidrelétrica Parigot de Souza","800","800",NA,"Terrícola; flor de cor salmão. Unicata.; Floresta Ombrófila Densa. No barranco à beira de estrada.","MBM391584","MBM391584","2014","05",NA,"Antonina","-48.778956","-25.255703","-48.778956","-25.255703",NA,NA,NA,NA,NA
"9","2015-09-03 19:31:52-03","MNHN","RECOLNAT_MNHN_P","P00449137","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Houlletia","brocklehurstiana","Houlletia brocklehurstiana","Lindl.",NA,"Rivière, A.",NA,"1847","9",NA,NA,"Brésil",NA,"cultivé à l'Ecole de Médecine de Paris, origine Brésil",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00449137' target='other'> <mi>dwc_moreinfo</mi></a>","P00449137","P00449137_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2015-09-16 04:35:42-03","MNHN","RECOLNAT_MNHN_P","P00449139","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Houlletia","brocklehurstiana","Houlletia brocklehurstiana","Lindl.","Gerlach","Guillemin|Houllet",NA,"1846","2","16",NA,"Brésil",NA,"Brésil",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00449139' target='other'> <mi>dwc_moreinfo</mi></a>","P00449139","P00449139_01 P00449139_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
