"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","decimalLongitude","decimalLatitude","county","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","coordinatePrecision","geoFlag","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","312410","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Utricularia","amazonasana","Utricularia amazonasana","Steyerm.","isotype","J. A. Steyermark","58505","1944","09","08","South America","Venezuela","Amazonas","Vicinity of Sanariapo, near Río Sanariapo, tributary of Orinoco River","100","100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=606839' target='other'> <mi>dwc_moreinfo</mi></a>","NY00312410","NY00312410_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","03857476","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Utricularia","hydrocarpa","Utricularia hydrocarpa","Vahl",NA,"R. R. Haynes","7625","1980","03","09","South America","Venezuela","Guárico","Wet roadside ditch ca. 1.9 km S of Rio Guarico on Fed. Rt. 2",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4134448' target='other'> <mi>dwc_moreinfo</mi></a>","NY03857476",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","929797","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Utricularia","hydrocarpa","Utricularia hydrocarpa","Vahl",NA,"G. T. Prance","26145","1979","06","11","South America","Brazil","Mato Grosso","Vicinity of Acurizal, Rio Paraguai",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=997865' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929797","NY00929797_01","J. A. Kallunki","-57.53","-17.87",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-26 18:08:53-03","CPAN-UFMS","COR","4399","PreservedSpecimen","Plantae",NA,NA,"Menispermaceae","Utricularia","hydrocarpa","Utricularia hydrocarpa","Vahl.",NA,"Pott, V.J.; Pott, A.; Bueno, N.C. & Arantes, A.","2949","1996","02","25",NA,"Brasil","Mato Grosso do Sul","39Km de Coxim, na estrada pantaneira.","250","250",NA,"Com Flor: roxa Habito: Erva submersa livre",NA,NA,NA,"-54.953611","-18.351944","Coxim","54º57'13''W","18º21'7''S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-10-09 11:18:21-03","UFBA","ALCB","61283","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lentibulariaceae","Utricularia","hydrocarpa","Utricularia hydrocarpa","Vahl",NA,"Santana, DL; Pacheco, LM; Ramos, GAB","648","2001","11","03","Southern America","Brasil","Bahia","Litoral Norte, Ilhas das Ostras, Rio Crumaí",NA,NA,NA,"aquática, submersa. Áfila. Flores emersas, lilases, pedicelo ca. 5,0 cm. Utrículos verde-amarronzados.; planície inundada com vegetação arbustiva-arbórea.",NA,NA,"Guedes, FM","-37.6","-11.8","Conde","-37.6","-11.8","2017","09","11",NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 09:33:12-03","NBC","NL-BOTANY","L 0003136","PreservedSpecimen","Plantae",NA,"Lamiales","Lentibulariaceae","Utricularia","hydrocarpa","Utricularia hydrocarpa","Vahl","type","Otto E",NA,NA,NA,NA,"Southern America","Venezuela","Distrito Federal","Caracas",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200003136 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0003136","NL-L0003136","Taylor PG",NA,NA,NA,NA,NA,"1972","08","01","Magnoliopsidae","9081202483",NA,NA,NA,NA,NA
"7","2020-02-08 09:33:12-03","NBC","NL-BOTANY","L.2828610","PreservedSpecimen","Plantae",NA,"Lamiales","Lentibulariaceae","Utricularia","hydrocarpa","Utricularia hydrocarpa","Vahl",NA,"Vincent",NA,"1913","10","01","Southern America","Brazil",NA,"Bahia, Mares.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2828610 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2828610","NL-L2828610",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"8","2020-02-08 09:33:12-03","NBC","NL-BOTANY","U 0003684","PreservedSpecimen","Plantae",NA,"Lamiales","Lentibulariaceae","Utricularia","hydrocarpa","Utricularia hydrocarpa","Vahl","holotype","Focke HC",NA,NA,NA,NA,"Southern America","Surinam",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200003684 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0003684","NL-U0003684","Taylor PG",NA,NA,NA,NA,NA,"1965","12","01","Magnoliopsidae","19252 A",NA,NA,NA,NA,NA
"9","2020-02-08 09:33:12-03","NBC","NL-BOTANY","U.1419455","PreservedSpecimen","Plantae",NA,"Lamiales","Lentibulariaceae","Utricularia","hydrocarpa","Utricularia hydrocarpa","Vahl",NA,"Trujillo B",NA,"1976","08","21","Southern America","Venezuela",NA,"Hato El Laurel, km 10 al sur de San Carlos. Edo. Cojedes.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1419455 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1419455","NL-U1419455",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"10","2020-02-08 09:33:12-03","NBC","NL-BOTANY","U.1419456","PreservedSpecimen","Plantae",NA,"Lamiales","Lentibulariaceae","Utricularia","hydrocarpa","Utricularia hydrocarpa","Vahl",NA,"Bunting GS; Akkermans LMA; Rooden J van",NA,"1969","07","06","Southern America","Venezuela",NA,"Flora de Venezuela. Territorio Federal Amazonas: Depto. Atures: carretera Puerto Ayacucho-Sanariapo, desde Puerto Ayacucho basta el km 35 hacia Sanariapo, en asbana llenera con bosques ocasionales, cerca de la carretera.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1419456 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1419456","NL-U1419456",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"11","2020-11-04 11:12:11-03","ESALQ","ESA","38875","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lentibulariaceae","Utricularia","hydrocarpa","Utricularia hydrocarpa","Vahl",NA,"Souza, V.C.; Souza, J.P.; Duarte, A.R.; Mazine, F.F.","14441.0","1997","03","18",NA,"Brasil","Mato Grosso","Estrada para Alto da Boa Vista, ca. 9 km de São Félix do Araguaia. Fazenda Engenho Velho. Savana Parque. Área florestada, alagada (buritizal).","180","180",NA,"Planta enraizada no lodo; flores roxas.","ESA038875",NA,"Gonella, P.M.","-504.634","-113.758","São Félix do Araguaia","-504,634","-113,758",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-01-14 15:31:24-03","MN","R","3617","PreservedSpecimen","Plantae",NA,NA,"Lentibulariaceae","Utricularia","hydrocarpa","Utricularia hydrocarpa","Vahl",NA,"Glaziou, A.F.M.","16235","1884","02","10",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,"Plantas do Brasil Central","R000003617","R000003617_001","Trinta, E.F.","-43.4160995483398","-20.377799987793","Mariana",NA,NA,"1985",NA,NA,NA,NA,"33524","auto",NA,NA,NA
"13","2020-11-19 10:24:02-03","CPAP","CPAP","2165","PreserverdSpecimen","Plantae",NA,NA,"Lentibulariaceae","Utricularia","hydrocarpa","Utricularia hydrocarpa","Vahl",NA,"Pott, A.","2244","1986","06","10",NA,"Brasil","MS","Fazenda Nhumirim; Sub-região da Nhecolândia; Pantanal","90","90",NA,"Erva aquática submersa. FLOR: roxa. FRUTO: . INTERESSE: . FREQUÊNCIA: . AMBIENTE: Lagoa. SUBSTRATO: lagoa. RELEVO: plano.",NA,NA,NA,"-56.65","-18.983333","Corumbá","56°39' W","18°59' S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-11-19 10:24:02-03","CPAP","CPAP","10605","PreserverdSpecimen","Plantae",NA,NA,"Lentibulariaceae","Utricularia","hydrocarpa","Utricularia hydrocarpa","Vahl",NA,"Salis, S. M.","741","1992","11","14",NA,"Brasil","MS","Fazenda Fazendinha, Pantanal - invernada São Bento","90","90",NA,"Erva aquática submersa. FLOR: rosa. FRUTO: não visto. INTERESSE: Levantamento florístico. FREQUÊNCIA: Pouco frequente. AMBIENTE: Campo de Andropogon hypogynus alagado. SUBSTRATO: solo arenoso. RELEVO: plano.",NA,NA,NA,"-56.383333","-19.483333","Aquidauana","56°23' W","19°29' S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-11-19 10:24:02-03","CPAP","CPAP","14884","PreserverdSpecimen","Plantae",NA,NA,"Lentibulariaceae","Utricularia","hydrocarpa","Utricularia hydrocarpa","Vahl",NA,"Pott, V. J.","2949","1996","02","25",NA,"Brasil","MS","39Km W de Coxim, estrada pantaneira","250","250",NA,"Erva submersa livre. FLOR: roxa. FRUTO: . INTERESSE: Ornamental. FREQUÊNCIA: Frequente. AMBIENTE: Campo de murundum de cerrado, alagado. SUBSTRATO: solo siltoso. RELEVO: plano.",NA,NA,NA,"-54.953611","-18.351944","Coxim","54°57'13'' W","18°21'07'' S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-11-19 10:24:02-03","CPAP","CPAP","15557","PreserverdSpecimen","Plantae",NA,NA,"Lentibulariaceae","Utricularia","hydrocarpa","Utricularia hydrocarpa","Vahl",NA,"Pott, V. J.","3041","1996","02","29",NA,"Brasil","MT","10Km na estrada MT-351, para Pirizal; Sub-região de Poconé; Pantanal","120","120",NA,"Erva aquática submersa livre. FLOR: lilás. FRUTO: . INTERESSE: Ornamental. FREQUÊNCIA: Abundante. AMBIENTE: Água corrente, córrego. SUBSTRATO: solo siltoso. RELEVO: plano.",NA,NA,NA,"-56.485556","-16.275556","Poconé","56°29'08'' W","16°16'32'' S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-11-19 10:24:02-03","CPAP","CPAP","17042","PreserverdSpecimen","Plantae",NA,NA,"Lentibulariaceae","Utricularia","hydrocarpa","Utricularia hydrocarpa","Vahl",NA,"Pott, V. J.","3409","1998","04","20",NA,"Brasil","MS","Fazenda Nhumirim; Sub-região da Nhecolândia; Pantanal - baía 66 (lagoa), invernada 8","90","90",NA,"Erva aquática submersa livre. FLOR: não vista. FRUTO: . INTERESSE: . FREQUÊNCIA: Muito frequente. AMBIENTE: Lagoa, 1,10m de profundidade. SUBSTRATO: solo arenoso. RELEVO: plano.",NA,NA,"A. Pott","-56.65","-18.983333","Corumbá","56°39' W","18°59' S","1998","04",NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-11-19 10:24:02-03","CPAP","CPAP","18254","PreserverdSpecimen","Plantae",NA,NA,"Lentibulariaceae","Utricularia","hydrocarpa","Utricularia hydrocarpa","Vahl",NA,"Pott, V. J.","3891","1999","02","23",NA,"Brasil","MS","Fazenda Campo Dora; baía do portão; próximo a divisa com fazenda Nhumirim; Sub-região da Nhecolândia; Pantanal","90","90",NA,"Erva aquática submersa. FLOR: lilás. FRUTO: . INTERESSE: Ornamental. FREQUÊNCIA: Frequente. AMBIENTE: Borda de lagoa de vazante, após cheia de chuva, 20-30cm profundidade. SUBSTRATO: solo arenoso. RELEVO: plano.",NA,NA,"V. J. Pott","-56.679722","-18.991667","Corumbá","56°40'47'' W","18°59'30'' S","1999","02",NA,NA,NA,NA,NA,NA,NA,NA
