"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","verbatimLongitude","verbatimLatitude","class","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","individualCount","geoFlag","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","438031","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Anacardiaceae","Schinus","ramboi","Schinus ramboi","F.A.Barkley","J. R. Pirani","J. R. Pirani","2515","1989","10","21","South America","Brazil","São Paulo","Campos do Jordao","Entre Campos do Jordão e Piranguçu. Serra da Mantiqueira. Descendo da Serra para Venceslau Brás.","-45.59","-22.73","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=562051' target='other'> <mi>dwc_moreinfo</mi></a>","NY00438031","NY00438031_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-02-18 09:28:35-03","UNESP-IBB","BOTU","9403","PreservedSpecimen","Plantae",NA,NA,"Anacardiaceae","Schinus","ramboi","Schinus ramboi","F.A. Barkley","Mattos, J.","Mattos, J.","15020","1967","07","26",NA,"Brasil","São Paulo","Campos do Jordão","Fazenda da Guarda (reserva Florestal)",NA,NA,NA,NA,"BOTU009403","BOTU009403","1971","9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-02-18 09:28:35-03","UNESP-IBB","BOTU","21373","PreservedSpecimen","Plantae",NA,NA,"Anacardiaceae","Schinus","ramboi","Schinus ramboi","F.A. Barkley",NA,"Almeida, M.F.S.","F 14","1996","10","12",NA,"Brasil","São Paulo","Campos do Jordão","Parque Estadual ao longo da trilha da cachoeira",NA,NA,NA,NA,"BOTU021373","BOTU021373",NA,"9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 10:29:08-03","NBC","NL-BOTANY","U.1061218","PreservedSpecimen","Plantae",NA,"Sapindales","Anacardiaceae","Schinus","ramboi","Schinus ramboi","F.A.Barkley",NA,"Lindeman JC; Haas JH de",NA,"1966","12","28","Southern America","Brazil",NA,NA,"Brasiliae Australis, Est. Rio Grande do Sul, ca. 10 km S of Vacaria, edge of coppice.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1061218 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1061218","NL-U1061218",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-11-08 08:48:47-03","FURB","FURB","52589","PreservedSpecimen","Plantae",NA,NA,"Anacardiaceae","Schinus","ramboi","Schinus ramboi","F.A.Barkley","Farias, D.M.","Uller, H.F.; Klitzke, A.R; Bollmann, G.O.","1011","2016","08","10",NA,"Brasil","Santa Catarina","Urubici",NA,"-49.68","-28.08",NA,NA,"FURB52589","FURB52589","2018","-49.6800000","-28.0800000",NA,"04","12","1402","1402",NA,NA,NA,NA
"6","2019-11-08 08:48:47-03","FURB","FURB","52664","PreservedSpecimen","Plantae",NA,NA,"Anacardiaceae","Schinus","ramboi","Schinus ramboi","F.A.Barkley","Farias, D.M.","Uller, H.F.; Klitzke, A.R; Bollmann, G.O.","935","2016","08","10",NA,"Brasil","Santa Catarina","Urubici",NA,"-49.68","-28.08",NA,NA,"FURB52664","FURB52664","2018","-49.6800000","-28.0800000",NA,"04","12","1402","1402",NA,NA,NA,NA
"7","2009-08-21 06:32:00-03","MO","MOBOT","2452770","PreservedSpecimen","Plantae",NA,NA,"Anacardiaceae","Schinus","ramboi","Schinus ramboi","F.A. Barkley",NA,"Balduino Rambo","Rambo 42500","1949","7","13","South America","Brazil","Rio Grande do Sul",NA,"Farroupilha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-12 05:00:02-03","US","US","2427715","PreservedSpecimen","Plantae",NA,"Sapindales","Anacardiaceae","Schinus","ramboi","Schinus ramboi","F.A. Barkley",NA,"E. Amarante","s.n.","1961","8","18","South America - Neotropics","Brazil","São Paulo","Campos do Jordão",NA,"-45.5900001525879","-22.7299995422363",NA,NA,"US01887363","US01887363_01 US01887363_02",NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,"21048","1","auto",NA
"9","2015-03-06 18:56:51-03","F","FMNH-SEEDPLANTS","V0204808F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Anacardiaceae","Schinus","ramboi","Schinus ramboi",NA,NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,"V0204808F","V0204808F_01",NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-08-20 15:00:23-03","UFSC","FLOR","67124","PreservedSpecimen","Plantae",NA,"Sapindales","Anacardiaceae","Schinus","ramboi","Schinus ramboi","F.A.Barkley","Farias, D.M.","Uller, H.F.; Klitzke, A.R; Bollmann, G.O.","1011","2016","08","10",NA,"Brasil","Santa Catarina","Urubici",NA,"-49.68","-28.08",NA,"Árvore. Projeto IFFSC - 2/164/Fito/S/12. Recebido de FURB nº52589","FLOR0067124","FLOR0067124","2018","49º40'48''W","28º4'48''S",NA,"04","12","1402","1402",NA,NA,NA,NA
"11","2021-03-04 15:46:17-03","IF","SPSF","04607","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Anacardiaceae","Schinus","ramboi","Schinus ramboi",NA,NA,"D.Bento Pickel",NA,"1953","10","04","América do Sul","Brasil","MG","Camanducaia","Fazenda Levantina","-46.1446990966797","-22.7553005218506",NA,"COLETA: XLS: SPSFAntigo;",NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA,"22140",NA,"auto",NA
"12","2021-02-08 12:31:41-03","UFRGS","ICN","112788","S","Plantae","Dicotyledon",NA,"Anacardiaceae","Schinus","ramboi","Schinus ramboi","F.A. Barkley","Mattos, E","Habekost, NT","s.n.","1981","07","29","América do Sul","Brasil","RS","Porto Alegre","Parque Saint Hilaire","-51.2299995422363","-30.0331001281738",NA,NA,NA,NA,"1981",NA,NA,NA,"08","13",NA,NA,"29946",NA,"auto",NA
"13","2019-11-21 09:58:10-03","IBt","SP","8714","S","Plantae",NA,NA,"Anacardiaceae","Schinus","ramboi","Schinus ramboi","F.A.Barkley","Barkley, FA","Hoehne, FC","s.n.","1923","09","21",NA,"Brasil","São Paulo","Campos do Jordão",NA,"-45.5900001525879","-22.7299995422363",NA,"Árvore, flores alvas","SP001618","SP001618","1951",NA,NA,NA,"03",NA,NA,NA,"21048",NA,"auto","Paratype"
"14","2019-11-21 09:58:10-03","IBt","SP","58888","S","Plantae",NA,NA,"Anacardiaceae","Schinus","ramboi","Schinus ramboi","F.A.Barkley","Mattos, J","Amarante, E","s.n.","1961","08","18",NA,"Brasil","São Paulo","Campos do Jordão",NA,"-45.5900001525879","-22.7299995422363",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21048",NA,"auto",NA
"15","2019-11-21 09:58:10-03","IBt","SP","33584","S","Plantae",NA,NA,"Anacardiaceae","Schinus","ramboi","Schinus ramboi","F.A.Barkley","Handro, O","Kuhlmann, M","2130","1949","11","24",NA,"Brasil","São Paulo","Campos do Jordão","Fazenda da Guarda","-45.5900001525879","-22.7299995422363",NA,NA,NA,NA,"1951",NA,NA,NA,"06",NA,NA,NA,"21048",NA,"auto",NA
"16","2019-11-21 09:58:10-03","IBt","SP","115806","S","Plantae",NA,NA,"Anacardiaceae","Schinus","ramboi","Schinus ramboi","F.A.Barkley","Mattos, J","Mattos, JR; Mattos, N","14363","1966","12","15",NA,"Brasil","São Paulo","Campos do Jordão","Fazenda da Guarda, Horto Florestal","-45.5900001525879","-22.7299995422363",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21048",NA,"auto",NA
"17","2019-11-21 09:58:10-03","IBt","SP","32398","S","Plantae",NA,NA,"Anacardiaceae","Schinus","ramboi","Schinus ramboi","F.A.Barkley","Barkley, FA","Kuhlmann, M","s.n.","1935","01","31",NA,"Brasil","São Paulo","Campos do Jordão","Umuarama","-45.5900001525879","-22.7299995422363",NA,"Material atacado de galhas em forma de frutos","SP001617","SP001617","1951",NA,NA,NA,"03",NA,NA,NA,"21048",NA,"auto","Paratype"
