especie_iucn,nome_correto_flora,scientific.name,notes,taxon.status,cat_ameaca_iucn,threat.status
Eugenia oblongata,Eugenia disperma,Eugenia disperma Vell.,replaced synonym,accepted,LC,VU
Leandra lancifolia,Leandra aurea,Leandra aurea (Cham.) Cogn.,replaced synonym,accepted,LC,NA
Licania gardneri,Leptobalanus gardneri,Leptobalanus gardneri (Hook.f.) Sothers & Prance,replaced synonym,accepted,LC,NA
Miconia jucunda,Miconia staminea,Miconia staminea (Desr.) DC.,replaced synonym,accepted,LC,NA
Eugenia microcarpa,Eugenia pisiformis,Eugenia pisiformis Cambess.,replaced synonym,accepted,VU,LC
Eugenia psidiiflora,Eugenia subterminalis,Eugenia subterminalis DC.,replaced synonym,accepted,LC,LC
Genipa spruceana,Genipa americana,Genipa americana L.,replaced synonym,accepted,LC,LC
Hatiora epiphylloides,Schlumbergera lutea,Schlumbergera lutea Calvente & Zappi,replaced synonym,accepted,EN,NA
Ocotea cantareirae,Ocotea lancifolia,Ocotea lancifolia (Schott) Mez,replaced synonym,accepted,CR,LC
Ocotea pretiosa,Ocotea odorifera,Ocotea odorifera (Vell.) Rohwer,replaced synonym,accepted,VU,EN
Pleurothallis carinifera,Pabstiella carinifera,Pabstiella carinifera (Barb.Rodr.) Luer,replaced synonym,accepted,LC,VU
