especie_original,cat_ameaca_br_sima,cat_ameaca_cncflora_sima,cat_ameaca_sp_sima,cat_ameaca_sp,cat_ameaca_CR_lac,cat_ameaca_cncflora_1,cat_ameaca_cncflora_0,cat_ameaca_iucn,cat_ameaca_mpoSP,cat_ameaca_br,id,especie_autor,accepted.name,familia,taxon.rank,taxon.status,search.str,NA.,threat.status,notas,busca_FB,life.form,habitat,vegetation.type,vernacular.name,occurrence,establishment,domain,endemism
Camaridium meleagris,NA,DD,NA,NA,NA,NA,NA,NA,NA,NA,581883,Camaridium meleagris (Lindl.) M.A.Blanco,NA,Orchidaceae,species,synonym,Camaridium meleagris,Camaridium meleagris,NA,check no accepted name,Camaridium meleagris,Erva,Epífita,NA,NA,NA,NA,NA,NA
Ditassa arianeae,EN,NA,NA,NA,NA,NA,NA,NA,NA,EN,4558,Ditassa arianeae Fontella,NA,Apocynaceae,species,synonym,Ditassa arianeae,Ditassa arianeae,EN,check no accepted name,Ditassa arianeae,Liana/volúvel/trepadeira,Terrícola,Restinga,NA,NA,NA,NA,NA
Ditassa lagoensis,NA,LC,EX,EX,NA,NA,NA,NA,EX,NA,127304,Ditassa lagoensis E.Fourn.,Peplonia lagoensis (E. Fourn.) Matozinhos,Apocynaceae,species,synonym,Ditassa lagoensis,Ditassa lagoensis,NA,check no accepted name,Ditassa lagoensis,Liana/volúvel/trepadeira,Terrícola,Floresta Estacional Perenifólia|Floresta Ombrófila (= Floresta Pluvial),NA,NA,NA,NA,NA
Matelea santosii,EN,NA,NA,NA,NA,NA,NA,NA,NA,EN,4711,Matelea santosii Morillo & Fontella,NA,Apocynaceae,species,synonym,Matelea santosii,Matelea santosii,EN,check no accepted name,Matelea santosii,Liana/volúvel/trepadeira,Terrícola,Área Antrópica,NA,NA,NA,NA,NA
Spigelia kleinii var. paranaensis,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,8645,Spigelia kleinii var. paranaensis E.F.Guim. & Fontella,NA,Loganiaceae,variety,synonym,Spigelia kleinii var. paranaensis,Spigelia kleinii var. paranaensis,DD,check no accepted name,Spigelia kleinii var. paranaensis,Erva,Terrícola,NA,NA,NA,NA,NA,NA
