especie_original,fontes,cat_ameaca_br_sima,cat_ameaca_cncflora_sima,cat_ameaca_sp_sima,cat_ameaca_sp,cat_ameaca_CR_lac,cat_ameaca_cncflora,cat_ameaca_iucn,cat_ameaca_mpoSP,cat_ameaca_br,id,scientific.name,accepted.name,family,taxon.rank,taxon.status,search.str,threat.status,notes,original.search,occurrence,genus,specific.epiteth,infra.epiteth,name.status
Clidemia capitellata,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA,9447,Clidemia capitellata (Bonpl.) D.Don,NA,Melastomataceae,species,accepted,Clidemia capitellata,NA,NA,Clidemia capitellata,BR-AC|BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-RJ|BR-RO|BR-RR|BR-SE|BR-SP|BR-TO,Clidemia,capitellata,NA,correct
Clidemia dentata,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA,9449,Clidemia dentata D.Don,NA,Melastomataceae,species,accepted,Clidemia dentata,NA,NA,Clidemia dentata,BR-AC|BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-MA|BR-MT|BR-PA|BR-PE|BR-RJ|BR-RO|BR-RR|BR-SP,Clidemia,dentata,NA,correct
Clidemia sericea,sima-SP_oficial,NA,NE,VU,VU,NA,NA,NA,NA,NA,30638,Clidemia sericea D.Don,NA,Melastomataceae,species,accepted,Clidemia sericea,NA,NA,Clidemia sericea,BR-AL|BR-AM|BR-AP|BR-BA|BR-ES|BR-GO|BR-MG|BR-MT|BR-PA|BR-PE|BR-RJ|BR-RR|BR-SE|BR-TO,Clidemia,sericea,NA,correct
Cliococca selaginoides,sima,NA,LC,NA,NA,NA,NA,NA,NA,NA,8612,Cliococca selaginoides (Lam.) C.M. Rogers & Mildner,NA,Linaceae,species,accepted,Cliococca selaginoides,LC,NA,Cliococca selaginoides,BR-PR|BR-RS|BR-SC,Cliococca,selaginoides,NA,correct
Clitoria densiflora,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA,29538,Clitoria densiflora (Benth.) Benth.,NA,Fabaceae,species,accepted,Clitoria densiflora,LC,NA,Clitoria densiflora,BR-GO|BR-MG|BR-MS|BR-PR|BR-SP,Clitoria,densiflora,NA,correct
Clitoria epetiolata,sima,NA,NT,NA,NA,NA,NA,NA,NA,NA,29539,Clitoria epetiolata Burkart,NA,Fabaceae,species,accepted,Clitoria epetiolata,NT,NA,Clitoria epetiolata,NA,Clitoria,epetiolata,NA,correct
Clitoria laurifolia,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA,29545,Clitoria laurifolia Poir.,NA,Fabaceae,species,accepted,Clitoria laurifolia,LC,NA,Clitoria laurifolia,BR-AL|BR-AM|BR-BA|BR-CE|BR-ES|BR-MA|BR-MG|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RR|BR-SC|BR-SE|BR-SP,Clitoria,laurifolia,NA,correct
Clusia aemygdioi,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN,6831,Clusia aemygdioi Gomes da Silva & B.Weinberg,NA,Clusiaceae,species,accepted,Clusia aemygdioi,EN,NA,Clusia aemygdioi,BR-ES,Clusia,aemygdioi,NA,correct
Clusia lanceolata,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA,6838,Clusia lanceolata Cambess.,NA,Clusiaceae,species,accepted,Clusia lanceolata,NA,NA,Clusia lanceolata,BR-RJ|BR-SP,Clusia,lanceolata,NA,correct
Cnemidaria uleana,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA,128603,Cyathea uleana (Samp.) Lehnert,NA,Cyatheaceae,species,accepted,Cyathea uleana,LC,replaced synonym,Cnemidaria uleana,BR-AM|BR-ES|BR-MG|BR-PR|BR-RJ|BR-SC|BR-SP,Cyathea,uleana,NA,correct
Cnidoscolus adenoblepharus,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA,35719,Cnidoscolus adenoblepharus Fern.Casas & J.M.Pizarro,NA,Euphorbiaceae,species,accepted,Cnidoscolus adenoblepharus,NA,NA,Cnidoscolus adenoblepharus,BR-BA,Cnidoscolus,adenoblepharus,NA,correct
Cnidoscolus froesii,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA,35727,Cnidoscolus froesii (Croizat) Fern.Casas,NA,Euphorbiaceae,species,accepted,Cnidoscolus froesii,NA,NA,Cnidoscolus froesii,BR-AL|BR-BA|BR-GO|BR-MG,Cnidoscolus,froesii,NA,correct
Cnidoscolus monsanto,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA,35737,Cnidoscolus monsanto Fern.Casas,NA,Euphorbiaceae,species,accepted,Cnidoscolus monsanto,NA,NA,Cnidoscolus monsanto,BR-BA,Cnidoscolus,monsanto,NA,correct
Cnidoscolus oligandrus,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA,25471,Cnidoscolus oligandrus (Müll.Arg.) Pax,NA,Euphorbiaceae,species,accepted,Cnidoscolus oligandrus,NA,NA,Cnidoscolus oligandrus,BR-BA|BR-MG|BR-PE|BR-RJ|BR-SP,Cnidoscolus,oligandrus,NA,correct
Cnidoscolus urens,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA,17495,Cnidoscolus urens (L.) Arthur,NA,Euphorbiaceae,species,accepted,Cnidoscolus urens,NA,NA,Cnidoscolus urens,BR-AL|BR-BA|BR-DF|BR-ES|BR-GO|BR-MG|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RO|BR-SE|BR-SP,Cnidoscolus,urens,NA,correct
Coccoloba declinata,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA,13699,Coccoloba declinata (Vell.) Mart.,NA,Polygonaceae,species,accepted,Coccoloba declinata,NA,NA,Coccoloba declinata,BR-AL|BR-BA|BR-ES|BR-MG|BR-PE|BR-RJ|BR-SE|BR-SP,Coccoloba,declinata,NA,correct
Coccoloba glaziovii,sima-UICN_API,NA,NE,NA,NA,NA,NA,LC,NA,NA,13701,Coccoloba glaziovii Lindau,NA,Polygonaceae,species,accepted,Coccoloba glaziovii,NA,NA,Coccoloba glaziovii,BR-BA|BR-MG|BR-PR|BR-RJ|BR-SC|BR-SP,Coccoloba,glaziovii,NA,correct
Coccoloba mollis,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA,13705,Coccoloba mollis Casar.,NA,Polygonaceae,species,accepted,Coccoloba mollis,NA,NA,Coccoloba mollis,BR-AC|BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-RO|BR-RR|BR-SE|BR-SP|BR-TO,Coccoloba,mollis,NA,correct
Coccoloba paraguariensis,sima,NA,NE,NA,NA,NA,NA,NA,NA,NA,127943,Coccoloba paraguariensis Lindau,NA,Polygonaceae,species,accepted,Coccoloba paraguariensis,NA,NA,Coccoloba paraguariensis,BR-MS,Coccoloba,paraguariensis,NA,correct
Coccoloba striata,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA,13715,Coccoloba striata Benth.,NA,Polygonaceae,species,accepted,Coccoloba striata,NA,NA,Coccoloba striata,BR-AC|BR-AL|BR-AM|BR-BA|BR-MA|BR-MT|BR-PA|BR-PE|BR-RO|BR-RR|BR-SE|BR-SP,Coccoloba,striata,NA,correct
Coccoloba warmingii,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA,13717,Coccoloba warmingii Meisn.,NA,Polygonaceae,species,accepted,Coccoloba warmingii,NA,NA,Coccoloba warmingii,BR-BA|BR-ES|BR-MG|BR-PE|BR-PR|BR-SC|BR-SP,Coccoloba,warmingii,NA,correct
Cochlospermum regium,sima-cncflora_web-UICN_API,NA,LC,NA,NA,NA,LC,LC,NA,NA,27545,Cochlospermum regium (Mart. ex Schrank) Pilg.,NA,Bixaceae,species,accepted,Cochlospermum regium,LC,NA,Cochlospermum regium,BR-AL|BR-AM|BR-BA|BR-CE|BR-DF|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RN|BR-RO|BR-SE|BR-SP|BR-TO,Cochlospermum,regium,NA,correct
Codonanthe carnosa,sima-SP_oficial-cncflora_web-Portaria 443/2014,VU,NA,VU,VU,NA,VU,NA,NA,VU,7823,Codonanthe carnosa (Gardner) Hanst.,NA,Gesneriaceae,species,accepted,Codonanthe carnosa,VU,NA,Codonanthe carnosa,BR-ES|BR-MG|BR-RJ|BR-SP,Codonanthe,carnosa,NA,correct
Codonanthe devosiana,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA,7825,Codonanthe devosiana Lem.,NA,Gesneriaceae,species,accepted,Codonanthe devosiana,LC,NA,Codonanthe devosiana,BR-ES|BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP,Codonanthe,devosiana,NA,correct
Codonanthe gracilis,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA,7827,Codonanthe gracilis (Mart.) Hanst.,NA,Gesneriaceae,species,accepted,Codonanthe gracilis,LC,NA,Codonanthe gracilis,BR-BA|BR-ES|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP,Codonanthe,gracilis,NA,NA
Codonanthe venosa,sima-SP_oficial-cncflora_web-Portaria 443/2014,VU,NA,VU,VU,NA,VU,NA,NA,VU,7831,Codonanthe venosa Chautems,NA,Gesneriaceae,species,accepted,Codonanthe venosa,VU,NA,Codonanthe venosa,BR-RJ|BR-SP,Codonanthe,venosa,NA,correct
Codonorchis canisioi,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR,37430,Codonorchis canisioi Mansf.,NA,Orchidaceae,species,accepted,Codonorchis canisioi,CR,NA,Codonorchis canisioi,BR-RS,Codonorchis,canisioi,NA,correct
Coelorachis aurita,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA,32269,Mnesithea aurita (Steud.) de Koning & Sosef,NA,Poaceae,species,accepted,Mnesithea aurita,NA,replaced synonym,Coelorachis aurita,BR-BA|BR-DF|BR-GO|BR-MG|BR-MS|BR-MT|BR-PI|BR-PR|BR-RR|BR-SP,Mnesithea,aurita,NA,correct
Coffea arabica,UICN_API,NA,NA,NA,NA,NA,NA,EN,NA,NA,24410,Coffea arabica L.,NA,Rubiaceae,species,accepted,Coffea arabica,NA,NA,Coffea arabica,BR-AC|BR-AL|BR-AM|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SE|BR-SP|BR-TO,Coffea,arabica,NA,correct
Cohniella jonesiana,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA,38377,Trichocentrum jonesianum (Rchb.f.) M.W.Chase & N.H.Williams,NA,Orchidaceae,species,accepted,Trichocentrum jonesianum,LC,replaced synonym,Cohniella jonesiana,BR-BA|BR-ES|BR-GO|BR-MG|BR-MS|BR-MT|BR-PR|BR-SP,Trichocentrum,jonesianum,NA,correct
Colanthelia cingulata,sima-SP_oficial,NA,NE,VU,VU,NA,NA,NA,NA,NA,13129,Colanthelia cingulata (McClure & L.B.Sm.) McClure,NA,Poaceae,species,accepted,Colanthelia cingulata,NA,NA,Colanthelia cingulata,BR-RJ|BR-RS|BR-SC|BR-SP,Colanthelia,cingulata,NA,correct
Colanthelia macrostachya,sima-SP_oficial-cncflora_web-Portaria 443/2014,EN,NA,EX,EX,NA,EN,NA,NA,EN,13133,Colanthelia macrostachya (Nees) McClure,NA,Poaceae,species,accepted,Colanthelia macrostachya,EN,NA,Colanthelia macrostachya,BR-SP,Colanthelia,macrostachya,NA,correct
Coleocephalocereus buxbaumianus,sima,VU,NA,NA,NA,NA,NA,NA,NA,NA,1472,Coleocephalocereus buxbaumianus Buining,NA,Cactaceae,species,accepted,Coleocephalocereus buxbaumianus,NA,NA,Coleocephalocereus buxbaumianus,BR-BA|BR-ES|BR-MG,Coleocephalocereus,buxbaumianus,NA,correct
Coleocephalocereus fluminensis,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA,1475,Coleocephalocereus fluminensis (Miq.) Backeb.,NA,Cactaceae,species,accepted,Coleocephalocereus fluminensis,NA,NA,Coleocephalocereus fluminensis,BR-ES|BR-MG|BR-RJ|BR-SP,Coleocephalocereus,fluminensis,NA,correct
Coleocephalocereus purpureus,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN,1481,Coleocephalocereus purpureus (Buining & Brederoo) Ritter,NA,Cactaceae,species,accepted,Coleocephalocereus purpureus,EN,NA,Coleocephalocereus purpureus,BR-MG,Coleocephalocereus,purpureus,NA,correct
Collaea speciosa,cncflora_web-UICN_API,NA,NA,NA,NA,NA,LC,LC,NA,NA,29551,Collaea speciosa (Loisel.) DC.,NA,Fabaceae,species,accepted,Collaea speciosa,LC,NA,Collaea speciosa,BR-BA|BR-DF|BR-ES|BR-GO|BR-MG|BR-PR|BR-RJ|BR-SC|BR-SP,Collaea,speciosa,NA,correct
Colletia exserta,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN,108425,Colletia exserta Klotzsch ex Reissek,NA,Rhamnaceae,species,accepted,Colletia exserta,EN,NA,Colletia exserta,BR-RS|BR-SC,Colletia,exserta,NA,correct
Colletia paradoxa,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN,108426,Colletia paradoxa (Spreng.) Escal.,NA,Rhamnaceae,species,accepted,Colletia paradoxa,EN,NA,Colletia paradoxa,BR-PR|BR-RS|BR-SC,Colletia,paradoxa,NA,correct
Cololobus longiangustatus,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN,109568,Cololobus longiangustatus ( G.M.Barroso ) H.Rob.,NA,Asteraceae,species,accepted,Cololobus longiangustatus,EN,NA,Cololobus longiangustatus,BR-ES|BR-RJ,Cololobus,longiangustatus,NA,correct
Cololobus rupestris,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN,109566,Cololobus rupestris (Gardner) H.Rob.,NA,Asteraceae,species,accepted,Cololobus rupestris,EN,NA,Cololobus rupestris,BR-ES|BR-MG|BR-RJ,Cololobus,rupestris,NA,correct
Colubrina glandulosa,cncflora_web-UICN_API,NA,NA,NA,NA,NA,LC,LC,NA,NA,20651,Colubrina glandulosa Perkins,NA,Rhamnaceae,species,accepted,Colubrina glandulosa,LC,NA,Colubrina glandulosa,BR-AC|BR-AM|BR-CE|BR-DF|BR-MA|BR-MG|BR-MT|BR-PA|BR-PB|BR-PE|BR-PR|BR-RJ|BR-RO|BR-RS|BR-SC|BR-SP,Colubrina,glandulosa,NA,correct
Colubrina retusa,sima-SP_oficial-cncflora_web,NA,LC,EN,EN,NA,LC,NA,NA,NA,32495,Colubrina retusa (Pittier) Cowan,NA,Rhamnaceae,species,accepted,Colubrina retusa,LC,NA,Colubrina retusa,BR-AM|BR-GO|BR-MT|BR-PA|BR-PR|BR-RJ|BR-RO|BR-SP,Colubrina,retusa,NA,correct
Columnea sanguinea,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA,7833,Columnea sanguinea (Pers.) Hanst.,NA,Gesneriaceae,species,accepted,Columnea sanguinea,DD,NA,Columnea sanguinea,BR-AL|BR-AM|BR-BA|BR-CE|BR-ES|BR-RO|BR-RR,Columnea,sanguinea,NA,correct
Comanthera bahiensis,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN,116305,Comanthera bahiensis (Moldenke) L.R.Parra & Giul.,NA,Eriocaulaceae,species,accepted,Comanthera bahiensis,EN,NA,Comanthera bahiensis,BR-BA,Comanthera,bahiensis,NA,correct
Comanthera brasiliana,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR,116309,Comanthera brasiliana (Giul.) L.R.Parra & Giul.,NA,Eriocaulaceae,species,accepted,Comanthera brasiliana,CR,NA,Comanthera brasiliana,BR-MG,Comanthera,brasiliana,NA,correct
Comanthera elegans,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN,116319,Comanthera elegans (Bong.) L.R.Parra & Giul.,NA,Eriocaulaceae,species,accepted,Comanthera elegans,EN,NA,Comanthera elegans,BR-MG,Comanthera,elegans,NA,correct
Comanthera harleyi,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU,116330,Comanthera harleyi (Moldenke) L.R.Parra & Giul.,NA,Eriocaulaceae,species,accepted,Comanthera harleyi,VU,NA,Comanthera harleyi,BR-BA,Comanthera,harleyi,NA,correct
Comanthera magnifica,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA,116361,Comanthera magnifica (Giul.) L.R.Parra & Giul.,NA,Eriocaulaceae,species,accepted,Comanthera magnifica,DD,NA,Comanthera magnifica,BR-MG,Comanthera,magnifica,NA,correct
Comanthera mucugensis,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN,116362,Comanthera mucugensis (Giul.) L.R.Parra & Giul.,NA,Eriocaulaceae,species,accepted,Comanthera mucugensis,EN,NA,Comanthera mucugensis,BR-BA,Comanthera,mucugensis,NA,correct
Comanthera suberosa,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA,116371,Comanthera suberosa (Giul.) L.R.Parra & Giul.,NA,Eriocaulaceae,species,accepted,Comanthera suberosa,DD,NA,Comanthera suberosa,BR-MG,Comanthera,suberosa,NA,correct
Combretum laxum,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA,6905,Combretum laxum Jacq.,NA,Combretaceae,species,accepted,Combretum laxum,NA,NA,Combretum laxum,BR-AC|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RO|BR-RR|BR-SP|BR-TO,Combretum,laxum,NA,correct
Combretum rupicola,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR,16893,Combretum rupicola Ridl.,NA,Combretaceae,species,accepted,Combretum rupicola,CR,NA,Combretum rupicola,BR-PE,Combretum,rupicola,NA,correct
Commelina diffusa,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA,16911,Commelina diffusa Burm.f.,NA,Commelinaceae,species,accepted,Commelina diffusa,NA,NA,Commelina diffusa,BR-AC|BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PR|BR-RJ|BR-RN|BR-RR|BR-RS|BR-SC|BR-SE|BR-SP|BR-TO,Commelina,diffusa,NA,correct
Comparettia falcata var. paulensis,sima-cncflora_web,NA,DD,NA,NA,NA,DD,NA,NA,NA,37434,Comparettia falcata var. paulensis (Cogn.) I.Bock,NA,Orchidaceae,variety,accepted,Comparettia falcata var. paulensis,DD,NA,Comparettia falcata var. paulensis,BR-SP,Comparettia,falcata,paulensis,correct
Conceveiba prealta,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA,35754,Conceveiba prealta (Croizat) Punt ex J.Murillo,NA,Euphorbiaceae,species,accepted,Conceveiba prealta,NA,NA,Conceveiba prealta,BR-AM,Conceveiba,prealta,NA,correct
Conchocarpus bellus,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR,441,Conchocarpus bellus Kallunki,NA,Rutaceae,species,accepted,Conchocarpus bellus,CR,NA,Conchocarpus bellus,BR-ES,Conchocarpus,bellus,NA,correct
Conchocarpus cauliflorus,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR,442,Conchocarpus cauliflorus Pirani,NA,Rutaceae,species,accepted,Conchocarpus cauliflorus,CR,NA,Conchocarpus cauliflorus,BR-ES,Conchocarpus,cauliflorus,NA,correct
Conchocarpus fontanesianus,cncflora_ckan-UICN_API,NA,NA,NA,NA,NA,LC,LC,NA,NA,453,Conchocarpus fontanesianus (A. St.-Hil.) Kallunki & Pirani,NA,Rutaceae,species,accepted,Conchocarpus fontanesianus,NA,NA,Conchocarpus fontanesianus,BR-MG|BR-RJ|BR-SP,Conchocarpus,fontanesianus,NA,correct
Conchocarpus marginatus,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR,470,Conchocarpus marginatus (Rizzini) Kallunki & Pirani,NA,Rutaceae,species,accepted,Conchocarpus marginatus,CR,NA,Conchocarpus marginatus,BR-ES,Conchocarpus,marginatus,NA,correct
Condalia buxifolia,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN,108412,Condalia buxifolia Reissek,NA,Rhamnaceae,species,accepted,Condalia buxifolia,EN,NA,Condalia buxifolia,BR-BA|BR-RJ|BR-RS|BR-SC,Condalia,buxifolia,NA,correct
Connarus rostratus,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA,6956,Connarus rostratus (Vell.) L.B.Sm.,NA,Connaraceae,species,accepted,Connarus rostratus,LC,NA,Connarus rostratus,BR-PR|BR-RJ|BR-SC|BR-SP,Connarus,rostratus,NA,correct
Connarus suberosus,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA,16932,Connarus suberosus Planch.,NA,Connaraceae,species,accepted,Connarus suberosus,NA,NA,Connarus suberosus,BR-AM|BR-BA|BR-DF|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PI|BR-SP|BR-TO,Connarus,suberosus,NA,correct
Conocarpus erectus,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA,6910,Conocarpus erectus L.,NA,Combretaceae,species,accepted,Conocarpus erectus,NA,NA,Conocarpus erectus,BR-AL|BR-BA|BR-CE|BR-ES|BR-MA|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-SE|BR-SP,Conocarpus,erectus,NA,correct
Constantia cipoensis,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR,31806,Constantia cipoensis Porto & Brade,NA,Orchidaceae,species,accepted,Constantia cipoensis,CR,NA,Constantia cipoensis,BR-MG,Constantia,cipoensis,NA,correct
Constantia cristinae,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA,31807,Constantia cristinae F.E.L.Miranda,NA,Orchidaceae,species,accepted,Constantia cristinae,DD,NA,Constantia cristinae,BR-MG,Constantia,cristinae,NA,correct
Constantia microscopica,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA,31808,Constantia microscopica F.E.L.Miranda,NA,Orchidaceae,species,accepted,Constantia microscopica,DD,NA,Constantia microscopica,BR-MG,Constantia,microscopica,NA,correct
Constantia rupestris,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA,11384,Constantia rupestris Barb.Rodr.,NA,Orchidaceae,species,accepted,Constantia rupestris,DD,NA,Constantia rupestris,BR-ES|BR-RJ,Constantia,rupestris,NA,correct
Convolvulus hasslerianus,sima-SP_oficial-cncflora_web,NA,DD,EX,EX,NA,DD,NA,NA,NA,6977,Convolvulus hasslerianus (Chodat) O'Donell,NA,Convolvulaceae,species,accepted,Convolvulus hasslerianus,DD,NA,Convolvulus hasslerianus,BR-MS|BR-PR|BR-RS|BR-SC|BR-SP,Convolvulus,hasslerianus,NA,correct
Copaifera langsdorffii,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA,22896,Copaifera langsdorffii Desf.,NA,Fabaceae,species,accepted,Copaifera langsdorffii,NA,NA,Copaifera langsdorffii,BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RO|BR-SP|BR-TO,Copaifera,langsdorffii,NA,correct
Copaifera lucens,cncflora_ckan,NA,NA,NA,NA,NA,LC,NA,NA,NA,78656,Copaifera lucens Dwyer,NA,Fabaceae,species,accepted,Copaifera lucens,NA,NA,Copaifera lucens,BR-BA|BR-ES|BR-MG|BR-RJ|BR-SP,Copaifera,lucens,NA,correct
Copaifera trapezifolia,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA,82976,Copaifera trapezifolia Hayne,NA,Fabaceae,species,accepted,Copaifera trapezifolia,NA,NA,Copaifera trapezifolia,BR-BA|BR-MG|BR-PE|BR-PR|BR-RJ|BR-SC|BR-SP,Copaifera,trapezifolia,NA,correct
Coppensia hydrophila,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA,122236,Gomesa hydrophila (Barb.Rodr.) M.W.Chase & N.H.Williams,NA,Orchidaceae,species,accepted,Gomesa hydrophila,LC,replaced synonym,Coppensia hydrophila,BR-DF|BR-GO|BR-MG|BR-PR|BR-SP|BR-TO,Gomesa,hydrophila,NA,correct
Coppensia macronyx,sima-cncflora_web-Portaria 443/2014,VU,NA,NA,NA,NA,VU,NA,NA,VU,612309,Gomesa florida (Vell.) Meneguzzo,NA,Orchidaceae,species,accepted,Gomesa florida,NA,replaced synonym,Coppensia macronyx,BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP,Gomesa,florida,NA,correct
Coppensia majevskyi,sima-cncflora_web-Portaria 443/2014,EN,NA,NA,NA,NA,EN,NA,NA,EN,122246,Gomesa majevskyae (Toscano & V.P.Castro) M.W.Chase & N.H.Williams,NA,Orchidaceae,species,accepted,Gomesa majevskyae,EN,replaced synonym,Coppensia majevskyi,BR-BA|BR-ES|BR-RJ|BR-SP,Gomesa,majevskyae,NA,correct
Coppensia montana,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA,122026,Gomesa barbaceniae (Lindl.) M.W.Chase & N.H.Williams,NA,Orchidaceae,species,accepted,Gomesa barbaceniae,LC,replaced synonym,Coppensia montana,BR-ES|BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP,Gomesa,barbaceniae,NA,correct
Coppensia ramosa,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA,122263,Gomesa ramosa (Lindl.) M.W.Chase & N.H.Williams,NA,Orchidaceae,species,accepted,Gomesa ramosa,LC,replaced synonym,Coppensia ramosa,BR-BA|BR-ES|BR-MG|BR-PR|BR-RJ|BR-SC|BR-SP,Gomesa,ramosa,NA,correct
Coppensia varicosa,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA,122278,Gomesa varicosa (Lindl.) M.W.Chase & N.H.Williams,NA,Orchidaceae,species,accepted,Gomesa varicosa,LC,replaced synonym,Coppensia varicosa,BR-BA|BR-MG|BR-PR|BR-SC|BR-SP,Gomesa,varicosa,NA,correct
Cordia insignis,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA,16514,Cordia insignis Cham.,NA,Boraginaceae,species,accepted,Cordia insignis,NA,NA,Cordia insignis,BR-GO|BR-MG|BR-MS|BR-MT|BR-SP,Cordia,insignis,NA,correct
Cordia magnoliifolia,cncflora_ckan,NA,NA,NA,NA,NA,LC,NA,NA,NA,81279,Cordia magnoliifolia Cham.,NA,Boraginaceae,species,accepted,Cordia magnoliifolia,NA,NA,Cordia magnoliifolia,BR-MG|BR-PR|BR-RJ|BR-SP,Cordia,magnoliifolia,NA,correct
Cordia ochnacea,cncflora_ckan,NA,NA,NA,NA,NA,EN,NA,NA,NA,16523,Cordia ochnacea DC.,NA,Boraginaceae,species,accepted,Cordia ochnacea,NA,NA,Cordia ochnacea,BR-RJ|BR-SP,Cordia,ochnacea,NA,correct
