especie,cat_ameaca_br_old,cat_ameaca_cncflora_old,cat_ameaca_sp_old,cat_ameaca_sp,cat_ameaca_CR_lac,cat_ameaca_br,cat_ameaca_cncfloraweb
Abarema acreana,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Abarema villifera,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Abatia angeliana,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Abuta selloana,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Abutilon anodoides,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Abutilon nigricans,CR,s.i.,CR,CR,s.i.,CR,CR
Abutilon venosum,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Acaena eupatoria,s.i.,NA,VU,VU,s.i.,s.i.,s.i.
Acanthocladus brasiliensis,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Acanthostachys pitcairnioides,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Acanthosyris paulo-alvinii,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Accara elegans,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Achatocarpus praecox,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Achetaria caparaoense,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Achetaria latifolia,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Achimenes ichtyostoma,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Acianthera adiri,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Acianthera heringeri,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Acianthera karlii,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Acianthera langeana,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Acianthera ophiantha,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Acianthera papillosa,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Acianthera pernambucensis,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Acianthera tricarinata,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Acicarpha tribuloides,s.i.,LC,EX,EX,s.i.,s.i.,LC
Acmella pusilla,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Acritopappus catolesensis,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Acritopappus connatifolius,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Acritopappus irwinii,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Acritopappus pintoi,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Acroceras excavatum,s.i.,DD,VU,VU,s.i.,s.i.,DD
Acrocomia emensis,VU,s.i.,VU,VU,s.i.,VU,VU
