especie,cat_ameaca_br_old,cat_ameaca_cncflora_old,cat_ameaca_sp_old,cat_ameaca_sp,cat_ameaca_CR_lac,cat_ameaca_cncfloraweb,cat_ameaca_br
Abarema acreana,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Abarema brachystachya,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Abarema cochliacarpos,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Abarema obovata,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Abarema villifera,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Abatia angeliana,VU,s.i.,s.i.,s.i.,s.i.,s.i.,VU
Abuta selloana,s.i.,LC,s.i.,s.i.,s.i.,LC,s.i.
Abutilon anodoides,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Abutilon costicalyx,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Abutilon nigricans,CR,s.i.,CR,CR,s.i.,CR,CR
Abutilon venosum,s.i.,DD,s.i.,s.i.,s.i.,DD,s.i.
Acaena eupatoria,s.i.,NA,VU,VU,s.i.,s.i.,s.i.
Acanthocladus brasiliensis,s.i.,LC,s.i.,s.i.,s.i.,LC,s.i.
Acanthostachys pitcairnioides,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Acanthosyris paulo-alvinii,VU,s.i.,s.i.,s.i.,s.i.,s.i.,VU
Accara elegans,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Achatocarpus praecox,s.i.,LC,s.i.,s.i.,s.i.,LC,s.i.
Achetaria caparaoense,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Achetaria latifolia,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Achimenes ichtyostoma,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Acianthera adiri,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Acianthera aphthosa,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Acianthera auriculata,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Acianthera bragae,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
