"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","recordNumber","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","typeStatus"
"1","2021-04-05 14:25:11-03","UNESC","CRI","12914","PreservedSpecimen","Plantae","Cyperaceae","Rhynchospora","holoschoenoides","Rhynchospora holoschoenoides","(Rich.) Herter","Renato Colares","2018","03","05","Renato Colares","2018","02","10","Brasil","Santa Catarina","Sombrio","Boa Esperança","-49.675556","-29.109167","49º40'32''W","29º6'33''S","18","18","Habitat: Terrícola Habito: Herbácea","CRI011522","CRI011522",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:29-03","UNESC","CRI","11786","PreservedSpecimen","Plantae","Cyperaceae","Rhynchospora","holoschoenoides","Rhynchospora holoschoenoides","(Rich.) Herter","P. Weber",NA,NA,NA,"P. Weber; A. S. Mello & R.E. Ardissone","2012","05","04","Brasil","Santa Catarina","Itapoá","Restinga a cerca de 200 m da praia, sol pleno.","-48.670556","-26.071667","48º40'14''W","26º4'18''S",NA,NA,"Restinga","CRI002211","CRI002211","90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:11-03","UNESC","CRI","13401","PreservedSpecimen","Plantae","Cyperaceae","Rhynchospora","holoschoenoides","Rhynchospora holoschoenoides","(Rich.) Herter","Renato Colares","2018","05","30","Renato Colares","2018","01","15","Brasil","Santa Catarina","Siderópolis",NA,"-49.404167","-28.614444","49º24'15''W","28º36'52''S","139","139","Habitat: Terrestre Habito: Herbácea","CRI012008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:29-03","UNESC","CRI","7797","PreservedSpecimen","Plantae","Cyperaceae","Rhynchospora","holoschoenoides","Rhynchospora holoschoenoides","(Rich.) Herter","R. Trevisan","2010","10","27","T. B. Guimarães; Daniel de Barcelos Falkenberg","2003","12","24","Brasil","Santa Catarina","Florianópolis","Parque Municipal das Dunas da Lagoa da Conceição, Ilha de SC.","-48.48","-27.592222","48º28'48''W","27º35'32''S","17","17","Habitat: Baixada alagada, entre dunas, na restinga Habito: erva","CRI002212","CRI002212","401",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","612849","PreservedSpecimen","Plantae","Cyperaceae","Rhynchospora","arechavaletae","Rhynchospora arechavaletae","Boeckeler","M. Barros",NA,NA,NA,"R. Reitz","1953","09","24","Brazil","Santa Catarina",NA,"Campo do Massiambú, Palhoça.","-48.62515","-27.834087",NA,NA,"2","2","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=148118' target='other'> <mi>dwc_moreinfo</mi></a>","NY00612849","NY00612849_01","1010","Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","612850","PreservedSpecimen","Plantae","Cyperaceae","Rhynchospora","arechavaletae","Rhynchospora arechavaletae","Boeckeler","M. Barros",NA,NA,NA,"R. Reitz","1953","11","04","Brazil","Santa Catarina",NA,"Campo do Massiambú, Palhoça.","-48.62515","-27.834087",NA,NA,"3","3","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=148119' target='other'> <mi>dwc_moreinfo</mi></a>","NY00612850","NY00612850_01","1373","Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","612851","PreservedSpecimen","Plantae","Cyperaceae","Rhynchospora","arechavaletae","Rhynchospora arechavaletae","Boeckeler","T. M. Koyama",NA,NA,NA,"B. J. Pickel","1931","10","20","Brazil","Pernambuco",NA,"Tapera.","-35.18","-8.12",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=148120' target='other'> <mi>dwc_moreinfo</mi></a>","NY00612851","NY00612851_01","860","Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1522513","PreservedSpecimen","Plantae","Cyperaceae","Rhynchospora","cyperoides","Rhynchospora cyperoides","Mart.",NA,NA,NA,NA,"S. Rabello","1908","02","06","Brazil","São Paulo",NA,"In einem SUmpfe bei St. Anna unweit S. Paulo in Brasilien auf schwarzer, humusreicher Erde.",NA,NA,NA,NA,"700",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1753200' target='other'> <mi>dwc_moreinfo</mi></a>","NY01522513","NY01522513_01","189","Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01200306","PreservedSpecimen","Plantae","Cyperaceae","Rhynchospora","holoschoenoides","Rhynchospora holoschoenoides","(Rich.) Herter","M. T. Strong",NA,NA,NA,"F. R. Fosberg","1947","12","08","Brazil","Pará",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1440278' target='other'> <mi>dwc_moreinfo</mi></a>","NY01200306","NY01200306_01","29336","Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","589502","PreservedSpecimen","Plantae","Cyperaceae","Rhynchospora","holoschoenoides","Rhynchospora holoschoenoides","(Rich.) Herter","T. M. Koyama",NA,NA,NA,"R. M. Harley","1974","03","30","Brazil","Bahia",NA,"Ca. 5 km S.W. of Itacaré. On side road south from the main Itacaré-Ubaitaba road. South of the mouth of the Rio de Contas.","-39.05","-14.33",NA,NA,NA,"100","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=323549' target='other'> <mi>dwc_moreinfo</mi></a>","NY00589502","NY00589502_01","17506","Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
