"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","coordinatePrecision","geoFlag","fieldNumber","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","00857695","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Hyptis","penaeoides","Hyptis penaeoides","Taub.","R. M. Harley","H. S. Irwin","24942","1969","03","23","South America","Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, ca. 10 km south of Alto Paraíso (formerly Veadeiros)","-47.5167","-14.20708","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=945099' target='other'> <mi>dwc_moreinfo</mi></a>","NY00857695","NY00857695_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00857694","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Hyptis","penaeoides","Hyptis penaeoides","Taub.","R. M. Harley","G. T. Prance","58277","1964","07","21","South America","Brazil","Goiás","Alto Paraíso de Goiás","5-15 km. south of Veadeiros, road to São João da Aliança.","-47.5097","-14.1325",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=945100' target='other'> <mi>dwc_moreinfo</mi></a>","NY00857694","NY00857694_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 09:32:36-03","NBC","NL-BOTANY","U.1405691","PreservedSpecimen","Plantae",NA,"Lamiales","Labiatae","Hyptis","penaeoides","Hyptis penaeoides","Taub.",NA,"Prance GT; Silva NT",NA,"1964","07","21","Southern America","Brazil",NA,NA,"New Brazilian Highways, Chapada dos Veadeiros, Goias, 5 - 15 km South of Veadeiros, road to San Joao d'Alianca. On cerrado.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1405691 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1405691","NL-U1405691","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-12-21 16:30:19-03","MBM","MBM","138970","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","penaeoides","Hyptis penaeoides","Taub.","Harley, R.M.","Pirani, J.R.; et al.; et al.","1755","1987","02","07","Southern America","Brazil","Goiás","Alto Paraíso de Goiás","Parque Nacional da Chapada dos Veadeiros","-47.5099983215332","-14.1324996948242",NA,NA,NA,NA,"MBM138970","MBM138970",NA,"44724","auto",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-12-21 16:30:19-03","MBM","MBM","159340","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","penaeoides","Hyptis penaeoides","Taub.","Harley, R.M.","Hatschbach, G.; Hatschbach, M.; Barboza, E.; Hatschbach, M.; Barboza, E.","59348","1993","06","13","Southern America","Brazil","Goiás","Alto Paraíso de Goiás","Rod. GO-118, 5-8 km S de Alto Paraíso","-47.5099983215332","-14.1324996948242",NA,NA,NA,NA,"MBM159340","MBM159340",NA,"44724","auto",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-12-21 16:30:19-03","MBM","MBM","249523","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","penaeoides","Hyptis penaeoides","Taub.","Harley, R.M.","Pirani, J.R.; et al.; et al.","1755",NA,NA,NA,"Southern America","Brazil","Goiás","Alto Paraíso de Goiás","Parque Nacional da Chapada dos Veadeiros","-47.5099983215332","-14.1324996948242",NA,NA,NA,NA,"MBM249523","MBM249523",NA,"44724","auto",NA,NA,NA,NA,NA,NA,NA,NA
"7","2015-09-04 08:18:22-03","MNHN","RECOLNAT_MNHN_P","P03002294","PreservedSpecimen",NA,NA,NA,"Lamiaceae","Hyptis","penaeoides","Hyptis penaeoides","Taub.",NA,"Ule, E.",NA,"1892","9","1",NA,"Brasil",NA,NA,"Brésil Prov. de Goyaz. Serra dos Viadeiros.",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03002294' target='other'> <mi>dwc_moreinfo</mi></a>","P03002294","P03002294_01",NA,NA,NA,"78",NA,NA,NA,NA,NA,NA,NA
"8","2015-09-04 08:18:22-03","MNHN","RECOLNAT_MNHN_P","P03002292","PreservedSpecimen",NA,NA,NA,"Lamiaceae","Hyptis","penaeoides","Hyptis penaeoides","Taub.",NA,"Glaziou, A.",NA,"1885","1","4",NA,"Brasil",NA,NA,"Brésil. Goyaz. Cachoeira de Vargem Grande.",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03002292' target='other'> <mi>dwc_moreinfo</mi></a>","P03002292","P03002292_01",NA,NA,NA,"21624",NA,NA,NA,NA,NA,NA,NA
"9","2015-09-04 08:18:22-03","MNHN","RECOLNAT_MNHN_P","P03002293","PreservedSpecimen",NA,NA,NA,"Lamiaceae","Hyptis","penaeoides","Hyptis penaeoides","Taub.",NA,"Glaziou, A.",NA,"1895","1","4",NA,"Brasil",NA,NA,"Brésil )Goyaz) Cachoeira de Vargem Grande.",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03002293' target='other'> <mi>dwc_moreinfo</mi></a>","P03002293","P03002293_01",NA,NA,NA,"21624",NA,NA,NA,NA,NA,NA,NA
"10","2015-09-04 08:18:22-03","MNHN","RECOLNAT_MNHN_P","P03002295","PreservedSpecimen",NA,NA,NA,"Lamiaceae","Hyptis","penaeoides","Hyptis penaeoides","Taub.",NA,"Prance, G.T.",NA,"1964","7","21",NA,"Brasil",NA,NA,"Chapada dos Veadeiros, Goiás. 5-15km. south of Veadeiros, road to San João d´Alianca. .",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03002295' target='other'> <mi>dwc_moreinfo</mi></a>","P03002295","P03002295_01",NA,NA,NA,"58277",NA,NA,NA,NA,NA,NA,NA
