"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","428260","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Hirtella","parviunguis","Hirtella parviunguis","Prance","isotype","T. S. dos Santos","1512","1971","03","30","South America","Brazil","Espírito Santo","Linhares estrada a povoacao ao L.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=545511' target='other'> <mi>dwc_moreinfo</mi></a>","NY00428260","NY00428260_01 NY00428260_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-08-31 09:00:58-03","INPA","INPA","95330","S","Plantae","Dicotyledon Com-Clade","Malpighiales","Chrysobalanaceae","Hirtella","parviunguis","Hirtella parviunguis","Prance",NA,"Folli, DA","80","1979","07","10","Southern America","Brasil","Espírito Santo","Reserva Florestal da CVRD, estrada 142, Km 1.250, lado direito",NA,NA,"INPA0095330","INPA0095330 INPA0095330_e INPA0095330_e1","Asprino, R","2019","08","09","Linhares","-40.0722007751465","-19.3910999298096","48094","auto",NA,NA,NA,NA,NA,NA
"3","2021-01-10 20:45:07-03","INPA","INPA","105329","segun","Plantae","Dicotyledon Com-Clade","Malpighiales","Chrysobalanaceae","Hirtella","parviunguis","Hirtella parviunguis","Prance",NA,"Folli, DA","80","1979","07","10","Southern America","Brasil","Espírito Santo","Reserva Florestal da CVRD, estrada 142, Km 1.250, lado direito",NA,NA,"INPA0105329","INPA0105329 INPA0105329_e INPA0105329_e1","Asprino, R","2019","08","09","Linhares","-40.0722007751465","-19.3910999298096","48094","auto",NA,NA,NA,NA,NA,NA
"4","2021-02-25 10:12:46-03","CVRD","CVRD","12165","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Hirtella","parviunguis","Hirtella parviunguis","Prance",NA,"Folli, D.A.","6341","2009","04","22","América do Sul","BRASIL","ES",NA,NA,"<ll>dwc_commonname:</ll> Macucurana","CVRD012165",NA,"Asprino, R.","2015","06","08","Linhares","-39.893026","-19.148863",NA,NA,"Magnoliopsida","-39,893026","-19,148863","17","17",NA
"5","2021-02-25 10:12:46-03","CVRD","CVRD","4544","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Hirtella","parviunguis","Hirtella parviunguis","Prance",NA,"Folli, D.A.","1958","1993","08","24","América do Sul","BRASIL","ES","Próximo à antiga casa de guarda.",NA,"<ll>dwc_commonname:</ll> Macucurana","CVRD004544","CVRD004544","Asprino, R.","2015","06","08","Linhares","-40.0722007751465","-19.3910999298096","48094","auto","Magnoliopsida",NA,NA,NA,NA,NA
"6","2021-02-25 10:12:46-03","CVRD","CVRD","302","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Hirtella","parviunguis","Hirtella parviunguis","Prance",NA,"Folli, D.A.","80","1979","07","10","América do Sul","BRASIL","ES","Próximo ao Bloco 2-16, lado direito de uma água em frente a coleta DAF nº 061.",NA,"<ll>dwc_commonname:</ll> Macucurana","CVRD000302","CVRD000302","Asprino, R.","2015","06","08","Linhares","-40.0722007751465","-19.3910999298096","48094","auto","Magnoliopsida",NA,NA,NA,NA,NA
"7","2021-02-25 10:12:46-03","CVRD","CVRD","4618","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Hirtella","parviunguis","Hirtella parviunguis","Prance",NA,"Folli, D.A.","2007","1993","09","15","América do Sul","BRASIL","ES","Próximo ao viveiro.",NA,"<ll>dwc_commonname:</ll> Macucurana","CVRD004618",NA,"Asprino, R.","2015","06","08","Linhares","-40.0722007751465","-19.3910999298096","48094","auto","Magnoliopsida",NA,NA,NA,NA,NA
"8","2020-07-23 12:02:54-03","CEPLAC","CEPEC","69234","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Hirtella","parviunguis","Hirtella parviunguis",NA,NA,"G. Hatschbach","59746","1993","11","08",NA,"Brasil","Espírito Santo","Melgaço.",NA,NA,NA,NA,"R. Asprino",NA,NA,NA,"domingos martins","-40.6591987609863","-20.3633003234863","48150","auto",NA,NA,NA,NA,NA,"30/12/1994"
"9","2020-07-23 12:02:54-03","CEPLAC","CEPEC","6736","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Hirtella","parviunguis","Hirtella parviunguis",NA,"Holótipo","T. S. dos Santos","1512","1971","03","30",NA,"Brasil","Espírito Santo","Estrada a E de Povoação.",NA,NA,NA,NA,"G. T. Prance",NA,NA,NA,"LINHARES","-40.0722007751465","-19.3910999298096","48094","auto",NA,"0W0'0","0S0'0",NA,NA,"30/12/1979"
