"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","phylum","order","infraspecificEpithet","typeStatus","recordNumber","continentOcean","preparationType","imagecode","coordinatePrecision","geoFlag","relationshipType","relatedCatalogItem","class","fieldNumber","individualCount"
"1","2021-04-05 14:33:50-03","UNESC","CRI","15303","PreservedSpecimen","Plantae","Orchidaceae","Liparis","vexillifera","Liparis vexillifera","(La Llave & Lex.) Cogn.","João Paulo Gava Just","2020","01","07","João Paulo Gava Just","2020","01","01","Brasil","Santa Catarina","Bom Jardim da Serra","Trilha para o Pico do Rinoceronte.","-49.653889","-28.582222","49º39'14''W","28º34'56''S","1287","1287","Flor amarela. Foram observados quatro indivíduos esparsos. Habitat: Terrestre Habito: Herbácea","CRI014720",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2017-07-17 15:45:00-03","NY","NYBG","4197","PreservedSpecimen","Plantae","Orchidaceae","Liparis","vexillifera","Liparis vexillifera latifolia","Cogn.",NA,NA,NA,NA,"P. G. Lorentz","1874","01",NA,"Argentina","Tucumán",NA,"Cuesta del Garavatal, Sierra de Tucuman",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=561163' target='other'> <mi>dwc_moreinfo</mi></a>","NY00004197","Magnoliophyta","Asparagales","latifolia","isolectotype","876","South America","sheet","NY00004197_01",NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:52:48-03","EAO","IAN","130452","PreservedSpecimen","Plantae","Orchidaceae","Liparis","vexillifera","Liparis vexillifera","Cogn.","Pabst, GFJ",NA,NA,NA,"Irwin, HS; Maxwell, HS","1968","02","20","Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,"1300","1300","Terrestrial, the leaf solitary. Inflorescence to ca. 10 cm tall. Perianth yellow.","IAN130452","Monocotiledônea",NA,NA,NA,"20586","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-08 17:44:59-03","EAO","IAN","19338","PreservedSpecimen","Plantae","Orchidaceae","Liparis","vexillifera","Liparis vexillifera latifolia","Cogn.",NA,NA,NA,NA,"Larentz",NA,NA,NA,"Argentina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN019338","Monocotiledônea",NA,"latifolia",NA,"876","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-04 12:17:31-03","ESALQ","ESA","126497","PreservedSpecimen","Plantae","Orchidaceae","Liparis","vexillifera","Liparis vexillifera",NA,"Emed, E.C.","1905","06","26","Hatschbach, G.","1905","06","22","Brasil","Goiás","Pirenópolis",NA,"-48.9592018127441","-15.852499961853",NA,NA,NA,NA,NA,"ESA126497","Magnoliophyta",NA,NA,NA,"70082.0",NA,NA,NA,"40887","auto",NA,NA,NA,NA,NA
"6","2021-03-31 13:41:04-03","MN","R","18435","PreservedSpecimen","Plantae","Orchidaceae","Liparis","campestris","Liparis campestris","Barb. Rodr.","Brade, A.C.","1928",NA,NA,"Netto, L.S.M.","1871",NA,NA,"Brasil","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-31 13:41:04-03","MN","R","18437","PreservedSpecimen","Plantae","Orchidaceae","Liparis","campestris","Liparis campestris","Barb. Rodr.","Brade, A.C.","1928",NA,NA,"Dusén, P.K.H.","1904","01","26","Brasil","Paraná","Curitiba",NA,"-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3279",NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA
"8","2021-03-31 13:41:04-03","MN","R","18436","PreservedSpecimen","Plantae","Orchidaceae","Liparis","campestris","Liparis campestris","Barb. Rodr.","Brade, A.C.","1928",NA,NA,"Dusén, P.K.H.","1904","02","07","Brasil","Paraná","Ipiranga",NA,"-50.5842018127441","-25.0238990783691",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3540",NA,NA,NA,"31827","auto",NA,NA,NA,NA,NA
"9","2021-03-31 13:41:04-03","MN","R","70472","PreservedSpecimen","Plantae","Orchidaceae","Liparis","campestris","Liparis campestris","Barb. Rodr.","Bowden, J.K.","1964","02",NA,"Segadas-Vianna, F.","1951","03",NA,"Brasil","São Paulo","São José do Barreiro",NA,"-44.5699996948242","-22.6399993896484",NA,NA,NA,NA,"Herbario Fernando Segadas Vianna",NA,NA,NA,NA,NA,"3022",NA,NA,NA,"30784","auto",NA,NA,NA,NA,NA
"10","2021-03-31 13:41:04-03","MN","R","221432","PreservedSpecimen","Plantae","Orchidaceae","Liparis","vexillifera","Liparis vexillifera","(La Llave & Lex.) Cogn.","Pabst, G.F.J.","1978","01","25","Smith, L.B.; Klein, R.M.","1957","03","15","Brasil","Santa Catarina","Porto União",NA,"-51.0783004760742","-26.2381000518799",NA,NA,"1300","1300",NA,NA,NA,NA,NA,NA,"12159",NA,NA,NA,"41804","auto",NA,NA,NA,NA,NA
"11","2019-12-19 08:08:17-03","FPS","FPS","2064","MachineObservation","Plantae","Orchidaceae","Liparis","vexillifera","Liparis vexillifera","(La Llave & Lex.) Cogn.","Schwirkowski, P.","2016","02","01","Schwirkowski, P.","2016","02","07","Brasil","Santa Catarina","São Bento do Sul","Minas de caulin.","-49.22145","-26.284687","-49.22145","-26.284687",NA,NA,NA,"FPS02064,FURB49623",NA,NA,NA,NA,"1555",NA,NA,"FPS02064_v01 FPS02064_v02 FPS02064_v03 FPS02064_v04 FURB49623",NA,NA,"voucher","FURB 49623",NA,NA,NA
