"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","class","relatedCatalogItem","yearIdentified","coordinatePrecision","geoFlag","eventTime","monthIdentified","dayIdentified","individualCount","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","615752","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrceugenia","hatschbachii","Myrceugenia hatschbachii","Landrum","L. R. Landrum","R. Kummrow","962","1975","11","03","South America","Brazil","Paraná","Ponta Grossa","Rod. do Café, Rio Tibagi","-49.891776","-25.299294","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=444974' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615752","NY00615752_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","405353","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrceugenia","hatschbachii","Myrceugenia hatschbachii","Landrum",NA,"G. G. Hatschbach","13043","1965","10","22","South America","Brazil","Paraná","Palmeira","Rod. do Café, Rio Tibagi","-49.891776","-25.299294","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=444975' target='other'> <mi>dwc_moreinfo</mi></a>","NY00405353","NY00405353_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 10:06:48-03","NBC","NL-BOTANY","U 0005087","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Myrceugenia","hatschbachii","Myrceugenia hatschbachii","Landrum","Landrum LR","Hatschbach GG",NA,"1965","10","22","Southern America","Brazil","Paraná",NA,"Rod. do Café, Rio Tibagi (mun. Palmeira) Paraná",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200005087 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0005087","NL-U0005087","isotype","Magnoliopsidae","52229",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 10:06:48-03","NBC","NL-BOTANY","WAG.1116150","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Myrceugenia","hatschbachii","Myrceugenia hatschbachii","Landrum",NA,"Cordeiro J; Hatschbach GG",NA,"1988","04","05","Southern America","Brazil",NA,NA,"Rio Tibagi (mun. Palmeira) Paraná.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1116150 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1116150","NL-WAG1116150",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-16 17:53:57-03","UCS","HUCS","4165","PreservedSpecimen","Plantae","Angiospermae","Myrtales","Myrtaceae","Myrceugenia","hatschbachii","Myrceugenia hatschbachii","Legrand","Hatschbach, G.","Cordeiro, J.","528","1988","04","05",NA,"Brasil","Paraná","Palmeira","Rio Tibagi","-50.0064010620117","-25.4293994903564",NA,"frutos imaturos, arbustio 1,60m; beira do rio - zona de campo",NA,NA,NA,NA,NA,"1988","35166","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2014-10-14 15:57:00-03","BS","M","M-0136818","S","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrceugenia","hatschbachii","Myrceugenia hatschbachii","Landrum",NA,"Hatschbach, G.",NA,"1965","10","21",NA,"Brasil",NA,NA,"Brasil: Paraná, Rod. do Café, Rio Tibagi",NA,NA,NA,NA,"M0136818",NA,"ISOTYPE","Magnoliopsida",NA,NA,NA,NA,"21:00",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-12-21 16:36:59-03","MBM","MBM","4167","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrceugenia","hatschbachii","Myrceugenia hatschbachii","Landrum","Landrum, L.R.","Hatschbach, G.","17562","1967","10","22","Southern America","Brazil","Paraná","Lapa","Gruta do Monge","-49.7158012390137","-25.7696990966797",NA,"Arbusto flor alva, 1,20m de alt. Orla do capão; Arbusto 1,20m, flor alva.; Orla de capão.","MBM004167","MBM004167","PARATYPE",NA,NA,"1982","49965","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-21 16:36:59-03","MBM","MBM","59585","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrceugenia","hatschbachii","Myrceugenia hatschbachii","Landrum","Landrum, L.R.","Hatschbach, G.","30741","1972","11","20","Southern America","Brazil","Paraná","Palmas","Morro da Baliz, Lajeadinho","-51.9906005859375","-26.4841995239258",NA,NA,"MBM059585","MBM059585",NA,NA,NA,NA,"46666","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-12-21 16:36:59-03","MBM","MBM","61422","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrceugenia","hatschbachii","Myrceugenia hatschbachii","Landrum","Landrum, L.R.","Landrum, L.R.","2545","1977","11","16","Southern America","Brazil","Paraná","Palmeira","Rio Tibagi","-50.0064010620117","-25.4293994903564",NA,NA,"MBM061422","MBM061422",NA,NA,NA,NA,"35166","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-12-21 16:36:59-03","MBM","MBM","121013","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrceugenia","hatschbachii","Myrceugenia hatschbachii","Landrum","Hatschbach, G.","Cordeiro, J.; Hatschbach, G.; Hatschbach, G.","528","1988","04","05","Southern America","Brazil","Paraná","Palmeira","Rio Tibagi","-50.0064010620117","-25.4293994903564",NA,NA,"MBM121013","MBM121013",NA,NA,NA,NA,"35166","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
