"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","scientificNameAuthorship","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","continentOcean","preparationType","barcode","imagecode","class","relatedCatalogItem","typeStatus","fieldNumber","infraspecificEpithet","previousCatalogNumber","sex"
"1","2019-06-10 10:10:35-03","FZB-BH","CVJBFZB","3908","S","Plantae","Magnoliophyta","Malpighiales","Passifloraceae","Passiflora","organensis","Passiflora organensis","Fernando Campo","2016","10","02","Carlos Alberto; Fernando Campos","CAF1623","2016","11","02","Brasil","MG","Caeté","Pousada Canela de Ema, Pedra da Cambota, Trilha das Pedras Caídas","-43.6697006225586","-19.8799991607666","22051","2","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:35-03","FZB-BH","CVJBFZB","3602","S","Plantae","Magnoliophyta","Malpighiales","Passifloraceae","Passiflora","cf. porophylla","Passiflora cf. porophylla","Carlos Alberto Ferreira Júnior","2015","12","17","Carlos Alberto Ferreira Júnior; Juliana Ordones","CAF1591","2015","12","16","Brasil","Minas Gerais","Rio Acima","Ponte sobre o Rio das Velhas","-43.7893981933594","-20.0874996185303","13827","1","254","auto","Vell.","43º47'34.6","20º08'17.3","753","753",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:35-03","FZB-BH","CVJBFZB","1915","S","Plantae","Magnoliophyta","Malpighiales","Passifloraceae","Passiflora","porophylla","Passiflora porophylla","Fernando Campos","2007","05",NA,"Juliana Ordones Rego; Albina Carvalho de Oliveira Nogueira, Márcia Bacelar Fonseca, Leandro Lacerda Giacomin, Cláudia Márcia Silva do Carmo",NA,"2006","05","20","Brasil","Minas Gerais","Marliéria","Aníbal","-42.7322006225586","-19.7122001647949","28215",NA,"254","auto","Vell.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1579577","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Passifloraceae","Passiflora","organensis","Passiflora organensis","A. C. Cervi",NA,NA,NA,"G. G. Hatschbach","31348","1973","02","07","Brazil","Espírito Santo","Iúna",NA,"-41.529023","-20.344181",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1786713' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Gardner",NA,NA,"800","1000","South America","sheet","NY01579577","NY01579577_01",NA,NA,NA,NA,NA,NA,NA
"5","2016-09-27 02:08:00-03","NY","NYBG","483985","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Passifloraceae","Passiflora","organensis","Passiflora organensis",NA,NA,NA,NA,"E. Hassler","7875","1901",NA,NA,"Paraguay",NA,NA,"In regione cursus superioris fluminis Apa.",NA,NA,NA,NA,"Herb.DC. 1902 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=686027' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,"South America","sheet","NY00483985",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","483981","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Passifloraceae","Passiflora","organensis","Passiflora organensis","A. C. Cervi",NA,NA,NA,"G. G. Hatschbach","42755","1980","02","13","Brazil","Paraná","Quatro Barras","Quatro Barras, 1 km L, Paraná.","-49.0767","-25.3658",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=686023' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Gardner",NA,NA,NA,NA,"South America","sheet","NY00483981",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00955198","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Passifloraceae","Passiflora","organensis","Passiflora organensis","A. C. Cervi",NA,NA,NA,"H. S. Irwin","30290","1971","01","13","Brazil","Minas Gerais",NA,"Serra do Espinhaço, base of Serra da Piedade, ca. 35 km E. of Belo Horizonte, road to Caeté","-43.676328","-19.820266",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1023565' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Gardner",NA,NA,"1600","1600","South America","sheet","NY00955198","NY00955198_01",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","483983","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Passifloraceae","Passiflora","organensis","Passiflora organensis","E. P. Killip",NA,NA,NA,"R. M. Klein","1932","1956","03","07","Brazil","Santa Catarina","Ibirama","Horto Florestal I.N.P., Ibirama.","-49.5178","-27.0569",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=686022' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Gardner",NA,NA,"400","400","South America","sheet","NY00483983",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","483982","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Passifloraceae","Passiflora","organensis","Passiflora organensis","A. C. Cervi",NA,NA,NA,"N. Imaguire","1171","1969","02","05","Brazil","Paraná","Piraquara","Canguiri.","-49.0631","-25.4419",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=686024' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Gardner",NA,NA,NA,NA,"South America","sheet","NY00483982",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00955197","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Passifloraceae","Passiflora","organensis","Passiflora organensis","A. C. Cervi",NA,NA,NA,"H. S. Irwin","28497","1970","03","28","Brazil","Minas Gerais","Diamantina","Serra do Espinhaço, ca. 3 km N. of São João da Chapada, road to Campo do Sampaio","-43.7833","-18.0833",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1023563' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Gardner",NA,NA,"1200","1200","South America","sheet","NY00955197","NY00955197_01",NA,NA,NA,NA,NA,NA,NA
