"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","individualCount","class","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","803916","PreservedSpecimen","Plantae","Magnoliophyta","Aquifoliales","Aquifoliaceae","Ilex","prostrata","Ilex prostrata","Groppo & Pirani","isotype","M. Groppo, Jr.","624","2001","03","01","South America","Brazil","Minas Gerais","Santana do Riacho","Serra do Cipó, Km. 124 da Rodavia MG-010, campo atrás da sede do IBAMA.","-43.7142","-19.1692","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=818578' target='other'> <mi>dwc_moreinfo</mi></a>","NY00803916","NY00803916_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 11:00:13-03","ESALQ","ESA","9927","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Aquifoliaceae","Ilex","prostrata","Ilex prostrata","Groppo",NA,"Souza, V.C. ; Sakuragui, C.M.","3352.0","1993","05","01",NA,"Brasil","Minas Gerais","Santana do Riacho",NA,"-43.7144012451172","-19.1688995361328",NA,NA,"ESA009927","ESA009927","Groppo Jr., M.","2007","01","01","26557","auto",NA,NA,NA,NA,NA,NA,NA
"3","2020-12-21 16:13:08-03","MBM","MBM","295908","PreservedSpecimen","Plantae",NA,NA,"Aquifoliaceae","Ilex","prostrata","Ilex prostrata","Groppo",NA,"Pirani, J.R.; et al.; et al.","s.n.","1991","04","27","Southern America","Brazil","Minas Gerais","Santana do Riacho","Parque Nacional da Serra do Cipó","-43.7144012451172","-19.1688995361328",NA,NA,"MBM295908","MBM295908",NA,NA,NA,NA,"26557","auto",NA,NA,NA,NA,NA,NA,NA
"4","2020-12-21 16:13:08-03","MBM","MBM","287291","PreservedSpecimen","Plantae",NA,NA,"Aquifoliaceae","Ilex","prostrata","Ilex prostrata","Groppo","ISOTYPE","Groppo Jr, M.; et al.; et al.","624","2001","03","01","Southern America","Brazil","Minas Gerais","Santana do Riacho","Serra do Cipó, Rod. MG-010, km 124","-43.7144012451172","-19.1688995361328",NA,"Subarbusto prostrado, em terreno arenoso, junto à veloziáceas baixas. Folhas coriáceas, as novas com borda púrpura. Frutos alaranjados, imarturos. Solo arenoso-pedregoso, com manchas arenosas.; Subarbusto prostrado, em terreno arenos","MBM287291","MBM287291","Groppo Jr, M.",NA,NA,NA,"26557","auto",NA,NA,NA,NA,NA,NA,NA
"5","2020-06-15 15:28:33-03","UNESP-RC","HRCB","29013","PreservedSpecimen","Plantae",NA,NA,"Aquifoliaceae","Ilex","prostrata","Ilex prostrata","Groppo",NA,"Farinaccio, M.A.","123","1997","06","03",NA,"Brasil","Minas Gerais","Santana do Riacho - Cardel","Serra do Cipó",NA,NA,NA,"Prostrada, flores creme, frutos negros.",NA,NA,"Groppo, M.","2010","03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-02 16:20:17-03","Cenargen","CEN","110520","PreservedSpecimen","Plantae",NA,NA,"Aquifoliaceae","Ilex","prostrata","Ilex prostrata","Groppo",NA,"J. Moises Mendoza F.","4536","2014","12","04",NA,"Brasil","MG","MORRO DO PILAR","Parque Nacional Serra de Cipó. MG-10, portaria do parque Alto Palácio, e 250 m Sul, descendo a encosta.","-43.531111","-19.259444","Exsicatas","Arbusto bastante ramificado. Folhas verde-escuro e lustroso com face abaxial pálida. Plantas dispersas, nos afloramentos. Manchas de cerrado rupestre, área pouco ondulada, mas acidentada.","CEN00110520","CEN00110520","B. M. T. Walter & M. F. Simon","2019","07",NA,NA,NA,"-43.531111","-19.259444","1320","1320","3",NA,NA
"7","2021-03-15 18:25:04-03","USP","SPF","207903","PreservedSpecimen","Plantae",NA,NA,"Aquifoliaceae","Ilex","prostrata","Ilex prostrata","Groppo",NA,"Heiden, G; Pirani, JR; Siniscalchi, CM; Devecchi, MF","1606","2011","02","17",NA,"Brasil","Minas Gerais","Jaboticatubas","Serra do Cipó, Área de Proteção Ambiental Morro da Pedreira, Rodovia Belo Horizonte #?# Conceição do Mato Dentro (MG010), km 116 atual, Alto do Palácio, topo das elevações com escarpas voltadas para o vale do córrego Palácio.","-43.533333","-19.25",NA,"Subarbusto reptante. Ramos castanho-escuros. Folhas verdes, margens e nervura amarelas. Frutos verdes.","SPF00207903","SPF00207903","Heiden, G","2011","02","17",NA,NA,"-43.533333","-19.25","1250","1250",NA,NA,NA
"8","2019-11-13 11:15:34-03","USP","SPF","152402","PreservedSpecimen","Plantae",NA,NA,"Aquifoliaceae","Ilex","prostrata","Ilex prostrata","Groppo",NA,"Groppo, M","1085","2002","06","09",NA,"Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó","-43.7","-19.133333",NA,NA,"SPF00152402","SPF00152402","Groppo, M","2002","06",NA,NA,NA,"-43.7","-19.133333","1100","1100",NA,NA,NA
"9","2019-11-13 11:15:34-03","USP","SPF","152403","PreservedSpecimen","Plantae",NA,NA,"Aquifoliaceae","Ilex","prostrata","Ilex prostrata","Groppo",NA,"Groppo, M","1081","2002","06","09",NA,"Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó","-43.7","-19.133333",NA,NA,"SPF00152403","SPF00152403","Groppo, M","2002","06",NA,NA,NA,"-43.7","-19.133333","1100","1100",NA,NA,NA
"10","2019-11-13 11:15:34-03","USP","SPF","42408","PreservedSpecimen","Plantae",NA,NA,"Aquifoliaceae","Ilex","prostrata","Ilex prostrata","Groppo","paratype","Kubitzki, K","CFSC9746","1986","05","02",NA,"Brasil","Minas Gerais","Santana do Riacho",NA,"-43.7144012451172","-19.1688995361328",NA,NA,"SPF00042408",NA,"Groppo, M",NA,NA,NA,"26557","auto",NA,NA,NA,NA,NA,NA,NA
