"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","class","yearIdentified","monthIdentified","dayIdentified","relatedCatalogItem","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","relationshipType","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","590713","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Loganiaceae","Spigelia","reitzii","Spigelia reitzii","L.B.Sm.","H. Hurley","G. G. Hatschbach","23102","1969","12","04","South America","Brazil","Paraná","Guarapuava","Rio Campo Real","-51.4581","-25.3956","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=89650' target='other'> <mi>dwc_moreinfo</mi></a>","NY00590713","NY00590713_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","823092","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Loganiaceae","Spigelia","reitzii","Spigelia reitzii","L.B.Sm.","H. Hurley","G. G. Hatschbach","13286","1965","12","08","South America","Brazil","Paraná","Campo Mourao",NA,"-52.3831","-24.0458","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=936904' target='other'> <mi>dwc_moreinfo</mi></a>","NY00823092","NY00823092_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 09:21:47-03","NBC","NL-BOTANY","U.1365055","PreservedSpecimen","Plantae",NA,"Gentianales","Loganiaceae","Spigelia","reitzii","Spigelia reitzii","L.B.Sm.","Fernández Casas FJ","Lindeman JC; Haas JH de",NA,"1967","03","13","Southern America","Brazil","Paraná",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1365055 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1365055","NL-U1365055","Magnoliopsidae","2003","09","01","U 0082063",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 09:21:47-03","NBC","NL-BOTANY","U.1365056","PreservedSpecimen","Plantae",NA,"Gentianales","Loganiaceae","Spigelia","reitzii","Spigelia reitzii","L.B.Sm.",NA,"Hatschbach GG; Haas H; Lindeman JC",NA,"1965","12","08","Southern America","Brazil","Paraná",NA,"Parana. Campo Mourao.","-52.366667","-24.05",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1365056 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1365056","NL-U1365056","Magnoliopsidae",NA,NA,NA,"U 0082053","-52.366667","-24.05",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 09:21:47-03","NBC","NL-BOTANY","WAG.1061513","PreservedSpecimen","Plantae",NA,"Gentianales","Loganiaceae","Spigelia","reitzii","Spigelia reitzii","L.B.Sm.",NA,"Hatschbach GG; Haas H; Lindeman JC",NA,"1965","12","08","Southern America","Brazil","Paraná",NA,"Parana. Campo Mourao.","-52.366667","-24.05",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1061513 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1061513","NL-WAG1061513","Magnoliopsidae",NA,NA,NA,"WAG0130977","-52.366667","-24.05",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 09:21:47-03","NBC","NL-BOTANY","WAG.1061514","PreservedSpecimen","Plantae",NA,"Gentianales","Loganiaceae","Spigelia","reitzii","Spigelia reitzii","L.B.Sm.",NA,"Hatschbach GG; Haas H; Lindeman JC",NA,"1965","12","08","Southern America","Brazil","Paraná",NA,"Parana. Campo Mourao.","-52.366667","-24.05",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1061514 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1061514","NL-WAG1061514","Magnoliopsidae",NA,NA,NA,"WAG0130976","-52.366667","-24.05",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 09:21:47-03","NBC","NL-BOTANY","L.2688965","PreservedSpecimen","Plantae",NA,"Gentianales","Loganiaceae","Spigelia","rojasiana","Spigelia rojasiana","Kraenzl.","Fernández Casas FJ","Fiebrig K",NA,"1903","12","13","Southern America","Bolivia",NA,NA,"PaPraya, 2400 m alt.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2688965 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2688965","NL-L2688965","Magnoliopsidae","2003","06","01","L 0352118",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-04 11:12:13-03","ESALQ","ESA","21312","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Loganiaceae","Spigelia","reitzii","Spigelia reitzii","L.B. Sm.","Zappi, D.C.","Souza, V.C. et al.","7021.0","1994","11","12",NA,"Brasil","São Paulo","Itapeva",NA,"-48.8699989318848","-23.9799995422363",NA,NA,"ESA021312","ESA021312",NA,NA,NA,NA,NA,NA,NA,"42926","auto",NA,NA,NA,NA,NA,NA
"9","2019-12-19 08:08:11-03","FPS","FPS","3260","MachineObservation","Plantae",NA,NA,"Loganiaceae","Spigelia","reitzii","Spigelia reitzii","L.B.Sm.","Funez, L.A.","Schwirkowski, P.","2686","2018","02","25",NA,"Brasil","Santa Catarina","São Bento do Sul","Bairro Mato Preto","-49.391917","-26.195522",NA,NA,"FPS03260,FURB57437","FPS03260_v01 FPS03260_v02 FPS03260_v03 FPS03260_v04 FPS03260_v05 FURB57437",NA,"2019","11","17","FURB 57437","-49.391917","-26.195522",NA,NA,"voucher",NA,NA,NA,NA,NA
"10","2021-04-07 11:45:23-03","UFMS","CGMS","51764","PreservedSpecimen","Plantae",NA,NA,"Loganiaceae","Spigelia","reitzii","Spigelia reitzii","L.B.Sm.","V.J. Pott","A. Pott; V.J. Pott","13243","2005","08","29",NA,"Brasil","Mato Grosso do Sul","Bodoquena","Rio Salobrinha, Fazenda Rancho Branco, divisa com Parque Nacional da Serra da Bodoquena.","-56.7783334","-20.685",NA,"Flor branca. Fruto não observado. Habitat: Borda úmida de riacho, semi-sombreada. Solo argilo-calcário e tufa calcária. Relevo vale estreito em V. Frequente. Habito: Erva ereta rizomatosa.","CGMS1081751",NA,NA,"2015","01","30",NA,"-56,7783334","-20,685",NA,NA,NA,"155","155",NA,NA,NA
