"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","county","decimalLongitude","decimalLatitude","class","typeStatus","verbatimLongitude","verbatimLatitude","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","individualCount","fieldNumber","infraspecificEpithet","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","01131462","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Andropogon","carinatus","Andropogon carinatus","Nees","A. F. M. Glaziou","22390","1894","10","09","South America","Brazil","Goiás","Goyaz. Macacos à Chico Costa.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1275319' target='other'> <mi>dwc_moreinfo</mi></a>","NY01131462","NY01131462_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01131615","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Andropogon","carinatus","Andropogon carinatus","Nees","M. A. Chase","8295","1925","01","17","South America","Brazil","Rio de Janeiro","Alto de Itatiaia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1277582' target='other'> <mi>dwc_moreinfo</mi></a>","NY01131615","NY01131615_01","2200","2400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00837710","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Andropogon","carinatus","Andropogon carinatus","Nees","H. S. Irwin","7946","1965","09","04","South America","Brazil","Distrito Federal","Chapada da Contagem","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=931693' target='other'> <mi>dwc_moreinfo</mi></a>","NY00837710","NY00837710_01","1000","1000","T. de S. Filgueiras","Brasília","-47.9297","-15.7797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00837736","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Andropogon","carinatus","Andropogon carinatus","Nees","H. S. Irwin","8160","1965","09","10","South America","Brazil","Distrito Federal","Córrego Samambaia, near Taguatinga","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=931695' target='other'> <mi>dwc_moreinfo</mi></a>","NY00837736","NY00837736_01","1100","1100","T. de S. Filgueiras","Brasília","-48.042","-15.792",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00837712","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Andropogon","carinatus","Andropogon carinatus","Nees","H. S. Irwin","10378","1965","11","17","South America","Brazil","Goiás","Serra do Rio Preto, ca. 15 km E. of Cabeceiras","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=931700' target='other'> <mi>dwc_moreinfo</mi></a>","NY00837712","NY00837712_01","1000","1000","T. de S. Filgueiras","Cabeceiras","-46.8433","-15.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01131461","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Andropogon","carinatus","Andropogon carinatus","Nees","M. A. Chase","10243","1929","12","21","South America","Brazil","Minas Gerais","Hargreaves","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1275318' target='other'> <mi>dwc_moreinfo</mi></a>","NY01131461","NY01131461_01","1350","1400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00837713","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Andropogon","carinatus","Andropogon carinatus","Nees","H. S. Irwin","9856","1965","11","03","South America","Brazil","Goiás","Serra dos Cristais. 3 km W. of Cristalina","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=931702' target='other'> <mi>dwc_moreinfo</mi></a>","NY00837713","NY00837713_01","1175","1175","T. de S. Filgueiras","Cristalina","-47.62814","-16.75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01131614","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Andropogon","carinatus","Andropogon carinatus","Nees","M. A. Chase","9875","1925","05","20","South America","Brazil","São Paulo","Campos do Jordao, Serra Mantiqueira","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1277580' target='other'> <mi>dwc_moreinfo</mi></a>","NY01131614","NY01131614_01","1600","1600",NA,"Campos do Jordao","-45.59","-22.73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00837711","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Andropogon","carinatus","Andropogon carinatus","Nees","H. S. Irwin","8698","1965","09","26","South America","Brazil","Distrito Federal","Córrego Gama, between Gama and Brasília, near road to Anápolis","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=931696' target='other'> <mi>dwc_moreinfo</mi></a>","NY00837711","NY00837711_01","1175","1175","T. de S. Filgueiras","Brasília","-47.8","-15.95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01131460","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Andropogon","carinatus","Andropogon carinatus","Nees","M. A. Chase","9314","1925","04","03","South America","Brazil","Minas Gerais","Serra do Curral, Southeast of Bello Horizonte. Base of Pico","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1275317' target='other'> <mi>dwc_moreinfo</mi></a>","NY01131460","NY01131460_01","1300","1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
