"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","infraspecificEpithet","scientificNameAuthorship","identifiedBy","year","month","day","stateProvince","county","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","class","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount"
"1","2020-09-23 10:41:32-03","E","E","285715","PreservedSpecimen","Plantae","Melastomataceae","Chaetostoma","petronianum","Chaetostoma petronianum","isosyntype","Glaziou, Auguste Francois Marie","15961","E. Tropical South America","BR","Haut des Orgâos.","herbarium specimen of unspecif","BGBASE:296945","Anther removed for SEM study by Keiko Satoh, Msc. Date:09.06.1996<a href=http://data.rbge.org.uk/herb/E00285715 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00285715",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","477803","PreservedSpecimen","Plantae","Melastomataceae","Chaetostoma","glaziovii","Chaetostoma glaziovii pallidum",NA,"P. C. Porto","2776","South America","Brazil","Itatiáia, km. 16-17","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=332177' target='other'> <mi>dwc_moreinfo</mi></a>","NY00477803","Magnoliophyta","Myrtales","pallidum","Cogn.","F. Markgraf","1935","02","14","Rio de Janeiro","Itatiaia","-44.5631","-22.4961","NY00477803_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","477798","PreservedSpecimen","Plantae","Melastomataceae","Chaetostoma","glaziovii","Chaetostoma glaziovii",NA,"R. M. Tryon","6703","South America","Brazil","Planalto of Itatiáia (mountain), 150 km. northwest of Rio de Janeiro","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=264810' target='other'> <mi>dwc_moreinfo</mi></a>","NY00477798","Magnoliophyta","Myrtales",NA,"Cogn.","J. J. Wurdack","1965","11","04","Rio de Janeiro","Itatiaia","-44.5631","-22.4961","NY00477798_01","2300","2300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","3909682","PreservedSpecimen","Plantae","Melastomataceae","Chaetostoma","glaziovii","Chaetostoma glaziovii",NA,"F. Almeda","9803","South America","Brazil","Road from Garganta do Registro to Abrigo Rebouças and Parque Nacional do Itatiaia between Km 6 and Km 13.","Sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4451518' target='other'> <mi>dwc_moreinfo</mi></a>","NY03909682","Magnoliophyta","Myrtales",NA,"Cogn.",NA,"2009","03","13","Minas Gerais",NA,"-44.70396","-22.37281","NY03909682_01","2100","2454",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","477802","PreservedSpecimen","Plantae","Melastomataceae","Chaetostoma","glaziovii","Chaetostoma glaziovii",NA,"Serra-I","184","South America","Brazil","Serra do Itatiáia, New Road","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=264808' target='other'> <mi>dwc_moreinfo</mi></a>","NY00477802","Magnoliophyta","Myrtales",NA,"Cogn.","J. J. Wurdack","1953","02",NA,"Rio de Janeiro","Resende","-44.612767","-22.370919","NY00477802_01","2300","2300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","477804","PreservedSpecimen","Plantae","Melastomataceae","Chaetostoma","glaziovii","Chaetostoma glaziovii rubella",NA,"H. Luederwaldt","11486","South America","Brazil","Itatiáia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=47358' target='other'> <mi>dwc_moreinfo</mi></a>","NY00477804","Magnoliophyta","Myrtales","rubella","Cogn.","F. C. Hoehne","1906","04","29","Rio de Janeiro","Itatiaia","-44.5631","-22.4961","NY00477804_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","477799","PreservedSpecimen","Plantae","Melastomataceae","Chaetostoma","glaziovii","Chaetostoma glaziovii",NA,"A. C. Brade","18896","South America","Brazil","Itatiáia; Estrada Nova Km. 8-9","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=264805' target='other'> <mi>dwc_moreinfo</mi></a>","NY00477799","Magnoliophyta","Myrtales",NA,"Cogn.","A. C. Brade","1948","02","21","Rio de Janeiro","Itatiaia","-44.5631","-22.4961","NY00477799_01","1900","1900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","477795","PreservedSpecimen","Plantae","Melastomataceae","Chaetostoma","glaziovii","Chaetostoma glaziovii",NA,"S. Romaniuc Neto","606","South America","Brazil","Parque Nacional da Chapada dos Veadeiros, estrada para Cavalcanti","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=264806' target='other'> <mi>dwc_moreinfo</mi></a>","NY00477795","Magnoliophyta","Myrtales",NA,"Cogn.","S. A. C. Chiea","1987","02","08","Goiás","Alto Paraíso de Goiás","-47.5097","-14.1325","NY00477795_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","02721416","PreservedSpecimen","Plantae","Melastomataceae","Chaetostoma","glaziovii","Chaetostoma glaziovii",NA,"C. Gutiérrez Báez","254","South America","Brazil","Protecão Integral. Parque Estadual dos Tres Picos. Cume Pico Medio","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3016263' target='other'> <mi>dwc_moreinfo</mi></a>","NY02721416","Magnoliophyta","Myrtales",NA,"Cogn.",NA,"2015","04","04","Rio de Janeiro","Teresopolis","-42.7258","-22.3428","NY02721416_01","2310","2350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","477801","PreservedSpecimen","Plantae","Melastomataceae","Chaetostoma","glaziovii","Chaetostoma glaziovii",NA,"Serra-I","182","South America","Brazil","Serra do Itatiáia, New Road","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=264807' target='other'> <mi>dwc_moreinfo</mi></a>","NY00477801","Magnoliophyta","Myrtales",NA,"Cogn.","J. J. Wurdack","1953","02",NA,"Rio de Janeiro","Resende","-44.612767","-22.370919","NY00477801_01","2300","2300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
