"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","country","stateProvince","phylum","month","day","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","occurrenceRemarks","continentOcean","order","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters"
"1","2021-03-31 13:41:04-03","MN","R","221355","PreservedSpecimen","Plantae","Orchidaceae","Laelia","ghillanyi","Laelia ghillanyi","Pabst","Pabst, G.F.J.","1980","01","17","Vidal, J.","IV - 1190","1954","Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-08-20 10:00:37-03","UNICAMP","UEC","35210","S","Plantae","Orchidaceae","Cattleya","ghillanyi","Cattleya ghillanyi","(Pabst) Van den Berg","Van den Berg","2011","10","25","Sazima, M","13379","1971","Brazil","Minas Gerais","Liliopsida","12","11","Jaboticatubas","A Conceição do Mato Dentro.","-43.7449989318848","-19.513599395752","31264","UEC008624","UEC008624","auto",NA,NA,NA,NA,NA,NA,NA
"3","2019-08-20 10:00:37-03","UNICAMP","UEC","35181","S","Plantae","Orchidaceae","Cattleya","ghillanyi","Cattleya ghillanyi","(Pabst) Van den Berg","Van den Berg","2011","10","25","Sazima, M","13337","1971","Brazil","Minas Gerais","Liliopsida","07","14","Jaboticatubas","A Conceição do Mato Dentro.","-43.7449989318848","-19.513599395752","31264","UEC008736","UEC008736","auto","Flores vermelho arroxeadas.",NA,NA,NA,NA,NA,NA
"4","2019-08-20 10:00:37-03","UNICAMP","UEC","34943","S","Plantae","Orchidaceae","Cattleya","ghillanyi","Cattleya ghillanyi","(Pabst) Van den Berg","Van den Berg","2011","10","25","Sazima, M","13382","1971","Brazil","Minas Gerais","Liliopsida","12","13","Jaboticatubas","A Conceição do Mato Dentro.","-43.7449989318848","-19.513599395752","31264","UEC008623","UEC008623","auto",NA,NA,NA,NA,NA,NA,NA
"5","2019-08-20 10:00:37-03","UNICAMP","UEC","125345","S","Plantae","Orchidaceae","Cattleya","ghillanyi","Cattleya ghillanyi","(Pabst) Van den Berg","Van den Berg","2011","10","25","Kinoshita, LS; Aona, LYS","00192","2000","Brazil","Minas Gerais","Liliopsida","11","22","Santana do Riacho","Parque Nacional Serra do Cipó, Campo rupestre próximo a estátua do Juquinha.","-43.7144012451172","-19.1688995361328","26557","UEC008622","UEC008622","auto","Flores lilases, bulbo arroxeado.",NA,NA,NA,NA,NA,NA
"6","2019-08-20 10:00:37-03","UNICAMP","UEC","110681","S","Plantae","Orchidaceae","Cattleya","ghillanyi","Cattleya ghillanyi","(Pabst) Van den Berg","Van den Berg","2011","10","25","Vitta, FA; Forzza, RC","370","1996","Brazil","Minas Gerais","Liliopsida","10","22","Santana do Riacho","Serra do Cipó, Morro em frente a estátua do Juquinha","-43.7144012451172","-19.1688995361328","26557","UEC008676","UEC008676","auto",NA,NA,NA,NA,NA,NA,NA
"7","2020-12-21 16:38:35-03","MBM","MBM","34449","PreservedSpecimen","Plantae","Orchidaceae","Laelia","ghillanyi","Laelia ghillanyi","Pabst","Pabst, G.",NA,NA,NA,"Hatschbach, G.; Koczicki, C.; Koczicki, C.","35360","1974","Brazil","Minas Gerais",NA,"10",NA,"Santana do Riacho","Serra do Cipó","-43.7144012451172","-19.1688995361328","26557","MBM034449","MBM034449","auto","Não localizada no herbário","Southern America",NA,NA,NA,NA,NA
"8","2020-10-01 14:26:07-03","JBB","HEPH","16143","S","Plantae","Orchidaceae","Laelia","ghillanyi","Laelia ghillanyi","Pabst.","Leoni, LS","2005","12","03","Salles, AEH","3224","2004","Brasil","Minas Gerais","Monocotyledon","11","12","Jaboticatubas","Serra do Cipó","-44.338056","-19.228056",NA,NA,NA,NA,"Pouco frequente","Southern America","Asparagales","-44.338056","-19.228056",NA,NA
"9","2020-12-11 11:44:22-03","UFMG","BHCB","186523","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","ghillanyi","Cattleya ghillanyi","(Pabst) Van den Berg",NA,"2017","06","20","Cabral, SOF; Borba, EL; Lucca, M","29","2016","Brasil","Minas Gerais","Monocotyledon","10","03",NA,"Parque Nacional das Sempre Vivas","-44.317453","-18.603661",NA,"BHCB186523",NA,NA,"Planta em cultivo no Museu de História Natural e Jardim Botânico da UFMG número MHNJB02919. Coleta original por Fiorini, C. F.; Flor lilás, labelo amarelo e lilás","Southern America",NA,"-44.317453","-18.603661",NA,NA
"10","2020-12-11 11:44:22-03","UFMG","BHCB","186825","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","ghillanyi","Cattleya ghillanyi","(Pabst) Van den Berg",NA,NA,NA,NA,"Rocha, MJR; Oliveira, CT","1322","2017","Brasil","Minas Gerais","Monocotyledon","01","25","Itambé do Mato Dentro",NA,"-43.269722","-19.427778",NA,"BHCB186825",NA,NA,NA,"Southern America",NA,"-43.269722","-19.427778",NA,NA
"11","2020-12-11 11:44:22-03","UFMG","BHCB","82175","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","ghillanyi","Cattleya ghillanyi","(Pabst) Van den Berg",NA,"2015",NA,NA,"Mota, RC da; Viana, PL","2040","2002","Brasil","Minas Gerais","Monocotyledon","07","07","Conceição do Mato Dentro","Parque Natural Municipal do Ribeirão do Campo","-43.574528","-19.103417",NA,"BHCB025984",NA,NA,"erva rupestre; labelo com parte central creme e margem lilás; pétalas laterais e sépalas lilases; Planta coletada em campo rupestre","Southern America",NA,"-43.574528","-19.103417",NA,NA
"12","2020-12-11 11:44:22-03","UFMG","BHCB","64005","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","ghillanyi","Cattleya ghillanyi","(Pabst) Van den Berg",NA,"2015","05","27","Acher, WA; Barreto, HLM","4913","1936","Brasil","Minas Gerais","Monocotyledon","08","06","Conceição do Mato Dentro","Serra do Cipó km 141, estrada de Conceição.","-43.4249992370605","-19.0372009277344","60318","BHCB025983","BHCB025983","auto","Herbacea 0,15m, alta frequência e flôr roseo escura; Campo nas pedras","Southern America",NA,NA,NA,NA,NA
"13","2020-12-11 11:44:44-03","UFMG","BHCB","20159","PreservedSpecimen","Plantae","Orchidaceae","Hoffmannseggella","ghillanyi","Hoffmannseggella ghillanyi","(Pabst) H.G.Jones",NA,"2005","10","17","Pereira, M","894","1991","Brasil","Minas Gerais","Monocotyledon","07","15","Santana do Riacho","Pico do Breu","-43.7144012451172","-19.1688995361328","26557","BHCB015020",NA,"auto","Herbáceo. Flores rosa.; Campo rupestre.","Southern America",NA,NA,NA,NA,NA
"14","2021-03-15 18:29:06-03","USP","SPF","210750","PreservedSpecimen","Plantae","Orchidaceae","Hoffmannseggella","ghillanyi","Hoffmannseggella ghillanyi","(Pabst) H.G.Jones","Menini Neto, L","2010","12",NA,"Zappi, DC","2331","2009","Brasil","Minas Gerais",NA,"11","11","Santana de Pirapama","Serra do Cipó, Capela de S. José. Subida da Senhorinha, segundo platô.","-43.756851","-18.94819",NA,"SPF00210750",NA,NA,"Ervas rupícolas, pseudobulbos arroxeados, flores magenta.; Afloramento rochoso em campo rupestre.",NA,NA,"-43.756851","-18.94819",NA,NA
"15","2019-11-21 10:13:30-03","IBt","SP","140291","S","Plantae","Orchidaceae","Hoffmannseggella","ghillanyi","Hoffmannseggella ghillanyi","(Pabst) H.G.Jones","Guimarães, LRS","2008","11","07","Eiten, G; Eiten, LT","6712","1965","Brasil","Minas Gerais",NA,"11","21","Jaboticatubas","Serra do Cipó, Along road at km 132-133","-43.533333","-19.25",NA,NA,NA,NA,NA,NA,NA,"-43.533333","-19.25","1250","1250"
"16","2019-11-21 10:13:30-03","IBt","SP","390723","S","Plantae","Orchidaceae","Hoffmannseggella","ghillanyi","Hoffmannseggella ghillanyi","(Pabst) H.G.Jones","Barros, F",NA,NA,NA,"Barros, F","s.n.",NA,"Brasil","Minas Gerais",NA,NA,NA,"Jaboticatubas","Serra do Cipó, 20 km acima do Palácio. Cult. no Instituto de Botânica, sob nº 5359","-43.7449989318848","-19.513599395752","31264",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA
"17","2019-11-21 10:13:30-03","IBt","SP","390711","S","Plantae","Orchidaceae","Hoffmannseggella","ghillanyi","Hoffmannseggella ghillanyi","(Pabst) H.G.Jones","Barbero, APP","2005","11","29","Barbero, APP","37",NA,"Brasil","Minas Gerais",NA,NA,NA,"Santana do Riacho","Serra do Cipó, Cult. no Instituto de Botânica, sob nº 15297, fl. 29/11/2005","-43.7144012451172","-19.1688995361328","26557",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA
