"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","coordinatePrecision","geoFlag","dayIdentified","fieldNumber","individualCount","relatedCatalogItem","typeStatus","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","505140","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Pachygenium","orthosepalum","Pachygenium orthosepalum","(Rchb.f. & Warm.) Szlach., R. González & Rutk.","M. C. Pace","W. R. Anderson","36085","1972","02","17","South America","Brazil","Minas Gerais","Serra do Cipo","-43.565347","-19.391335","1200","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=228350' target='other'> <mi>dwc_moreinfo</mi></a>","NY00505140","NY00505140_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","505144","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Pachygenium","orthosepalum","Pachygenium orthosepalum","(Rchb.f. & Warm.) Szlach., R. González & Rutk.","M. C. Pace","G. G. Hatschbach","15998","1967","02","15","South America","Brazil","Paraná","Rio Passa Dois","-49.7156","-25.7697",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=228353' target='other'> <mi>dwc_moreinfo</mi></a>","NY00505144","NY00505144_01","Lapa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","505141","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Pachygenium","orthosepalum","Pachygenium orthosepalum","(Rchb.f. & Warm.) Szlach., R. González & Rutk.","M. C. Pace","W. R. Anderson","35882","1972","02","12","South America","Brazil","Minas Gerais","Eastern slopes of Pico do Itambe",NA,NA,"1550","1550","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=228351' target='other'> <mi>dwc_moreinfo</mi></a>","NY00505141","NY00505141_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","505142","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Pachygenium","orthosepalum","Pachygenium orthosepalum","(Rchb.f. & Warm.) Szlach., R. González & Rutk.","M. C. Pace","G. G. Hatschbach","15998","1967","02","15","South America","Brazil","Paraná","Rio Passa Dois","-49.7156","-25.7697",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=228354' target='other'> <mi>dwc_moreinfo</mi></a>","NY00505142","NY00505142_01","Lapa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","505143","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Pachygenium","orthosepalum","Pachygenium orthosepalum","(Rchb.f. & Warm.) Szlach., R. González & Rutk.","M. C. Pace","G. G. Hatschbach",NA,"1967","02","15","South America","Brazil","Paraná","Rio Passa Dois","-49.7156","-25.7697",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=228352' target='other'> <mi>dwc_moreinfo</mi></a>","NY00505143","NY00505143_01","Lapa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-10-09 11:28:42-03","UFBA","ALCB","07252","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Pelexia","orthosepala","Pelexia orthosepala","(Rahb. f. & Warm.) Schltl.)","Smidt, EC","Costa, AL; Barroso, GM","s/n","1975","05","17","Southern America","Brasil","Bahia","Piemonte da Diamantina","-41.016389","-11.681667",NA,NA,NA,"flores alvas","ALCB006946","ALCB006946","Morro do Chapéu","2002","02","-41.016389","-11.681667",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 08:46:38-03","NBC","NL-BOTANY","L.1519218","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Pelexia","orthosepala","Pelexia orthosepala","(Rchb.f. & Warm.) Schltr.",NA,"Hatschbach GG",NA,"1968","03","22","Southern America","Brazil",NA,"Fazenda do Lobo(Mun.Arapoti) Paraná.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1519218 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1519218","NL-L1519218",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-04 12:17:39-03","ESALQ","ESA","77404","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orchidaceae","Pelexia","orthosepala","Pelexia orthosepala","(Rchb.f. & Warm.) Schltr.","Forster, W.","Von Linsingen","584.0","2000","04","22",NA,"Brasil","Paraná",NA,"-49.7057991027832","-24.2511005401611",NA,NA,NA,NA,"ESA077404","ESA077404","Jaguariaíva",NA,NA,NA,NA,NA,"44368","auto",NA,NA,NA,NA,NA,NA
"9","2020-11-04 12:17:39-03","ESALQ","ESA","18717","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orchidaceae","Pelexia","orthosepala","Pelexia orthosepala",NA,"Vieira, T.L.","Souza, V.C. et al.","7946.0","1995","03","08",NA,"Brasil","Minas Gerais",NA,"-43.6918983459473","-20.5207996368408",NA,NA,NA,NA,"ESA018717",NA,"Ouro Branco","2015","05",NA,NA,NA,"13809","auto","12",NA,NA,NA,NA,NA
"10","2020-11-04 12:17:39-03","ESALQ","ESA","122231","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orchidaceae","Pelexia","orthosepala","Pelexia orthosepala",NA,"Mota, R.C.","Vincent, R.C.","490.0","2002","04","17",NA,"Brasil","Minas Gerais","Sa. da Calçada/Retiro das Pedras","-43.8466987609863","-19.9855995178223","1300","1300",NA,"Campo rupestre quartzítico nodular","ESA122231","ESA122231","Nova Lima",NA,NA,NA,NA,NA,"29211","auto",NA,NA,NA,NA,NA,NA
