"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","day","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","883749","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Pilocarpus","microphyllus","Pilocarpus microphyllus","Stapf ex Wardlew.","R. de Lemos Fróes","11668","1937","12","South America","Brazil","Maranhão","São Luís","Interior of the Island of San Luis.","-44.201115","-2.577323","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=995105' target='other'> <mi>dwc_moreinfo</mi></a>","NY00883749","NY00883749_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","887202","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Pilocarpus","microphyllus","Pilocarpus microphyllus","Stapf ex Wardlew.","J. L. Hage","2261","1988","12","South America","Brazil","Bahia","Ilhéus","Área do CEPEC (Centro de Pesquisas do Cacau), km 22 da Rodovia Ilhéus/Itabuna (BR 415).Parque Zoobotânico.","-39.0492","-14.7892","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1086376' target='other'> <mi>dwc_moreinfo</mi></a>","NY00887202",NA,"J. A. Kallunki","29","50","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","2699166","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Pilocarpus","microphyllus","Pilocarpus microphyllus","Stapf ex Wardlew.","C. R. Sperling","6374","1982","06","South America","Brazil","Pará",NA,"Serra dos Carajás. 16 km. west of camp ECB on the ferrovia, ca. 61 km. west of road BR 150.","-49.25","-5.58",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2991740' target='other'> <mi>dwc_moreinfo</mi></a>","NY02699166","NY02699166_01",NA,"27","150","150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02361412","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Pilocarpus","microphyllus","Pilocarpus microphyllus","Stapf ex Wardlew.","J. Ramos","955","1983","09","South America","Brazil","Pará","Tucuruí","Tucuruí, Km 20, ramal da massa falida Campinarana","-49.6725006103516","-3.76610994338989","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2634664' target='other'> <mi>dwc_moreinfo</mi></a>","NY02361412",NA,"J. A. Kallunki","30",NA,NA,"59618","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","883748","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Pilocarpus","microphyllus","Pilocarpus microphyllus","Stapf ex Wardlew.","R. de Lemos Fróes","11762","1939","02","South America","Brazil","Maranhão","São Luís",NA,"-44.3028","-2.5297","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=995094' target='other'> <mi>dwc_moreinfo</mi></a>","NY00883748","NY00883748_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","883747","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Pilocarpus","microphyllus","Pilocarpus microphyllus","Stapf ex Wardlew.","E. L. Taylor","E1247","1983","04","South America","Brazil","Maranhão","Carolina","Transamazonian Highway, BR230 and BR010; Pedra Caída, 35 km. N of Carolina. Flat plains with serras (mesas) and intersected by streams.","-47.42","-7.13","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=995089' target='other'> <mi>dwc_moreinfo</mi></a>","NY00883747","NY00883747_01",NA,"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","02361425","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Pilocarpus","microphyllus","Pilocarpus microphyllus","Stapf ex Wardlew.","B. Bordenave","8536","2006","04","South America","Suriname",NA,NA,"Mtds. Bakhuis, concession BMS, Zone 23, centre-est. Site 013, dans parcelles 05 (4° 31' 16N; 56°55' 42W)","-56.9283","4.5211","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2634329' target='other'> <mi>dwc_moreinfo</mi></a>","NY02361425",NA,"B. Bordenave","18","119",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","02361413","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Pilocarpus","microphyllus","Pilocarpus microphyllus","Stapf ex Wardlew.","J. C. Lindeman","180","1976","09","South America","Suriname",NA,NA,"Lely Mts., SW plateaus covered by ferroibauxite, in base line 2600, E of airstrip",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2634651' target='other'> <mi>dwc_moreinfo</mi></a>","NY02361413",NA,"R. C. Kaastra","22","550","710",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","883746","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Pilocarpus","microphyllus","Pilocarpus microphyllus","Stapf ex Wardlew.","M. F. F. da Silva","1006","1983","04","South America","Brazil","Maranhão","Santa Luzia","Faz. AGRIPEC-VARIG, caminho para o Rio Mutum; margem esquerda do Rio Pindaré.","-45.6581","-3.9633","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=995080' target='other'> <mi>dwc_moreinfo</mi></a>","NY00883746",NA,"J. A. Kallunki","05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","2699165","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Pilocarpus","microphyllus","Pilocarpus microphyllus","Stapf ex Wardlew.","T. C. Plowman","9774","1980","03","South America","Brazil","Pará","Tucuruí","15,6 km each of represa Tucuruí (Rio Tocantins) along new road ( PA-263).","-49.5497131","-3.7537214",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2991739' target='other'> <mi>dwc_moreinfo</mi></a>","NY02699165","NY02699165_01",NA,"19","70","70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
