"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","recordNumber","year","month","day","continentOcean","preparationType","barcode","imagecode","class","dayIdentified","fieldNumber","minimumElevationInMeters"
"1","2019-06-10 10:10:48-03","FZB-BH","CVJBFZB","221","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Vriesea","saundersii","Vriesea saundersii","(Carrière) E.Morren ex Mez","Elton. C. M. Leme","2011","08","Andrea Costa;","Brasil","Rio de Janeiro","Nova Friburgo","Localidade de Macaé de Cima","-42.5311012268066","-22.2819004058838","33190","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","400544","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Vriesea","saundersii","Vriesea saundersii","(Carrière) E.Morren ex Mez",NA,NA,NA,"J. E. Leite","Brazil","Rio Grande do Sul",NA,"Morro Sapucaia",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=594736' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"2212","1941","12","01","South America","sheet","NY00400544","NY00400544_01",NA,NA,NA,NA
"3","2021-02-08 21:33:34-03","UFBA","ALCB","74915","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Vriesea","saundersii","Vriesea saundersii","(Carriéri) E.Morren ex Mez","Oliveira, ALPC de",NA,NA,"Oliveira, ALPC de","Brasil","Bahia","Salvador","Região Metropolitana Salvador","-38.510799407959","-12.9710998535156","26018",NA,"Folha verde amarronzada com pintas vermelho vinho.","auto","s/n","2006","09","08","Southern America",NA,"ALCB010300","ALCB010300",NA,NA,NA,NA
"4","2020-02-08 10:12:35-03","NBC","NL-BOTANY","U.1174508","PreservedSpecimen","Plantae",NA,"Poales","Bromeliaceae","Vriesea","saundersii","Vriesea saundersii","(Carrière) E.Morren",NA,NA,NA,"Leite JE","Brazil",NA,NA,"Meso Jaoucrina.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1174508 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"1941","12","01","Southern America",NA,"NL-U1174508","NL-U1174508","Magnoliopsidae",NA,NA,NA
"5","2020-11-04 11:03:58-03","ESALQ","ESA","121290","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Vriesea","saundersii","Vriesea saundersii",NA,"Souza, E.H.","2012",NA,"Rosa, S.S.","Brasil","São Paulo","Sousas","Horto Veigas.",NA,NA,NA,NA,NA,NA,"4.0","2012","11","01",NA,NA,"ESA121290","ESA121290_1 ESA121290_2",NA,NA,NA,NA
"6","2021-02-07 08:35:27-03","MN","R","214741","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","saundersii","Vriesea saundersii","(Carrière) E. Morren ex Mez",NA,NA,NA,"Moura, R.","Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232","57442",NA,NA,"auto","1033","2012","03","26",NA,NA,"R010016890",NA,NA,NA,NA,NA
"7","2021-02-07 08:35:27-03","MN","R","214480","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","saundersii","Vriesea saundersii","(Carrière) E. Morren ex Mez",NA,NA,NA,"França, C.R.P.","Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232","57442",NA,NA,"auto","21","2007","08","14",NA,NA,"R010016891",NA,NA,NA,NA,NA
"8","2021-02-07 08:35:27-03","MN","R","214466","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","saundersii","Vriesea saundersii","(Carrière) E. Morren ex Mez",NA,NA,NA,"França, C.R.P.","Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232","57442",NA,NA,"auto","13","2007","06","05",NA,NA,"R010016892",NA,NA,NA,NA,NA
"9","2019-08-27 13:25:17-03","IAP","PACA-AGP","52905","PreservedSpecimen","Plantae","Magnoliophyta","Bromeliales","Bromeliaceae","Vriesea","saundersii","Vriesea saundersii","(Carrière) E. Morren","Emrich-Rambo",NA,NA,"Rambo, B.","Brasil","RS","Montenegro","Fortaleza","-51.4611015319824","-29.6886005401611","21601",NA,"Habitat: In silva rupestri ad arbores. Fenofase: flor","auto",NA,"1952","12","15",NA,NA,"PACA052905",NA,"Liliatae",NA,NA,NA
"10","2019-08-27 13:25:17-03","IAP","PACA-AGP","25996","PreservedSpecimen","Plantae","Magnoliophyta","Bromeliales","Bromeliaceae","Vriesea","saundersii","Vriesea saundersii","(Carrière) E. Morren","L. B. Smith","1954","05","E. Leite","Brasil","RS","Sapucaia do Sul","Ad montem Sapucaia.","-51.1483001708984","-29.8246994018555","7291",NA,"Habitat: In silva primaeva ad arbores. Fenofase: flor","auto",NA,"1941","12",NA,NA,NA,"PACA025996",NA,"Liliatae","17",NA,NA
