"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","continentOcean","country","preparationType","occurrenceRemarks","barcode","year","imagecode","stateProvince","month","day","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","class","typeStatus","relatedCatalogItem","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","minimumElevationInMeters","maximumElevationInMeters","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","945217","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Loganiaceae","Spigelia","lundiana","Spigelia lundiana","A.DC.","F. J. Fernández Casas","L. Riedel","581","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1017152' target='other'> <mi>dwc_moreinfo</mi></a>","NY00945217",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","945219","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Loganiaceae","Spigelia","lundiana","Spigelia lundiana","A.DC.","F. J. Fernández Casas","L. Riedel","581","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1017154' target='other'> <mi>dwc_moreinfo</mi></a>","NY00945219","1821","NY00945219_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","945218","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Loganiaceae","Spigelia","lundiana","Spigelia lundiana","A.DC.","F. J. Fernández Casas","L. Riedel","s.n.","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1017153' target='other'> <mi>dwc_moreinfo</mi></a>","NY00945218","1821","NY00945218_01","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:43:08-03","EAO","IAN","14049","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Loganiaceae","Spigelia","lundiana","Spigelia lundiana","A.DC.","Barreto, M","Magalhães, MG","943","Southern America","Brasil",NA,"Subarbusto, flores solferinas, pouco frequente.","IAN014049","1941","IAN014049 IAN014049_e","Minas Gerais","11","28","Belo Horizonte","Campo, serra do Curral.","-43.937801361084","-19.9207992553711","17082","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:43:08-03","EAO","IAN","14855","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Loganiaceae","Spigelia","lundiana","Spigelia lundiana","A.DC.","Zappi, DC","Magalhães, MG","904","Southern America","Brasil",NA,"Arbusto de 0,50m de altura, flores solferinas.","IAN014855","1941","IAN014855 IAN014855_e","Minas Gerais","10","13","Belo Horizonte","Margem de capão, serra da Mutuca.","-43.937801361084","-19.9207992553711","17082","auto","1988","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 09:21:42-03","NBC","NL-BOTANY","WAG0002161","PreservedSpecimen","Plantae",NA,"Gentianales","Loganiaceae","Spigelia","lundiana","Spigelia lundiana","A.DC.","Leeuwenberg AJM","Lund PW",NA,"Southern America","Brazil",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG0002161 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG0002161",NA,"NL-WAG0002161","Minas Gerais",NA,NA,NA,"Brazil. Minas Gerais. Serra da Piedade.",NA,NA,NA,NA,NA,NA,"Magnoliopsidae","isotype",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 09:21:47-03","NBC","NL-BOTANY","WAG.1061478","PreservedSpecimen","Plantae",NA,"Gentianales","Loganiaceae","Spigelia","lundiana","Spigelia lundiana","A.DC.","Leeuwenberg AJM","Vasconcelos MF de",NA,"Southern America","Brazil",NA,"Campo rupestre.<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1061478 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1061478","1997","NL-WAG1061478",NA,"10","25",NA,"Serra da Piedade, Caeté, MG.",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,"WAG0130912",NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 09:21:47-03","NBC","NL-BOTANY","WAG.1061479","PreservedSpecimen","Plantae",NA,"Gentianales","Loganiaceae","Spigelia","lundiana","Spigelia lundiana","A.DC.","Fernández Casas FJ","Irwin HS; Harley RM; Onishi E",NA,"Southern America","Brazil",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1061479 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1061479","1971","NL-WAG1061479","Minas Gerais","01","13",NA,"Estado de Minas Gerais. Serra do Espinhaço. Near summit of Serra da Piedade, c. 35 km E. of Be lo Horizonte, near BR-31.","-43.666667","-19.9",NA,NA,"2003","07","Magnoliopsidae",NA,"WAG0130998","01","-43.666667","-19.9",NA,NA,NA,NA
"9","2020-02-08 09:21:47-03","NBC","NL-BOTANY","WAG.1061481","PreservedSpecimen","Plantae",NA,"Gentianales","Loganiaceae","Spigelia","lundiana","Spigelia lundiana","A.DC.","Leeuwenberg AJM","Paula JE de; Siqueira GS; Braga MMN; Grande TSM",NA,"Southern America","Brazil",NA,"Campo rupestre.<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1061481 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1061481","1985","NL-WAG1061481",NA,"09","28",NA,"Serra da Piedade, Caeté, MG.",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,"WAG0130914",NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 09:21:47-03","NBC","NL-BOTANY","WAG.1061482","PreservedSpecimen","Plantae",NA,"Gentianales","Loganiaceae","Spigelia","lundiana","Spigelia lundiana","A.DC.","Leeuwenberg AJM","Braga MMN; Grande TSM",NA,"Southern America","Brazil",NA,"Campo rupestre.<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1061482 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1061482","1987","NL-WAG1061482",NA,"10","27",NA,"Serra da Piedade, Caeté, MG.",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,"WAG0130913",NA,NA,NA,NA,NA,NA,NA
"11","2021-03-31 13:40:25-03","MN","R","11707","PreservedSpecimen","Plantae",NA,NA,"Loganiaceae","Spigelia","lundiana","Spigelia lundiana","A. DC.","Hurley, H.H.","Glaziou, A.F.M.","20418",NA,"Brasil",NA,"Plantas do Brasil Central","R000011707","1893","R000011707_001","Minas Gerais","11","09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-11-21 14:38:12-03","UFJF","CESJ","20177","PreservedSpecimen","Plantae","Angiosperma",NA,"Loganiaceae","Spigelia","lundiana","Spigelia lundiana","A.DC.","D.C. Zappi","L. Krieger; R.F. Novelino; J.Luiz","CESJ20177","América do Sul","Brasil",NA,"Arbusto, flores roxas. Sobre itabirito.","CESJ020177","1971",NA,"Minas Gerais","11","14",NA,"Serra da Piedade",NA,NA,NA,NA,"1989","05",NA,NA,NA,"17",NA,NA,NA,NA,NA,NA
"13","2019-11-06 09:56:04-03","UFOP","OUPR","29872","PreservedSpecimen","Plantae",NA,NA,"Loganiaceae","Spigelia","lundiana","Spigelia lundiana","A.DC.","Lisboa, M.A.","Magalhães-Gomes, F.","s.n.",NA,"Brasil",NA,"Fruticulus, cor rosea pulcherrima. In campis. Ex Herb. Magalhães Gomes n. 1561",NA,"1893",NA,"Minas Gerais","11","19","Caeté","Serra da Piedade","-43.6697006225586","-19.8799991607666","22051","auto","1972","07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-12-21 16:31:47-03","MBM","MBM","188003","PreservedSpecimen","Plantae",NA,NA,"Loganiaceae","Spigelia","lundiana","Spigelia lundiana","A. DC.",NA,"Leeuwenberg, A.J.M.","s.n.","Southern America","Brazil",NA,NA,"MBM188003",NA,"MBM188003","Minas Gerais",NA,NA,"Caeté","Serra da Piedade","-43.6697006225586","-19.8799991607666","22051","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-12-21 16:31:47-03","MBM","MBM","30790","PreservedSpecimen","Plantae",NA,NA,"Loganiaceae","Spigelia","lundiana","Spigelia lundiana","A. DC.","Zappi, D.C.","Koczicki, C.","290","Southern America","Brazil",NA,NA,"MBM030790",NA,"MBM030790","Minas Gerais",NA,NA,"Caeté","Serra da Piedade","-43.6697006225586","-19.8799991607666","22051","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2019-11-01 15:28:22-03","PUC-RIO","FCAB","3715","PreservedSpecimen","Plantae",NA,"Angiospermae","Loganiaceae","Spigelia","lundiana","Spigelia lundiana","A.DC.",NA,"T.S.M. Grandi","1921",NA,"Brasil",NA,"Lat. 19°49'S&nf;Long. 43°40'W&nf;&nf;1650 m de altitude","003715","1985",NA,"Minas Gerais","09","08","Caeté","Serra da Piedade","-43.6697006225586","-19.8799991607666","22051","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2015-09-04 14:10:20-03","MNHN","RECOLNAT_MNHN_P","P00506433","PreservedSpecimen",NA,NA,NA,"Loganiaceae","Spigelia","lundiana","Spigelia lundiana","A.DC.","Fernández Casas","Claussen, P.",NA,NA,"Brésil","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00506433' target='other'> <mi>dwc_moreinfo</mi></a>","P00506433","1841","P00506433_01",NA,NA,NA,NA,"Minas Geraes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1364",NA,NA,NA
"18","2015-09-04 07:56:08-03","MNHN","RECOLNAT_MNHN_P","P00506434","PreservedSpecimen",NA,NA,NA,"Loganiaceae","Spigelia","lundiana","Spigelia lundiana","A.DC.","Fernández Casas","Glaziou, A.",NA,NA,"Brésil","hb","Donné par Mme Simars, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00506434' target='other'> <mi>dwc_moreinfo</mi></a>","P00506434",NA,"P00506434_01",NA,NA,NA,NA,"Minas Geraes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14102",NA,NA,NA
