"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","dayIdentified","continentOcean","preparationType","previousCatalogNumber","barcode","infraspecificEpithet","typeStatus","imagecode","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2019-06-10 10:10:51-03","FZB-BH","CVJBFZB","3475","S","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","swartzianum","Solanum swartzianum","Roem. & Schult.","Juliana Ordones","2013","06","Juliana Ordones Rego; Carlos Alberto F. Jr.","Ordones2218","2013","06","20","Brasil","Minas Gerais","Catas Altas","Serra do Caraça, mata atrás da casa do pesquisador","-43.4075012207031","-20.0746994018555","11966","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:51-03","FZB-BH","CVJBFZB","2695","S","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","swartzianum","Solanum swartzianum","Roem. & Schult.","Carlos A. Ferreira Jr.","2013","06","Juliana Ordones Rego; Carlos Alberto F. Jr.","Ordones2218","2013","06","20","Brasil",NA,"Catas Altas","Serra do Caraça, mata atrás da casa do pesquisador","-43.4075012207031","-20.0746994018555","11966","254","auto","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:43:42-03","E","E","282886","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Solanum","aureum","Solanum aureum",NA,NA,NA,NA,"Balls, Edward Kent","5826","1938","12","29","EC",NA,NA,"El ?alo, Pichincha",NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00282886 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"W. Tropical South America","herbarium specimen of unspecif","BGBASE:327475","E00282886",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:43:42-03","E","E","282885","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Solanum","aureum","Solanum aureum",NA,NA,NA,NA,"Spruce, Richard","5141","1905","01","30","EC",NA,NA,"In Andibus Ecuadorensibus",NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00282885 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"W. Tropical South America","herbarium specimen of unspecif","BGBASE:327474","E00282885",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:43:42-03","E","E","262034","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Solanum","aureum","Solanum aureum",NA,NA,NA,NA,"Jameson, W.",NA,NA,NA,NA,"EC","Chimborazo",NA,"Near Mocha, Vale of Chimborazo",NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00262034 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"W. Tropical South America","herbarium specimen of unspecif","BGBASE:270415","E00262034",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:43:42-03","E","E","426327","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Solanum","bicolor","Solanum bicolor",NA,NA,NA,NA,"Smith, Herbert Huntington","2660",NA,NA,NA,"CO",NA,NA,"Santa Marta",NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00426327 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"W. Tropical South America","herbarium specimen of unspecif","BGBASE:536943","E00426327",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","139053","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","argenteum","Solanum argenteum luridum","Sendtn.",NA,NA,NA,"Martii Herbar. Florae Brasil.","1254",NA,NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=129371' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"NY00139053","luridum","possible type","NY00139053_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","669790","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","argenteum","Solanum argenteum","Dunal","M. H. Nee",NA,NA,"L. Riedel","s.n.","1823","10",NA,"Brazil","Rio de Janeiro","Magé","Mand.","-43.0406","-22.6531",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=608545' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"NY00669790",NA,NA,"NY00669790_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","669803","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","argenteum","Solanum argenteum","Dunal","W. G. D'Arcy",NA,NA,"T. B. Croat","53769","1982","07","01","Brazil","Rio de Janeiro","Niterói","Praia de Itaípuçu; Alto Moinas.","-43.12","-22.88",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=608537' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"NY00669803",NA,NA,"NY00669803_01","100","250",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","669799","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","argenteum","Solanum argenteum","Dunal","L. de F. de Carvalho",NA,NA,"Liene","3693","1958","07",NA,"Brazil","Rio de Janeiro",NA,"Estado da Guanabara, Avenida Nyemeier.",NA,NA,NA,"[Date reads: 7-558] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=608543' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"NY00669799",NA,NA,"NY00669799_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
