"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","typeStatus","individualCount","class","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","823008","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Euphorbia","crossadenia","Euphorbia crossadenia","Pax & K.Hoffm.","I. Cordeiro","R. M. Harley","25691","1988","10","27","South America","Brazil","Bahia","Rio de Contas","10-13 km ao norte da cidade na estrada para o povoado de Mato Grosso.","-41.85","-13.48","1120","1120","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=934173' target='other'> <mi>dwc_moreinfo</mi></a>","NY00823008","NY00823008_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-08 17:38:22-03","EAO","IAN","19046","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Euphorbiaceae","Euphorbia","crossadenia","Euphorbia crossadenia","Pax & K.Hoffm.",NA,"Luetzelberg, P von","87",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN019046","IAN019046_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-11-27 13:48:25-03","UFS","ASE","10164","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Euphorbiaceae","Euphorbia","crossadenia","Euphorbia crossadenia","Pax & K.Hoffm.","Lucena, MFA","Costa, SM; Matos, ECA; Nascimento - Júnior, JE","219","2008","01","09","Southern America","Brasil","Sergipe","Itaporanga d'Ajuda","Fazenda do Caju (EMBRAPA)","-37.310278","-10.998333",NA,NA,NA,"Sub-arbusto. Flor alva, látex branco viscoso.; Sub-arbusto. Flor alva, látex branco viscoso.; Campo aberto de restinga.","ASE0023106",NA,"2010","06","09","-37.310278","-10.998333",NA,NA,NA,NA,NA,NA
"4","2019-08-20 10:11:25-03","UNICAMP","UEC","126508","S","Plantae","Magnoliopsida",NA,"Euphorbiaceae","Euphorbia","crossadenia","Euphorbia crossadenia","Pax & K.Hoffm.","Silva, OLM","Mansanares, ME; Verola, CF; Azevedo, MT; Meireles, LD","254","2002","07","24",NA,"Brazil","Minas Gerais","Juramento","estrada para Itacambira, 19,5 km depois de Pau D' Óleo","-43.417222","-16.963889",NA,NA,NA,"Brácteas externas creme, subarbusto rasteiro até 10 cm. Crescendo em campo pedregoso com areia branca","UEC018511","UEC018511","2015","01","27","-43.417222","-16.963889",NA,NA,NA,NA,NA,NA
"5","2021-03-21 19:34:25-03","UFC","EAC","50251","PreservedSpecimen","Plantae","Dicotyledon",NA,"Euphorbiaceae","Euphorbia","crossadenia","Euphorbia crossadenia","Pax & K.Hoffm.","Pinto, L.J.S.","Silveira, E.R.; Chaguinha","s.n.","2011","04","25","Southern America","Brasil","Bahia","Mucugê","Estrada Mucugê-Abaíra (volta)","-41.497222","-13.068611",NA,NA,NA,"Erva, fruto verde, leite branco.","EAC0050251","EAC0050251","2015","03","06","-41.497222","-13.068611",NA,NA,NA,NA,NA,NA
"6","2020-12-21 16:24:28-03","MBM","MBM","236775","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Euphorbia","crossadenia","Euphorbia crossadenia","Pax & K. Hoffm.","Carneiro, D.S.","França, F.; et al.; et al.","2816","1999","05","02","Southern America","Brazil","Bahia","Morro do Chapéu","Morro do Chapéu","-41.1561012268066","-11.5500001907349",NA,NA,NA,NA,"MBM236775","MBM236775",NA,NA,NA,NA,NA,"98143","auto",NA,NA,NA,NA
"7","2020-12-04 16:29:00-03","MO","MOBOT","101237624","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Euphorbia","crossadenia","Euphorbia crossadenia","Pax & K. Hoffm.","fide Carneiro-Torres et al.","Ph. von Lützelburg","Lützelburg 87","1914",NA,NA,"South America","Brazil","Bahia",NA,"Serra Masalina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lectotype","1",NA,NA
"8","2021-03-01 11:54:58-03","UFPE","UFP","19661","PreservedSpecimen","Plantae",NA,"Malpighiales","Euphorbiaceae","Euphorbia","crossadenia","Euphorbia crossadenia","Pax & K.Hoffm.","Carneiro-Torres, DS","Alves, M; Costa, M; Loyola, M; Oliveira, D; Lins, F; J.Jupiassú; Gonçalves, F; Gomes, V","UFP19661","1997","10","20",NA,"Brasil","Bahia","Rio de Contas",NA,"-41.812222","-13.970833","1150","1150",NA,"Herbácea com cerca de 0,2m de alt.; látex branco-leitoso, rara.; Herbácea com cerca de 0,2m de alt.; látex branco-leitoso, rara.","UFP019661",NA,"2000","01",NA,"-41.812222","-13.970833",NA,NA,NA,NA,NA,NA
"9","2020-09-02 16:24:46-03","Cenargen","CEN","61844","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Euphorbia","crossadenia","Euphorbia crossadenia","Pax & K.Hoffm.","O. L. M. da Silva","Taciana Barbosa Cavalcanti","3533","2004","08","31",NA,"Brasil","GO","CAVALCANTE","Entroncamento Minaçú - Kalunga (Engenho Dois) km 2.","-47.475","-13.618888","1050","1050","Exsicatas",NA,"CEN00061844","CEN00061844","2015","11",NA,"-47.475","-13.618888",NA,NA,NA,"2",NA,NA
"10","2020-09-02 16:24:46-03","Cenargen","CEN","42263","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Euphorbia","crossadenia","Euphorbia crossadenia","Pax & K.Hoffm.","D. S. C. Torres","Daniela Santos Carneiro-Torres - HUEFS","210","2000","08","26",NA,"Brasil","BA","RIO DE CONTAS","2km de Rio de Contas em direção ao lixão.","-41.8114013671875","-13.5789003372192",NA,NA,"Exsicatas","Ervas eretas a decumbentes, ca. 50cm de altura, caule avermelhado. Folhas coreáceas, verdes a avermelhadas. Ciátios verdes com apêndices fimbriados esbranquiçados passando a vináceos, nectários verdes passando a vináceos e estigma verde a avermelhado. Frutos imaturos verdes. Coleta de amido.","CEN00042263","CEN00042263","2000","08",NA,NA,NA,"49773","auto",NA,"1",NA,NA
"11","2021-03-15 18:27:07-03","USP","SPF","82692","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Euphorbia","crossadenia","Euphorbia crossadenia","Pax & K.Hoffm.","Cordeiro, I","Ganev, W","2028","1993","08","07",NA,"Brasil","Bahia","Rio de Contas","Campos de Pedra Furada, próximo ao Rio da Água Suja. Divisa Munic. de Abaíra, Distrito de Arapiranga. Campo rupestre com solo arenoso.","-42.433333","-13.8","1120","1120",NA,"Erva ereta de até 35 cm. Folhas e caule verde-vináceo, cálice verde-vináce, ápice branco com base interna verde-claro, filetes alvo-esverdeado, anteras creme. Flores femininas verde, estilete vináceo. Fruto verde. Látex branco.","SPF00082692",NA,NA,NA,NA,"-42.433333","-13.8",NA,NA,NA,NA,NA,NA
"12","2021-03-15 18:27:07-03","USP","SPF","137296","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Euphorbia","crossadenia","Euphorbia crossadenia","Pax & K.Hoffm.","Carneiro-Torres, DS","França, F","2816","1999","05","02",NA,"Brasil","Bahia","Morro do Chapéu","5 km L de Morro do Chapéu. Vegetação herbáceo-arbustiva rupícuola e em solo arenoso.","-41.1275","-11.593056","915","915",NA,"Erva ereta ca. 40 cm. Folha crassa. Nectários verdes com fímbrias brancas, estames maduros; na maturidade nectários vermelhos com fímbrias róseas. Fruto imaturo verde.","SPF00137296",NA,"1999","05",NA,"-41.1275","-11.593056",NA,NA,NA,NA,NA,NA
"13","2019-10-07 09:31:02-03","UEFS","HUEFS","184564","PreservedSpecimen","Plantae","Angiospermae","Malpighiales","Euphorbiaceae","Euphorbia","crossadenia","Euphorbia crossadenia","Pax & K.Hoffm.","O.L.M.Silva","Pastore, J.F.B.","3385","2011","09","25",NA,"Brasil","Goiás","Alto Paraíso de Goiás","Rodovia entre Teresina de Goiás e Alto Paraíso (área monitorada pelo Henrique).","-47.5099983215332","-14.1324996948242",NA,NA,NA,NA,"HUEFS0184564","HUEFS0184564","2014","08",NA,NA,NA,"44724","auto",NA,NA,"Rosanae",NA
"14","2019-10-07 09:31:02-03","UEFS","HUEFS","14615","PreservedSpecimen","Plantae","Angiospermae","Malpighiales","Euphorbiaceae","Euphorbia","crossadenia","Euphorbia crossadenia","Pax & K.Hoffm.","I.Cordeiro","Ganev, W.","2028","1993","08","07",NA,"Brasil","Bahia","Rio de Contas",NA,"-42.433333","-13.8",NA,NA,NA,NA,"HUEFS0014615","HUEFS0014615","1998","03",NA,"42W26'","13S48'",NA,NA,NA,NA,"Rosanae",NA
"15","2019-10-07 09:31:02-03","UEFS","HUEFS","251875","PreservedSpecimen","Plantae","Angiospermae","Malpighiales","Euphorbiaceae","Euphorbia","crossadenia","Euphorbia crossadenia","Pax & K.Hoffm.",NA,"Harley, R.M.","58385","2019","05","27",NA,"Brasil","Bahia","Rio de Contas","Distrito Mato Grosso. Proximidades de Betancourt. Trilha para o Pico de Itobira.","-41.8475","-13.431111","1402","1402",NA,"Área aberta e plana, campo rupestre com afloramentos rochosos, sobre areia e cascalho de quartzito.","HUEFS0251875",NA,NA,NA,NA,"41W50'51''","13S25'52''",NA,NA,NA,NA,"Rosanae",NA
