"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","recordNumber","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2020-09-23 10:42:18-03","E","E","66333","PreservedSpecimen","Plantae","Phytolaccaceae","Trichostigma","octandrum","Trichostigma octandrum","Zak, V. & Espinoza, S.","1990","02","21","W. Tropical South America","EC","herbarium specimen of unspecif","BGBASE:87023","<a href=http://data.rbge.org.uk/herb/E00066333 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00066333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1075695","PreservedSpecimen","Plantae","Petiveriaceae","Trichostigma","octandrum","Trichostigma octandrum","D. C. Daly","1997","03","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=77556' target='other'> <mi>dwc_moreinfo</mi></a>","NY01075695","Magnoliophyta","Caryophyllales","(L.) H.Walter","O. Kosovsky","9517","Acre","Rio Branco","Basin of Rio Purus, Riozinho do Rola, river at record flood level.","-68.0056","-10.0542","NY01075695_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-27 08:23:00-03","NY","NYBG","1510534","PreservedSpecimen","Plantae","Petiveriaceae","Trichostigma","octandrum","Trichostigma octandrum","W. E. Broadway","1910","04","21","South America","Trinidad and Tobago","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1785462' target='other'> <mi>dwc_moreinfo</mi></a>","NY01510534","Magnoliophyta","Caryophyllales",NA,NA,"3538",NA,NA,"Tobago. Near Yaws Hospital. Scarborough.",NA,NA,"NY01510534_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","626020","PreservedSpecimen","Plantae","Petiveriaceae","Trichostigma","octandrum","Trichostigma octandrum","G. G. Hatschbach","1974","10","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=648897' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626020","Magnoliophyta","Caryophyllales","(L.) H.Walter","M. S. Marchioretto","35140","Paraná","Catanduvas","Barra do Guarani.","-53.1567","-25.2033",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01091213","PreservedSpecimen","Plantae","Petiveriaceae","Trichostigma","octandrum","Trichostigma octandrum","A. M. V. de Carvalho","2002","04","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1229779' target='other'> <mi>dwc_moreinfo</mi></a>","NY01091213","Magnoliophyta","Caryophyllales","(L.) H.Walter","O. Kosovsky","7166","Bahia","Uruçuca","Escola Média de Agropecuaria Ragional da CEPLAC (EMARC), Reserva Gregório Bowdar.","-39.2772","-14.6019","NY01091213_01","107","107",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","626021","PreservedSpecimen","Plantae","Petiveriaceae","Trichostigma","octandrum","Trichostigma octandrum","G. G. Hatschbach","1972","09","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=648895' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626021","Magnoliophyta","Caryophyllales","(L.) H.Walter","M. S. Marchioretto","30318","Paraná","Dois Vizinhos","Rio Chopim.","-53.0569","-25.7336",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1075696","PreservedSpecimen","Plantae","Petiveriaceae","Trichostigma","octandrum","Trichostigma octandrum","D. C. Daly","1998","03","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=77557' target='other'> <mi>dwc_moreinfo</mi></a>","NY01075696","Magnoliophyta","Caryophyllales","(L.) H.Walter","O. Kosovsky","9719","Acre","Brasiléia","Basin of Rio Purus, upper Rio Acre, left bank.","-69.02306","-10.98528","NY01075696_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","626022","PreservedSpecimen","Plantae","Petiveriaceae","Trichostigma","octandrum","Trichostigma octandrum","L. B. Smith","1964","10","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=648894' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626022","Magnoliophyta","Caryophyllales","(L.) H.Walter","M. S. Marchioretto","12615","Santa Catarina","Mondaí","Catre.","-53.5","-27.13",NA,"235","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1075703","PreservedSpecimen","Plantae","Petiveriaceae","Trichostigma","octandrum","Trichostigma octandrum","D. C. Daly","1999","03","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=77559' target='other'> <mi>dwc_moreinfo</mi></a>","NY01075703","Magnoliophyta","Caryophyllales","(L.) H.Walter","O. Kosovsky","9957","Acre","Santa Rosa do Purus","Rio Purus, left bank, upstream from Igarapé Sao Vicente.","-70.2542","-9.1808","NY01075703_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1075704","PreservedSpecimen","Plantae","Petiveriaceae","Trichostigma","octandrum","Trichostigma octandrum","F. A. Michelangeli","2009","02","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1225427' target='other'> <mi>dwc_moreinfo</mi></a>","NY01075704","Magnoliophyta","Caryophyllales","(L.) H.Walter","P. Acevedo-Rodríguez","1394","Acre","Jordão","Rio Tarauacá, downstream from Foz de Jordão. Riverbank on right bank.","-71.7475","-8.7753","NY01075704_01","250","260",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","626019","PreservedSpecimen","Plantae","Petiveriaceae","Trichostigma","octandrum","Trichostigma octandrum","G. G. Hatschbach","1974","10","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=648896' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626019","Magnoliophyta","Caryophyllales","(L.) H.Walter","M. S. Marchioretto","35140","Paraná","Catanduvas","Barra do Guarani.","-53.1567","-25.2033",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
