"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","class","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","fieldNumber","individualCount","relatedCatalogItem","yearIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","3080","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","suburbana","Mimosa suburbana","Barneby","isotype","H. S. Irwin","21018","1968","03","02","South America","Brazil","Distrito Federal","Brasília","Parque Municipal do Gama, ca 30 km SW of Brasília. Alt. 1100 m.","-48.05","-16.03","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=510006' target='other'> <mi>dwc_moreinfo</mi></a>","NY00003080","NY00003080_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00957642","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","suburbana","Mimosa suburbana","Barneby",NA,"J. H. Kirkbride Jr.","5225","1983","04","13","South America","Brazil","Distrito Federal","Brasília","Escola Fazendária.","-47.83","-15.87","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1017255' target='other'> <mi>dwc_moreinfo</mi></a>","NY00957642","NY00957642_01","R. C. Barneby","1150","1150",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","3079","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","suburbana","Mimosa suburbana","Barneby","isotype","H. S. Irwin","21018","1968","03","02","South America","Brazil","Distrito Federal","Brasília","Parque Municipal do Gama, ca 30 km SW of Brasília. Alt. 1100 m.","-48.05","-16.03","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=510005' target='other'> <mi>dwc_moreinfo</mi></a>","NY00003079","NY00003079_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 09:10:30-03","NBC","NL-BOTANY","U.1309210","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Mim.","Mimosa","suburbana","Mimosa suburbana","Barneby",NA,"Kirkbride Jr JH",NA,"1983","04","13","Southern America","Brazil",NA,NA,"Distrito Federal. Capoeira na beira da mata. Escola Fazendaria.","-47.833333","-15.866667",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1309210 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1309210","NL-U1309210",NA,NA,NA,"Magnoliopsidae","-47.833333","-15.866667",NA,NA,NA,NA,NA,NA
"5","2020-02-08 09:10:30-03","NBC","NL-BOTANY","WAG.1706643","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Mim.","Mimosa","suburbana","Mimosa suburbana","Barneby",NA,"Kirkbride Jr JH",NA,"1983","04","13","Southern America","Brazil",NA,NA,"Distrito Federal. Capoeira na beira da mata. Escola Fazendaria.","-47.833333","-15.866667",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1706643 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1706643","NL-WAG1706643",NA,NA,NA,"Magnoliopsidae","-47.833333","-15.866667",NA,NA,NA,NA,NA,NA
"6","2021-02-12 18:12:10-03","UFES","VIES","11939","S","Plantae",NA,NA,"Fabaceae","Mimosa","suburbana","Mimosa suburbana","Barneby",NA,"Araújo, G.M.; Souza, J.P.","s.n.","2005","04","13",NA,"Brasil","Minas Gerais","Araguari","Capim Branco 1.","-48.187198638916","-18.6471996307373",NA,NA,"VIES011939","VIES011939",NA,NA,NA,NA,NA,NA,"58653","auto",NA,NA,NA,NA
"7","2020-12-21 16:27:34-03","MBM","MBM","408600","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","suburbana","Mimosa suburbana","Barneby",NA,"Araújo, G.M.","s.n.","2005","04","13","Southern America","Brazil","Minas Gerais","Araguari",NA,"-48.187198638916","-18.6471996307373",NA,"Flores roxas&nf;; Mata decídua.","MBM408600","MBM408600",NA,NA,NA,NA,NA,NA,"58653","auto",NA,NA,NA,NA
"8","2015-09-27 07:16:08-03","MNHN","RECOLNAT_MNHN_P","P00710318","PreservedSpecimen",NA,NA,NA,"Fabaceae","Mimosa","suburbana","Mimosa suburbana","Barneby","isotype","Irwin, H.S.|Maxwell, H.|Wasshausen, D.C.",NA,"1968","3","2",NA,"Brésil",NA,NA,"Parque Municipal do Gama, ca. 30km S.W.of Brasilia",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00710318' target='other'> <mi>dwc_moreinfo</mi></a>","P00710318","P00710318_01","Barneby","1100",NA,NA,NA,NA,NA,NA,"21018",NA,NA,NA
"9","2020-03-31 09:50:00-03","MO","MOBOT","101188865","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","suburbana","Mimosa suburbana","Barneby","Holotype","Howard S. Irwin|H. Maxwell|Dieter C. Wasshausen","Irwin 21018","1968","3","2","South America","Brazil","Distrito Federal",NA,"Parque Municipal do Gama, ca. 30 km S.W. of Brasília.",NA,NA,NA,NA,NA,NA,NA,"1100.00000000",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"10","2020-09-12 05:00:02-03","US","US","3563888","PreservedSpecimen","Plantae",NA,"Rosales","Fabaceae","Mimosa","suburbana","Mimosa suburbana","Barneby","Isotype","H. S. Irwin, H. Maxwell & D. C. Wasshausen","21018","1968","3","2","South America - Neotropics","Brazil","Distrito Federal",NA,"Parque Municipal do Gama, ca. 30 km S.W. of Brasília.",NA,NA,NA,NA,"US00956357","US00956357_01","Barneby, R. C.","1100",NA,"Dicotyledonae",NA,NA,NA,NA,NA,"1",NA,NA
