"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","phylum","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","occurrenceRemarks","barcode","imagecode","verbatimLongitude","verbatimLatitude"
"1","2015-07-02 14:00:12-03","JBP","HPL","13186","S","Plantae","Amaryllidaceae","Griffinia","rochae","Griffinia rochae","A. Campos-Rocha","1069","2013","01","08","Brasil","SP","Nova Odessa","Coletado em cultivo no JBP, proveniente do estado do Rio de Janeiro.","-47.29","-22.77","8440","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-01 16:18:54-03","UNICAMP","UEC","185661","S","Plantae","Amaryllidaceae","Griffinia","rochae","Griffinia rochae","Campos-Rocha, A; Dutilh, JHA","1304","2013","10","13","Brazil",NA,NA,"em cultivo em propriedade particular no município de Mogi das Cruzes - SP, procedência desconhecida",NA,NA,NA,NA,"Liliopsida","G.M.Morel","Campos-Rocha, A","2013","10","13","herbácea bulbosa, ca. 8 cm de altura, flores alvas na base e lilases no ápice","UEC109166","UEC109166",NA,NA
"3","2021-03-01 16:18:54-03","UNICAMP","UEC","185673","S","Plantae","Amaryllidaceae","Griffinia","rochae","Griffinia rochae","Campos-Rocha, A","1069","2013","01","08","Brazil","Rio de Janeiro",NA,"em cultivo no Jardim Botânico Plantarum, procedência incerta",NA,NA,NA,NA,"Liliopsida","G.M.Morel","Campos-Rocha, A","2013","01","08","herbácea bulbosa, ca. 15 cm de altura, flores alvas na base e lilases no ápice","UEC109178","UEC109178",NA,NA
"4","2021-03-01 16:18:54-03","UNICAMP","UEC","185751","S","Plantae","Amaryllidaceae","Griffinia","rochae","Griffinia rochae","Campos-Rocha, A; Shimizu, GH; Saka, MN","1382","2013","12","25","Brazil","Espírito Santo","Santa Leopoldina","arredores da cidade","-40.470639","-20.058556",NA,NA,"Liliopsida","G.M.Morel","Campos-Rocha, A","2013","12","25","herbácea bulbosa, ca 15 cm de altura, flores alvas na base e lilases no ápice","UEC109140","UEC109140","-40.470639","-20.058556"
