"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","stateProvince","locality","minimumElevationInMeters","typeStatus","imagecode","identifiedBy","county","decimalLongitude","decimalLatitude","maximumElevationInMeters","coordinatePrecision","geoFlag","infraspecificEpithet","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","sex","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2020-09-23 10:40:19-03","E","E","87059","PreservedSpecimen","Plantae","Leguminosae","Acacia","polyphylla","Acacia polyphylla","Pennington, R.T., Bridgewater, S. & Daza, A.","772","1998","03","10","W. Tropical South America","PE","fruit collection/cone collecti","BGBASE:96942","<a href=http://data.rbge.org.uk/herb/E00087059 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00087059",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:40:19-03","E","E","87055","PreservedSpecimen","Plantae","Leguminosae","Acacia","polyphylla","Acacia polyphylla","Pennington, R.T., Bridgewater, S. & Daza, A.","763","1998","03","07","W. Tropical South America","PE","herbarium specimen of unspecif","BGBASE:96946","<a href=http://data.rbge.org.uk/herb/E00087055 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00087055",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:40:19-03","E","E","87058","PreservedSpecimen","Plantae","Leguminosae","Acacia","polyphylla","Acacia polyphylla","Pennington, R.T., Bridgewater, S. & Daza, A.","772","1998","03","10","W. Tropical South America","PE","herbarium specimen of unspecif","BGBASE:96941","<a href=http://data.rbge.org.uk/herb/E00087058 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00087058",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:40:19-03","E","E","40285","PreservedSpecimen","Plantae","Leguminosae","Acacia","polyphylla","Acacia polyphylla","Ratter, J.A.; Bridgewater, S.; Filho, J. Fonsêca; Garcia, Alicia Ibañez & Dos Santos, Gilmar B.",NA,"1996","11","09","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:48650","<a href=http://data.rbge.org.uk/herb/E00040285 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00040285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","4092375","PreservedSpecimen","Plantae","Fabaceae","Acacia","glomerosa","Acacia glomerosa","Y. E. J. Mexia","6258","1931","12","12","South America","Peru","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4492789' target='other'> <mi>dwc_moreinfo</mi></a>","NY04092375","Magnoliophyta","Fabales","Benth.","Loreto","Above Pongo de Manseriche. Creek Carapisa; border forest.","215",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1515","PreservedSpecimen","Plantae","Fabaceae","Acacia","glomerosa","Acacia glomerosa","G. Gardner","1940",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=579351' target='other'> <mi>dwc_moreinfo</mi></a>","NY00001515","Magnoliophyta","Fabales","Benth.","Piauí",NA,NA,"type","NY00001515_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1144908","PreservedSpecimen","Plantae","Fabaceae","Acacia","polyphylla","Acacia polyphylla","J. M. Pires","16112","1978","07","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1300986' target='other'> <mi>dwc_moreinfo</mi></a>","NY01144908","Magnoliophyta","Fabales","DC.","Maranhão","Rodovia Belém-Brasília, entre 0 e 50 km a W de Imperatriz.",NA,NA,"NY01144908_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","391279","PreservedSpecimen","Plantae","Fabaceae","Acacia","polyphylla","Acacia polyphylla","G. G. Hatschbach","21064","1969","02","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=493356' target='other'> <mi>dwc_moreinfo</mi></a>","NY00391279","Magnoliophyta","Fabales","DC.","Paraná","Sta. Tereza",NA,NA,"NY00391279_01","A. E. Burkart","Cascavel","-53.4553","-24.9558",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1144938","PreservedSpecimen","Plantae","Fabaceae","Acacia","polyphylla","Acacia polyphylla","L. P. de Queiroz","4059","1994","10","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1301129' target='other'> <mi>dwc_moreinfo</mi></a>","NY01144938","Magnoliophyta","Fabales","DC.","Bahia","A ca. 28 km W de Ibotirama, na BR-242",NA,NA,"NY01144938_01",NA,"Barra","-43.42","-12.22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00917857","PreservedSpecimen","Plantae","Fabaceae","Acacia","polyphylla","Acacia polyphylla","H. S. Irwin","14000","1966","03","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=994159' target='other'> <mi>dwc_moreinfo</mi></a>","NY00917857","Magnoliophyta","Fabales","DC.","Distrito Federal","Côrrego Landim, ca. 25 km N. of Brasília","950",NA,"NY00917857_01","H. S. Irwin","Brasília","-47.91666667","-15.5575","950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
