"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","identifiedBy","stateProvince","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","county","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","infraspecificEpithet","previousCatalogNumber","fieldNumber","individualCount","sex"
"1","2016-10-21 20:12:00-02","NY","NYBG","6240","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bowdichia","parvifolia","Bowdichia parvifolia","holotype","G. H. H. Tate","s.n.","1927","09","30","South America","Guyana","Limao, on the savanna.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=586791' target='other'> <mi>dwc_moreinfo</mi></a>","NY00006240","NY00006240_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","6241","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bowdichia","pubescens","Bowdichia pubescens","isotype","J. B. E. Pohl","s.n.",NA,NA,NA,"South America","Brazil","Ad Capitao Vincente, Crixas Trahiras.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=465652' target='other'> <mi>dwc_moreinfo</mi></a>","NY00006241","NY00006241_01","Benth.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","532989","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bowdichia","virgilioides","Bowdichia virgilioides",NA,"R. de Lemos Fróes","21037","1943","02","19","South America","Brazil","Campos gerais, Brejao, regiao Sincorá","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=713929' target='other'> <mi>dwc_moreinfo</mi></a>","NY00532989","NY00532989_01","Kunth","C. H. Stirton","Bahia","-41.22","-13.33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","532994","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bowdichia","virgilioides","Bowdichia virgilioides",NA,"J. A. Steyermark","108599","1973","09","16","South America","Venezuela","Cumbre de Montaña de Mochima, S de Mochima, 18 km. al S de Cumaná","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=713920' target='other'> <mi>dwc_moreinfo</mi></a>","NY00532994",NA,"Kunth","C. H. Stirton","Sucre","-64.33","10.33","350","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01302654","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bowdichia","virgilioides","Bowdichia virgilioides",NA,"G. P. Lewis","1508","1987","03","15","South America","Brazil","Estrada from Maracá to Boa Vista, km ± 15.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1592930' target='other'> <mi>dwc_moreinfo</mi></a>","NY01302654","NY01302654_01","Kunth","G. P. Lewis","Roraima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2017-01-13 13:55:00-02","NY","NYBG","02634266","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bowdichia","virgilioides","Bowdichia virgilioides",NA,"G. H. H. Tate","53","1927","09","08","South America",NA,"British Guiana and Northern Brazil, Frechal","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2935024' target='other'> <mi>dwc_moreinfo</mi></a>","NY02634266","NY02634266_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00981712","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bowdichia","virgilioides","Bowdichia virgilioides",NA,"E. P. Heringer","6881","1981","04","29","South America","Brazil","Bacia do Rio São Bartolomeu.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1100037' target='other'> <mi>dwc_moreinfo</mi></a>","NY00981712","NY00981712_01","Kunth","B. A. S. Pereira","Distrito Federal","-47.9294","-15.7797",NA,NA,"Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01302658","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bowdichia","virgilioides","Bowdichia virgilioides",NA,"D. D. Ackerly","171","1986","02","23","South America","Brazil","Peninsula de Alter-do-Chao.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1593040' target='other'> <mi>dwc_moreinfo</mi></a>","NY01302658","NY01302658_01","Kunth","C. H. Stirton","Pará","-54.95","-2.483333",NA,NA,"Santarém",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","532992","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bowdichia","virgilioides","Bowdichia virgilioides",NA,"P. J. M. Maas","3814","1979","10","23","South America","Guyana","Rupununi. Manari. Along Manari River","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=713913' target='other'> <mi>dwc_moreinfo</mi></a>","NY00532992",NA,"Kunth","H. C. de Lima",NA,"-59.68","3.47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","532963","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bowdichia","virgilioides","Bowdichia virgilioides",NA,"Collector info in notes","191(835)",NA,NA,NA,"South America","Brazil","Cabulla","sheet","Collector is not L. Riedel, it is hard to read the name handwritten by a Russian. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=713921' target='other'> <mi>dwc_moreinfo</mi></a>","NY00532963","NY00532963_01","Kunth",NA,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
