"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","individualCount","typeStatus","fieldNumber","previousCatalogNumber"
"1","2021-04-05 14:33:19-03","UNESC","CRI","6787","PreservedSpecimen","Plantae","Asteraceae","Vernonanthura","mucronulata","Vernonanthura mucronulata","(Less.) H.Rob.","A. L. Cabrera","Reitz; Klein","16296","1963","09","14","Brasil","Santa Catarina","Lages","Ipema.","-50.326389","-27.816389","50º19'35''W","27º48'59''S","918","918","Habitat: campo Habito: arbusto","CRI001361","CRI001361",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:01-03","UNESC","CRI","1863","PreservedSpecimen","Plantae","Asteraceae","Vernonanthura","mucronulata","Vernonanthura mucronulata","(Less.) H.Rob.","A. L. Cabrera","R. Reitz",NA,"1963","09","14","Brasil","Santa Catarina","Lages","Ipema.","-50.326389","-27.816389","50º19'35''W","27º48'59''S","800","800",NA,"CRI001343","CRI001343",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:19-03","UNESC","CRI","1870","PreservedSpecimen","Plantae","Asteraceae","Vernonanthura","mucronulata","Vernonanthura mucronulata","(Less.) H.Rob.","A. L. Cabrera","R. M. Klein","4451","1963","11","01","Brasil","Santa Catarina","Lages","Passo do Socorro.","-50.326389","-27.809722","50º19'35''W","27º48'35''S","918","918","Habitat: campo Habito: arbusto","CRI001359","CRI001359",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","895237","PreservedSpecimen","Plantae","Asteraceae","Vernonanthura","mucronulata","Vernonanthura mucronulata","(Less.) H.Rob.",NA,"A. F. M. Glaziou","15087","1884","01","30","Brazil","Minas Gerais",NA,"Près de Congonha do Campo.",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971226' target='other'> <mi>dwc_moreinfo</mi></a>","NY00895237","NY00895237_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","779475","PreservedSpecimen","Plantae","Asteraceae","Vernonanthura","mucronulata","Vernonanthura mucronulata","(Less.) H.Rob.",NA,"L. Riedel","453","1824","08",NA,"Brazil",NA,NA,"Vili. Rio.",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=797974' target='other'> <mi>dwc_moreinfo</mi></a>","NY00779475","NY00779475_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","779477","PreservedSpecimen","Plantae","Asteraceae","Vernonanthura","mucronulata","Vernonanthura mucronulata","(Less.) H.Rob.",NA,"G. Schüch",NA,NA,NA,NA,"Brazil",NA,NA,"Brasilia.",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=797981' target='other'> <mi>dwc_moreinfo</mi></a>","NY00779477","NY00779477_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1017823","PreservedSpecimen","Plantae","Asteraceae","Vernonanthura","mucronulata","Vernonanthura mucronulata","(Less.) H.Rob.",NA,"F. C. Hoehne","2367","1918","08","14","Brazil","São Paulo",NA,"Butantan.","-46.724373","-23.565521",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1223491' target='other'> <mi>dwc_moreinfo</mi></a>","NY01017823","NY01017823_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1017824","PreservedSpecimen","Plantae","Asteraceae","Vernonanthura","mucronulata","Vernonanthura mucronulata","(Less.) H.Rob.",NA,"S. M. de Campos","13","1959","09","29","Brazil","São Paulo",NA,"4 km NNW da cid. de Itapetininga, em linha reta, 12 km pela rodovia.","-48.05","-23.58",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1223495' target='other'> <mi>dwc_moreinfo</mi></a>","NY01017824","NY01017824_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1017827","PreservedSpecimen","Plantae","Asteraceae","Vernonanthura","mucronulata","Vernonanthura mucronulata","(Less.) H.Rob.",NA,"A. Usteri","16048","1905","08","21","Brazil","São Paulo","Ipiranga","Ypiranga.",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1223500' target='other'> <mi>dwc_moreinfo</mi></a>","NY01017827","NY01017827_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","895236","PreservedSpecimen","Plantae","Asteraceae","Vernonanthura","mucronulata","Vernonanthura mucronulata","(Less.) H.Rob.",NA,"L. O. Williams","8025","1945","07","28","Brazil","Minas Gerais",NA,"Morro das Pedras, near Belo Horizonte.","-43.2485756","-19.9480039",NA,NA,"1035","1035","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971224' target='other'> <mi>dwc_moreinfo</mi></a>","NY00895236","NY00895236_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
