"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","year","month","day","continentOcean","country","stateProvince","locality","occurrenceRemarks","barcode","imagecode","phylum","recordNumber","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters"
"1","2020-02-08 08:54:48-03","NBC","NL-BOTANY","U 0115224","PreservedSpecimen","Plantae","Magnoliopsidae","Caryophyllales","Cactaceae","Notocactus","horstii","Notocactus horstii","F.Ritter","holotype","Ritter F","1964","03","18","Southern America","Brazil","Rio Grande do Sul","S³dseite der Serra Geral. Rio Grande do Sul. Brazil.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200115224 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0115224","NL-U0115224",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-08-27 13:28:38-03","IAP","PACA-AGP","73455","PreservedSpecimen","Plantae","Magnoliatae","Caryophyllales","Cactaceae","Notocactus","horstii","Notocactus horstii","Ritter",NA,"U. Eggli","1994","02","05",NA,"Brasil","RS","Rodovia Quevedo a São Pedro do Sul.","Iter Brasiliensis Tertim 1994 (Rio Grande do Sul).&nf;Herbaria: ZSS (determiners' set)&nf;Maiores informações consultar etiqueta original.","PACA073455",NA,"Magnoliophyta","2490","São Pedro do Sul","-54.102333","-29.473167","54°6.14'W","29°28.39'S","120","200"
