"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","imagecode","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","continentOcean","typeStatus","class"
"1","2020-11-04 11:12:11-03","ESALQ","ESA","64344","PreservedSpecimen","Plantae","Magnoliophyta","Lentibulariaceae","Genlisea","lobata","Genlisea lobata","Fromm Trinta","Gonella, P.M.","2011","03","31","Souza, V.C.; Souza, J.P.; Forster, W.; Mazine, F.F.","23187.0","2000","02","16","Brasil","Minas Gerais","Alto Caparaó","Parque Nacional do Caparaó. Vale Verde. Floresta Aluvial, ao longo do Rio Caparaó","-41.8683013916016","-20.4333000183105","21645","Erva; corola com lábio inferior alvo e lábio superior e espora roxos","ESA064344","ESA064344","auto",NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 11:12:11-03","ESALQ","ESA","62358","PreservedSpecimen","Plantae","Magnoliophyta","Lentibulariaceae","Genlisea","lobata","Genlisea lobata","F. Trinta","Forster, W.",NA,NA,NA,"Forster, W. ; Leoni, L.S.","74.0","1999","05","28","Brasil","Minas Gerais","Alto Caparaó",NA,"-41.8683013916016","-20.4333000183105","21645",NA,"ESA062358","ESA062358","auto",NA,NA,NA,NA,NA,NA,NA
"3","2021-01-14 15:31:20-03","MN","R","218134","PreservedSpecimen","Plantae",NA,"Lentibulariaceae","Genlisea","lobata","Genlisea lobata","Fromm","Trinta, E.F.","1991",NA,NA,"Leoni, L.S.",NA,"1991","04","24","Brasil","Minas Gerais","Carangola","Serra da Grama","-42.466667","-20.733333",NA,NA,NA,NA,NA,"42°28'W","20°44'S","1600","1600",NA,NA,NA
"4","2021-01-14 15:31:20-03","MN","R","218135","PreservedSpecimen","Plantae",NA,"Lentibulariaceae","Genlisea","lobata","Genlisea lobata","Fromm","Trinta, E.F.","1990",NA,NA,"Krieger, P.L. 23586; FPNC 869",NA,"1989","04","02","Brasil","Minas Gerais","Juíz de Fora","Vale verde","-43.3502998352051","-21.7642002105713","36144",NA,NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA
"5","2020-12-20 21:18:05-03","UFV","VIC","2679","PreservedSpecimen","Plantae",NA,"Lentibulariaceae","Genlisea","lobata","Genlisea lobata","Fromm- Trina",NA,NA,NA,NA,"Kulhmann.;","s.n.","1935","04",NA,"Brasil","Minas Gerais","Carangola","Serra da Grama","-42.0293998718262","-20.7331008911133","21913","Planta insetivora,flor roxa, cresce na terrra árida.","VIC002679",NA,"auto",NA,NA,NA,NA,NA,NA,NA
"6","2020-12-20 21:18:05-03","UFV","VIC","1129A","PreservedSpecimen","Plantae",NA,"Lentibulariaceae","Genlisea","lobata","Genlisea lobata","Fromm- Trina",NA,NA,NA,NA,"Kulhmann.;","s.n.","1935","04","20","Brasil","Minas Gerais","Carangola","Serra da Grama","-42.0293998718262","-20.7331008911133","21913","Planta de terrenos áridos descampados, planta roxa.","VIC01129A",NA,"auto",NA,NA,NA,NA,NA,NA,NA
"7","2019-11-21 14:38:12-03","UFJF","CESJ","23586","PreservedSpecimen","Plantae","Angiosperma","Lentibulariaceae","Genlisea","lobata","Genlisea lobata","Fromm-Trinta","E.Fromm-Trinta","1990",NA,NA,"L. Krieger; et al.","CESJ23586","1989","04","02","Brasil","Minas Gerais",NA,"Parque Nacional do Caparaó, Vale Verde.",NA,NA,NA,"Sobre pedra com marejo de água, entre liquens, musgos e outras plantas. Corola alba com esporão roxo.","CESJ023586","CESJ023586",NA,NA,NA,NA,NA,"América do Sul",NA,NA
"8","2019-11-21 14:38:12-03","UFJF","CESJ","22354","PreservedSpecimen","Plantae","Angiosperma","Lentibulariaceae","Genlisea","lobata","Genlisea lobata","Fromm-Trinta","E.Fromm-Trinta","1988",NA,NA,"R.F. Novelino; et allii","FPNC2","1988","03","19","Brasil","Minas Gerais",NA,"Serra do Caparaó",NA,NA,NA,"Sobre rochas em local úmido, com água escorrendo, flores alvas, esporão roxo, labelo lilás, fauce amarela. Na 1ª formação rochosa em direção à tronqueira.","CESJ022354","CESJ022354 CESJ022354_1",NA,NA,NA,NA,NA,"América do Sul","Holotypus",NA
"9","2021-03-01 16:32:53-03","UNICAMP","UEC","9283","S","Plantae","Magnoliopsida","Lentibulariaceae","Genlisea","lobata","Genlisea lobata","Fromm","Fleischmann, A","2010","04","16","Shepherd, GJ; Semir, J; Andrade, JB; Leite, V","5835A","1977","09","07","Brazil","Minas Gerais",NA,"Estrada entre Manhuaçú e Vitória, km 89.",NA,NA,NA,"Flores brancas, em lugares brejosos.; Em encosta de rochas graníticas.","UEC054211","UEC054211",NA,NA,NA,"1000","1000",NA,NA,NA
"10","2021-03-01 16:32:53-03","UNICAMP","UEC","134278","S","Plantae","Magnoliopsida","Lentibulariaceae","Genlisea","lobata","Genlisea lobata","Fromm","Gonella, PM","2009","07","31","Caiafa, AN; Martins, FM","s.n.","2002","01","30","Brazil","Minas Gerais","Araponga","Serra das Cabeças. Totem Deitado.","-42.5208015441895","-20.6667003631592","16385","erva de aproximadamente 0,02 m, portando escarpo com cerca de 0,08m com flores brancas com mancha interna amarela e cálcar roxo. Crescendo sobre mancha de solo raso e encharcado no afloramento de rocha granitóide.; A planta cresce sobre mancha de sol",NA,NA,"auto",NA,NA,"1722","1722",NA,NA,NA
