"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","continentOcean","country","stateProvince","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","class","order","scientificNameAuthorship","year","month","day","imagecode","phylum","identifiedBy","yearIdentified","monthIdentified","dayIdentified","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","individualCount","verbatimLongitude","verbatimLatitude","typeStatus"
"1","2020-09-23 10:41:25-03","E","E","399864","PreservedSpecimen","Plantae","Malvaceae","Rhynchosida","physocalyx","Rhynchosida physocalyx","Gillies, John","35","Temperate South America","AR","Provincia de Buenos Aires","Pampas of Buenos Ayres","herbarium specimen of unspecif","BGBASE:444959","<a href=http://data.rbge.org.uk/herb/E00399864 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00399864",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:41:25-03","E","E","399863","PreservedSpecimen","Plantae","Malvaceae","Rhynchosida","physocalyx","Rhynchosida physocalyx","Tweedie, John",NA,"Temperate South America","AR","Provincia de Buenos Aires","Buenos Ayres","herbarium specimen of unspecif","BGBASE:444958","<a href=http://data.rbge.org.uk/herb/E00399863 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00399863",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 09:59:44-03","NBC","NL-BOTANY","L.3916108","PreservedSpecimen","Plantae","Malvaceae","Rhynchosida","physocalyx","Rhynchosida physocalyx","Pedersen TM",NA,"Southern America","Uruguay","Salto","Rou-31, km 114-120. Dep. Salto.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3916108 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3916108","Magnoliopsidae","Malvales","(A.Gray) Fryxell","1995","01","16","NL-L3916108",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 09:59:49-03","NBC","NL-BOTANY","L.2364990","PreservedSpecimen","Plantae","Malvaceae","Sida","hastata","Sida hastata","Osten C",NA,"Southern America","Uruguay",NA,"Minas, Arquita, locissis in fruticetis.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2364990 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2364990","Magnoliopsidae","Malvales","(Cav.) Willd.","1907","03","28","NL-L2364990",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-11-27 11:47:50-03","IAP","PACA-AGP","30189","PreservedSpecimen","Plantae","Malvaceae","Rhynchosida","physocalyx","Rhynchosida physocalyx","B. Rosengurtt","4710",NA,"Uruguai",NA,"Durasno",NA,NA,"Habitat: In campestribus siccis graminosis Fenofase: flor e fruto","PACA030189","Magnoliatae","Malvales","(A. Gray) Fryxell","1945","03","05",NA,"Magnoliophyta","Grings, M.","2019","08","28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-08-27 13:30:58-03","IAP","PACA-AGP","109102","PreservedSpecimen","Plantae","Malvaceae","Rhynchosida","physocalyx","Rhynchosida physocalyx","M. Grings & R. Paniz","856",NA,"Brasil","RS","RS 183, primeira cixilha depois da BR 293.",NA,NA,"ICN 163034 Habitat: em chircal em beira de estrada de terra Fenofase: fl. Hábito: erva","PACA109102","Magnoliatae","Malvales","(A. Gray) Fryxell","2009","12","13",NA,"Magnoliophyta","M. Grings",NA,NA,NA,"Santana do Livramento","-55.5327987670898","-30.8908004760742","79795","auto",NA,NA,NA,NA,NA,NA,NA
"7","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0036211","PreservedSpecimen","Plantae","Malvaceae","Rhynchosida","physocalyx","Rhynchosida physocalyx","A. Krapovickas; C. L. Cristóbal","46503",NA,"Argentina","Santa Fe","Dep. Vera. Ruta 11, 13 km NE de Vera.",NA,NA,"Decumbente. Pétalos amarillos con mancha basal.",NA,NA,"Malvales","(A. Gray) Fryxell","1995","10","11",NA,"Magnoliophyta","A. Krapovickas",NA,NA,NA,NA,"-60.216061","-29.46533",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-16 17:53:36-03","UCS","HUCS","46877","PreservedSpecimen","Plantae","Malvaceae","Rhynchosida","physocalyx","Rhynchosida physocalyx","Grings, M.","1914",NA,"Brasil","Rio Grande do Sul","Fazenda Posto Branco",NA,NA,"554226.40 m E 6658863.09 m S&nf;subarbusto com flores amarelas; em campo de solos rasos",NA,NA,"Malvales","(A. Gray) Fryxell","2018","02","04",NA,"Angiospermae","Grings, M.",NA,NA,NA,"Quaraí","-56.4514007568359","-30.3875007629395","74636","auto","192","192",NA,NA,NA,NA,NA
"9","2021-03-16 17:53:36-03","UCS","HUCS","8080","PreservedSpecimen","Plantae","Malvaceae","Rhynchosida","physocalyx","Rhynchosida physocalyx","Jasper, A.","s.n.",NA,"Brasil","Rio Grande do Sul","Seival",NA,NA,"no campo - beira da estrada",NA,NA,"Malvales","(A. Gray) Fryxell","1992","01","22",NA,"Angiospermae","Grings, M.","2017","06","02","Caçapava do Sul","-53.4914016723633","-30.5121994018555","50525","auto",NA,NA,NA,NA,NA,NA,NA
"10","2020-06-29 09:30:54-03","UFRRJ","RBR","37447","S","Plantae","Malvaceae","Rhynchosida","physocalyx","Rhynchosida physocalyx","H. Monteiro",NA,NA,"Brasil",NA,NA,NA,NA,NA,"RBR00037447",NA,NA,"(A.Gray) Fryxell","1969","01",NA,NA,NA,"T.A. Amorim","2018","09","28","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-06-29 09:30:54-03","UFRRJ","RBR","37683","S","Plantae","Malvaceae","Rhynchosida","physocalyx","Rhynchosida physocalyx","Berro","1174",NA,"Uruguai",NA,"Vera",NA,NA,NA,"RBR00037683",NA,NA,"(A.Gray) Fryxell","1900","03",NA,NA,NA,"T.A. Amorim","2018","09","28","Uruguai",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-12-21 16:33:34-03","MBM","MBM","322886","PreservedSpecimen","Plantae","Malvaceae","Rhynchosida","physocalyx","Rhynchosida physocalyx","Burkart, A.; Troncoso, N.S.; Bacigalupo, N.S.; Crespo, S.; Troncoso, N.S.; Bacigalupo, N.S.; Crespo, S.","23402","Southern America","Argentina","Entre Ríos","Santa Elena",NA,NA,"Flor anaranjado pálido.","MBM322886",NA,NA,"(A. Gray) Fryxell","1962","03","14","MBM322886",NA,"Krapovickas, A.","1963",NA,NA,"La Paz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-12-21 16:33:34-03","MBM","MBM","280345","PreservedSpecimen","Plantae","Malvaceae","Rhynchosida","physocalyx","Rhynchosida physocalyx","Schinini, A.; Urbani, M.; Urbani, M.","35784","Southern America","Argentina",NA,"Chaco",NA,NA,NA,"MBM280345",NA,NA,"(A. Gray) Fryxell","2002","02","19","MBM280345",NA,"Schinini, A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-12-21 16:33:34-03","MBM","MBM","280346","PreservedSpecimen","Plantae","Malvaceae","Rhynchosida","physocalyx","Rhynchosida physocalyx","Keller, H.","2033","Southern America","Argentina",NA,"Entre Rios",NA,NA,NA,"MBM280346",NA,NA,"(A. Gray) Fryxell","2003","01","01","MBM280346",NA,"Krapovickas, A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2015-09-04 18:57:51-03","MNHN","RECOLNAT_MNHN_P","P06624715","PreservedSpecimen",NA,"Malvaceae","Rhynchosida","physocalyx","Rhynchosida physocalyx","Pedersen, T.M.",NA,NA,"Argentina",NA,"Prov. Corrientes, Dep. Mburucuyá, Estancia Santa Teresa, Campo Dios Gracia.","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p06624715' target='other'> <mi>dwc_moreinfo</mi></a>","P06624715",NA,NA,"(A.Gray) Fryxell","1953","2","7","P06624715_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1952",NA,NA,NA,NA
"16","2015-09-04 18:57:51-03","MNHN","RECOLNAT_MNHN_P","P06624716","PreservedSpecimen",NA,"Malvaceae","Rhynchosida","physocalyx","Rhynchosida physocalyx","Gaudichaud",NA,NA,"Brasil","Rio Grande do Sul",NA,"hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p06624716' target='other'> <mi>dwc_moreinfo</mi></a>","P06624716",NA,NA,"(A.Gray) Fryxell","1833","1","1","P06624716_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"32",NA,NA,NA,NA
"17","2018-09-04 10:58:13-03","MNHN","RECOLNAT_MNHN_P","P02142921","PreservedSpecimen",NA,"Malvaceae","Rhynchosida","physocalyx","Rhynchosida physocalyx","Saint-Hilaire, A. de",NA,NA,"[Uruguay]",NA,"Assez commun sur le bord du chemin dans la province Cisplatine","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02142921' target='other'> <mi>dwc_moreinfo</mi></a>","P02142921",NA,NA,"(A.Gray) Fryxell",NA,NA,NA,"P02142921_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
