"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","typeStatus","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","03060712","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Minaria","diamantinensis","Minaria diamantinensis","(Fontella) T.U.P.Konno & Rapini","M. Verdi","7000","2014","02","13","South America","Brazil","Minas Gerais","Diamantina","Ao longo da MG - 220, em direção a Conselheiro Mata a partir de Diamantina.","-43.8883333","-18.3088889","1297","1297","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3286183' target='other'> <mi>dwc_moreinfo</mi></a>","NY03060712","NY03060712_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-21 16:12:43-03","MBM","MBM","404943","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Minaria","diamantinensis","Minaria diamantinensis","(Fontella) T.U.P. Konno & Rapini","Verdi, M.; Pougy, N.; Martinelli, G.; Maurenza, D.; Martins, E.; Pougy, N.; Martinelli, G.; Maurenza, D.; Martins, E.","7000","2014","02","13","Southern America","Brazil","Minas Gerais","Diamantina","ao longo da MG - 220, em direção a Conselheiro Mata a partir de Diamantina","-43.888333","-18.308889","1297","1297",NA,"Arbusto com 20 cm de altura. Folhas verdes um pouco glaucas devido a presença de indumento; flor amarela; fruto verde; látex branco abundante em toda a planta; em 100 m² foram contados 50 indivíduos.; Campo Rupestre, encontrado em af","MBM404943","MBM404943","Verdi, M.","2014","02","13","-43.888333","-18.308889",NA,NA,NA,NA
"3","2020-12-11 11:31:54-03","UFMG","BHCB","44609","PreservedSpecimen","Plantae","Dicotyledon",NA,"Apocynaceae","Minaria","diamantinensis","Minaria diamantinensis","Fontella","Hatschbach, G; Hatschbach, M; Barbosa, E","66489","1997","03","19","Southern America","Brasil","Minas Gerais","Diamantina","Rod. Guinda - Conselheiro Mata.","-43.6002998352051","-18.2493991851807",NA,NA,NA,"Apoiante, 30 cm, látex alvo, flor creme.; Campo rupestre, solo rochoso.",NA,NA,NA,NA,NA,NA,NA,NA,"101169","auto",NA,NA
"4","2008-05-27 22:02:00-03","MO","MOBOT","1237548","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","diamantinensis","Ditassa diamantinensis","Fontella","C. Kameyama|et al.","Kameyama 11282","1987","7","18","South America","Brazil","Minas Gerais",NA,"Diamantina, estrada para Conselheiro Mata, Km 165",NA,NA,NA,NA,NA,NA,NA,NA,"J. Fontella P.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-12 16:33:20-03","USP","SPF","64087","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","diamantinensis","Ditassa diamantinensis","Fontella","Kameyama, C; Zappi, DC; Prado, J","CFCR11282","1987","07","18",NA,"Brasil","Minas Gerais","Diamantina","Estrada para Conselheiro Mata Km 165","-43.6002998352051","-18.2493991851807",NA,NA,NA,"Erva de 20cm alt., flores creme, em solo arenoso. Campo rupestre.","SPF00064087","SPF00064087","Fontella Pereira, J","1993",NA,NA,NA,NA,"101169","auto","holotype",NA
"6","2019-11-13 11:15:13-03","USP","SPF","176025","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Minaria","diamantinensis","Minaria diamantinensis","(Fontella) T.U.P.Konno & Rapini","Konno, TUP","705","2000","11","29",NA,"Brasil","Minas Gerais","Diamantina","Estrada para Conselheiro Mata, km 165. Sobre afloramento na margem direita da estrada.","-43.889444","-18.308889","1360","1360",NA,"Heliófila, crescendo sob solo arenoso, umidecido. Subarbusto bastante ramificado, ca. 30 cm alt., látex alvo. Folha cartácea, discolor; margem revoluta, base levemente cordada. Flores com cálice verde e corola creme.","SPF00176025",NA,"Rapini, A","2008",NA,NA,"-43.889444","-18.308889",NA,NA,NA,NA
"7","2019-11-13 11:15:13-03","USP","SPF","135380","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Minaria","diamantinensis","Minaria diamantinensis","(Fontella) T.U.P.Konno & Rapini","Rapini, A","810","1999","03","15",NA,"Brasil","Minas Gerais","Diamantina","Km 165 da estrada para Conselheiro Mata, MG 220.","-43.6002998352051","-18.2493991851807",NA,NA,NA,"Subarbusto decumbente com flores creme-esverdeadas e frutos verdes passando a castanhos no dorso.","SPF00135380",NA,"Rapini, A","2008",NA,NA,NA,NA,"101169","auto",NA,NA
"8","2021-03-04 11:15:27-03","UEFS","HUEFS","119718","PreservedSpecimen","Plantae","Angiospermae","Gentianales","Apocynaceae","Minaria","diamantinensis","Minaria diamantinensis","(Fontella) T.U.P.Konno & Rapini","Ribeiro, P.L.","218","2007","02","13",NA,"Brasil","Minas Gerais","Diamantina","Estrada para Conselheiro Mata, Km 165.","-43.891667","-18.308611","1332","1332",NA,"Campo rupestre, solo arenoso.","HUEFS0119718","HUEFS0119718",NA,NA,NA,NA,"43W53'30''","18S18'31''",NA,NA,NA,"Asteranae"
"9","2021-03-04 11:15:27-03","UEFS","HUEFS","119720","PreservedSpecimen","Plantae","Angiospermae","Gentianales","Apocynaceae","Minaria","diamantinensis","Minaria diamantinensis","(Fontella) T.U.P.Konno & Rapini","Ribeiro, P.L.","220","2007","02","13",NA,"Brasil","Minas Gerais","Diamantina","Estrada para Conselheiro Mata, 38 Km antes deste, entrando pela BR 259.","-43.918333","-18.311111","1332","1332",NA,"Campo rupestre, solo areno-pedregoso.","HUEFS0119720","HUEFS0119720",NA,NA,NA,NA,"43W55'6''","18S18'40''",NA,NA,NA,"Asteranae"
"10","2021-03-04 11:15:27-03","UEFS","HUEFS","162828","PreservedSpecimen","Plantae","Angiospermae","Gentianales","Apocynaceae","Minaria","diamantinensis","Minaria diamantinensis","(Fontella) T.U.P.Konno & Rapini","Ribeiro, P.L.","336","2008","02","08",NA,"Brasil","Minas Gerais","Diamantina","Estrada Diamantina - Conselheiro Mata, 8,6 km da entrada.","-43.853611","-18.309167","1280","1280",NA,"Campo rupestre.","HUEFS0162828","HUEFS0162828","A.Rapini","2010","11",NA,"43W51'13''","18S18'33''",NA,NA,NA,"Asteranae"
