"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","occurrenceRemarks","individualCount","identifiedBy","recordedBy","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","locality","yearIdentified","monthIdentified","dayIdentified","recordNumber","year","month","day","continentOcean","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","preparationType","imagecode"
"1","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","2191","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Cattleya","perrinii","Cattleya perrinii","Lindl.","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","1972","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Cattleya","perrinii","Cattleya perrinii","Lindl.","254","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","2061","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Cattleya","perrinii","Cattleya perrinii","Lindl.","254","1","Alexandre","Dália Rizel Wieloch;","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-31 13:41:04-03","MN","R","2978","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Laelia","perrinii","Laelia perrinii","(Lindl.) Bateman",NA,NA,"Rodrigues, J.B.","Schreiner, C.","Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-31 13:41:04-03","MN","R","44764","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Laelia","perrinii","Laelia perrinii","(Lindl.) Bateman",NA,NA,"Hoehne, F.C.","Hoehne, F.C.","Brasil","Minas Gerais","Juiz de Fora","-43.3502998352051","-21.7642002105713","36144","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-31 13:41:04-03","MN","R","35665","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Laelia","perrinii","Laelia perrinii","(Lindl.) Bateman",NA,NA,NA,NA,"Brasil","Rio de Janeiro","Rio de Janeiro","-43.2075004577637","-22.9027996063232","57442","auto","São Cristóvão",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-07-05 11:14:18-03","FFCLRP","LBMBP","1034","S","Plantae",NA,NA,NA,"Orchidaceae","Laelia","perrinii","Laelia perrinii","(Lindl.) Bateman",NA,NA,"E.R. Pansarin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-07-05 11:14:18-03","FFCLRP","LBMBP","507","S","Plantae",NA,NA,NA,"Orchidaceae","Laelia","perrinii","Laelia perrinii","(Lindl.) Bateman",NA,NA,"E.R. Pansarin","E.R. Pansarin","Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-11-21 14:40:53-03","UFJF","CESJ","60731","PreservedSpecimen","Plantae","Angiosperma",NA,NA,"Orchidaceae","Hadrolaelia","perrinii","Hadrolaelia perrinii","(Lindl.) Chiron & V.P.Castro","Interior de floresta, próximo ao curso d'água.",NA,"L. Menini Neto","D.E.F. Barbosa; F.R. Silva","Brasil","Minas Gerais","Chácara","-43.182222","-21.655833",NA,NA,"Fazenda Fortaleza de Santana, Interior de Floresta Estacional Semidecidual, próximo ao curso d'água.","2012","03","31","74","2012","03","31","América do Sul","-43.182222","-21.655833","750","800","CESJ060731",NA,NA
"10","2019-11-06 09:56:52-03","UFOP","OUPR","14202","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Hadrolaelia","perrinii","Hadrolaelia perrinii","(Lindl.) Chiron & V.P.Castro","Cultivada. Erva. Flores rosas",NA,"Barros, F.; Vinhos, F.; Rodrigues, VT (LEFB)","s.col.","Brasil","Minas Gerais","Ouro Preto","-43.5080986022949","-20.2875003814697","44599","auto",NA,"2012",NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
