"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","continentOcean","country","stateProvince","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","recordNumber","year","month","day","county","locality","decimalLongitude","decimalLatitude","imagecode","infraspecificEpithet","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","minimumElevationInMeters","maximumElevationInMeters"
"1","2020-09-23 10:36:11-03","E","E","373472","PreservedSpecimen","Plantae","Annonaceae","Xylopia","langsdorffiana","Xylopia langsdorffiana","possible type","St. Hilaire, A.de","E. Tropical South America","BR","Rio de Janeiro","photograph of unspecified type","BGBASE:431836","<a href=http://data.rbge.org.uk/herb/E00373472 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00373472",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","503366","PreservedSpecimen","Plantae","Annonaceae","Xylopia","langsdorffiana","Xylopia langsdorffiana",NA,"I. C. C. Macedo","South America","Brazil","São Paulo","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=329222' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503366","Magnoliophyta","Magnoliales","A.St.-Hil. & Tul.","R. de Mello-Silva","70","1985","12","04","Cananéia","Cananeia, Parque Estadual da Ilha do Cardoso. Coletado no Morro de Ipanema","-47.9197","-25.0103","NY00503366_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1039206","PreservedSpecimen","Plantae","Annonaceae","Xylopia","langsdorffiana","Xylopia langsdorffiana",NA,"A. Q. Lobão","South America","Brazil","Rio de Janeiro","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1482288' target='other'> <mi>dwc_moreinfo</mi></a>","NY01039206","Magnoliophyta","Magnoliales","A.St.-Hil. & Tul.","A. Q. Lobão","1359","2007","09","27","Magé","Santo Aleixo. Trilha Coruja-Italianos.","-43.0406","-22.6528","NY01039206_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","395910","PreservedSpecimen","Plantae","Annonaceae","Xylopia","langsdorffiana","Xylopia langsdorffiana langsdorffiana",NA,"S. M. Silva","South America","Brazil","Paraná","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=503064' target='other'> <mi>dwc_moreinfo</mi></a>","NY00395910","Magnoliophyta","Magnoliales","A.St.-Hil. & Tul.","R. de Mello-Silva",NA,"1996","01","19","Paranaguá","Morro da Baleia, Ilha do Mel","-48.35","-25.5","NY00395910_01 NY00395910_02","langsdorffiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","395909","PreservedSpecimen","Plantae","Annonaceae","Xylopia","langsdorffiana","Xylopia langsdorffiana",NA,"O. dos S. Ribas","South America","Brazil","Paraná","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=329223' target='other'> <mi>dwc_moreinfo</mi></a>","NY00395909","Magnoliophyta","Magnoliales","A.St.-Hil. & Tul.","R. de Mello-Silva","1050","1996","01","20","Paranaguá","Balneario Shangri-la","-48.421288","-25.620588","NY00395909_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02699093","PreservedSpecimen","Plantae","Annonaceae","Xylopia","langsdorfiana","Xylopia langsdorfiana",NA,"H. de F. Leitão Filho","South America","Brazil","São Paulo","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2982953' target='other'> <mi>dwc_moreinfo</mi></a>","NY02699093","Magnoliophyta","Magnoliales","A.St.-Hil. & Tul.","A. F. Pontes Pires","10745","1979","12","11","Cananéia","Ilha do Cardoso","-47.992538","-25.197304","NY02699093_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-12-04 15:26:04-03","PUCPR","HUCP","3398","S","Plantae","Annonaceae","Xylopia","langsdorffiana","Xylopia langsdorffiana",NA,"Britez, RM",NA,"Brasil","Paraná",NA,NA,NA,"HUCP00005291","Magnoliidae",NA,"A. St.-Hil. & Tul.","Silva, SM","1907",NA,NA,NA,"Paranaguá","Ilha do Mel, Morro do Forte.","-48.5092010498047","-25.5200004577637","HUCP00005291",NA,"1987","11","06","24916","auto",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 09:44:13-03","NBC","NL-BOTANY","U.1076589","PreservedSpecimen","Plantae","Annonaceae","Xylopia","lanceolata","Xylopia lanceolata",NA,"Maas PJM; Carauta JPP","Southern America","Brazil","Rio de Janeiro",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1076589 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1076589",NA,"Magnoliales","R.E.Fr.","Maas PJM; Setten AK van",NA,"1977","10","17",NA,"Macico da Tijuca",NA,NA,"NL-U1076589",NA,NA,NA,NA,NA,NA,"Magnoliopsidae","U 0011845",NA,NA,NA,NA,NA,NA
"9","2020-02-08 09:44:13-03","NBC","NL-BOTANY","U.1076590","PreservedSpecimen","Plantae","Annonaceae","Xylopia","langsdorfiana","Xylopia langsdorfiana",NA,"Gottsberger IS; Gottsberger GK","Southern America","Brazil","São Paulo",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1076590 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1076590",NA,"Magnoliales","A.St.-Hil. & Tul.","Maas PJM; Chatrou LW",NA,"1971","06","24",NA,NA,NA,NA,"NL-U1076590",NA,NA,NA,NA,NA,NA,"Magnoliopsidae","U 0134148",NA,NA,NA,NA,NA,NA
"10","2020-02-08 09:44:13-03","NBC","NL-BOTANY","U.1076591","PreservedSpecimen","Plantae","Annonaceae","Xylopia","langsdorfiana","Xylopia langsdorfiana",NA,"Gottsberger GK","Southern America","Brazil","São Paulo",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1076591 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1076591",NA,"Magnoliales","A.St.-Hil. & Tul.","Maas PJM; Chatrou LW",NA,"1970","01","01",NA,NA,NA,NA,"NL-U1076591",NA,NA,NA,NA,NA,NA,"Magnoliopsidae","U 0134149",NA,NA,NA,NA,NA,NA
"11","2020-02-08 09:44:13-03","NBC","NL-BOTANY","U.1076592","PreservedSpecimen","Plantae","Annonaceae","Xylopia","langsdorfiana","Xylopia langsdorfiana",NA,"Barros F de","Southern America","Brazil","São Paulo",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1076592 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1076592",NA,"Magnoliales","A.St.-Hil. & Tul.","Mello-Silva R de",NA,"1982","03","10",NA,NA,NA,NA,"NL-U1076592",NA,"1987","10","01",NA,NA,"Magnoliopsidae","U 0134150",NA,NA,NA,NA,NA,NA
"12","2020-02-08 09:44:13-03","NBC","NL-BOTANY","U.1076593","PreservedSpecimen","Plantae","Annonaceae","Xylopia","langsdorfiana","Xylopia langsdorfiana",NA,"Mori SA; et al.","Southern America","Brazil","Bahia",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1076593 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1076593",NA,"Magnoliales","A.St.-Hil. & Tul.","Carvalho Dias M",NA,"1979","09","27",NA,"Mun. de Una, estrada que liga BR 101 (Sao Jose) com BA 265, a 17 km da primeira Regiao de Mata Higrofila Sul Baiana, cerca de 35 km ao S de Itabuna",NA,NA,"NL-U1076593",NA,NA,NA,NA,NA,NA,"Magnoliopsidae","U 0011847",NA,NA,NA,NA,NA,NA
"13","2020-02-08 09:44:13-03","NBC","NL-BOTANY","U.1076594","PreservedSpecimen","Plantae","Annonaceae","Xylopia","langsdorfiana","Xylopia langsdorfiana",NA,"Fiuza de Melo MMR; Penina A","Southern America","Brazil","São Paulo",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1076594 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1076594",NA,"Magnoliales","A.St.-Hil. & Tul.","Silva RM",NA,"1980","03","01",NA,"Parque Estadual da Ilha do Cardoso",NA,NA,"NL-U1076594",NA,"1990","10","01",NA,NA,"Magnoliopsidae","U 0011846",NA,NA,NA,NA,NA,NA
"14","2020-02-08 09:44:13-03","NBC","NL-BOTANY","U.1076595","PreservedSpecimen","Plantae","Annonaceae","Xylopia","langsdorfiana","Xylopia langsdorfiana",NA,"Mosén CWH","Southern America","Brazil","São Paulo",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1076595 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1076595",NA,"Magnoliales","A.St.-Hil. & Tul.","Fries RE",NA,"1875","01","01",NA,NA,NA,NA,"NL-U1076595",NA,NA,NA,NA,NA,NA,"Magnoliopsidae","U 0134151",NA,NA,NA,NA,NA,NA
"15","2020-11-04 10:59:28-03","ESALQ","ESA","49334","PreservedSpecimen","Plantae","Annonaceae","Xylopia","langsdorffiana","Xylopia langsdorffiana",NA,"Árbocz, G.F.; Ivanauskas, N.M.; Silva, M.M.R.",NA,"Brasil","Mato Grosso",NA,NA,"Árvore de 6m. Frutos no tronco e ramos. Frutos jovens verdes com listras vermelhas. Frutos maduros deiscentes, expondo sementes negras com arilo branco.","ESA049334","Magnoliophyta",NA,"A.St.-Hil.","Lopes, J.C.","3938.0","1997","06","01","Nova Bandeirantes","Estrada para Fazenda Novo Horizonte. Floresta Ombrófila Aberta. Relevo suave ondulado.Solo tipo Podzólico.","-574.791","-94.643","ESA049334",NA,"2012",NA,NA,NA,NA,NA,NA,"-574,791","-94,643",NA,NA,NA,NA
"16","2020-11-04 10:59:28-03","ESALQ","ESA","109305","PreservedSpecimen","Plantae","Annonaceae","Xylopia","langsdorffiana","Xylopia langsdorffiana",NA,"Sampaio, D.",NA,"Brasil","São Paulo",NA,NA,NA,"ESA109305","Magnoliophyta",NA,NA,NA,"120.0",NA,NA,NA,"Cananéia",NA,"-47.9199981689453","-25.0100002288818","ESA109305",NA,NA,NA,NA,"37574","auto",NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-11-04 10:59:28-03","ESALQ","ESA","72644","PreservedSpecimen","Plantae","Annonaceae","Xylopia","langsdorffiana","Xylopia langsdorffiana",NA,"Sztutman, M. et al.",NA,"Brasil","São Paulo",NA,NA,NA,"ESA072644","Magnoliophyta",NA,NA,NA,"263.0","1999","01","11","Pariquera-açu",NA,"-47.8800010681152","-24.7099990844727","ESA072644",NA,NA,NA,NA,"17990","auto",NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-11-04 10:59:28-03","ESALQ","ESA","29587","PreservedSpecimen","Plantae","Annonaceae","Xylopia","langsdorffiana","Xylopia langsdorffiana",NA,"Ivanauskas, N.M.",NA,"Brasil","São Paulo",NA,NA,NA,"ESA029587","Magnoliophyta",NA,"A.St.-Hil. & Tul.","Ivanauskas, N.M.","1099.0","1995","09","28","Pariquera-Açu",NA,"-47.8800010681152","-24.7099990844727","ESA029587",NA,NA,NA,NA,"17990","auto",NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-11-04 10:59:28-03","ESALQ","ESA","11171","PreservedSpecimen","Plantae","Annonaceae","Xylopia","langsdorffiana","Xylopia langsdorffiana",NA,"Passos, F.C.",NA,"Brasil","São Paulo",NA,NA,NA,"ESA011171","Magnoliophyta",NA,"A.St.-Hil.","Lopes, J.C.","22558.0","1989","11","27","Santos",NA,"-46.3300018310547","-23.9599990844727","ESA011171",NA,"2012",NA,NA,"26836","auto",NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-11-04 10:59:28-03","ESALQ","ESA","82499","PreservedSpecimen","Plantae","Annonaceae","Xylopia","langsdorffiana","Xylopia langsdorffiana",NA,"Mazine, F.F.; Sampaio, D.; Forster, W.; Salmazo, P.B. ; Ribeiro Jr., E.",NA,"Brasil","São Paulo",NA,NA,"Árvore ca. 5m. Frutos verdes.","ESA082499","Magnoliophyta",NA,NA,"Sampaio, D.","757.0","2002","12","08","Cananéia","Parque Estadual da Ilha do Cardoso. Mata de Restinga.","-47.9199981689453","-25.0100002288818","ESA082499",NA,NA,NA,NA,"37574","auto",NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-11-04 10:59:28-03","ESALQ","ESA","11168","PreservedSpecimen","Plantae","Annonaceae","Xylopia","langsdorffiana","Xylopia langsdorffiana",NA,"Assis, M.A. et al.",NA,"Brasil","São Paulo",NA,NA,NA,"ESA011168","Magnoliophyta",NA,NA,NA,"22427.0","1989","11","27","Bertioga",NA,"-46.138599395752","-23.8544006347656","ESA011168",NA,NA,NA,NA,"37616","auto",NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-11-04 10:59:28-03","ESALQ","ESA","111306","PreservedSpecimen","Plantae","Annonaceae","Xylopia","langsdorffiana","Xylopia langsdorffiana",NA,"Grupo 6",NA,"Brasil","São Paulo",NA,NA,NA,"ESA111306","Magnoliophyta",NA,NA,"Werneburg, A.",NA,"2008","09","21","Cananéia",NA,"-47.9199981689453","-25.0100002288818","ESA111306",NA,"2008","11","01","37574","auto",NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-11-04 10:59:28-03","ESALQ","ESA","109306","PreservedSpecimen","Plantae","Annonaceae","Xylopia","langsdorffiana","Xylopia langsdorffiana",NA,"Sampaio, D.",NA,"Brasil","São Paulo",NA,NA,NA,"ESA109306","Magnoliophyta",NA,NA,NA,"120.0",NA,NA,NA,"Cananéia",NA,"-47.9199981689453","-25.0100002288818","ESA109306",NA,NA,NA,NA,"37574","auto",NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-11-04 10:59:28-03","ESALQ","ESA","23292","PreservedSpecimen","Plantae","Annonaceae","Xylopia","langsdorffiana","Xylopia langsdorffiana",NA,"Sakai, L. et al.",NA,"Brasil","São Paulo",NA,NA,NA,"ESA023292","Magnoliophyta",NA,"A.St.-Hil. & Tul.",NA,"32626.0","1995","02","07","Cananéia",NA,"-47.9199981689453","-25.0100002288818","ESA023292",NA,NA,NA,NA,"37574","auto",NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-11-04 10:59:28-03","ESALQ","ESA","61893","PreservedSpecimen","Plantae","Annonaceae","Xylopia","langsdorffiana","Xylopia langsdorffiana",NA,"Kozera, C. et al.",NA,"Brasil","São Paulo",NA,NA,NA,"ESA061893","Magnoliophyta",NA,"A.St.-Hil. & Tul.","Souza, V.C. & Rodrigues, R.R.","809.0","1999","01","10","Iguape",NA,"-47.5499992370605","-24.7000007629395","ESA061893",NA,NA,NA,NA,"55628","auto",NA,NA,NA,NA,NA,NA,NA,NA
"26","2020-11-04 10:59:28-03","ESALQ","ESA","62050","PreservedSpecimen","Plantae","Annonaceae","Xylopia","langsdorffiana","Xylopia langsdorffiana",NA,"Sampaio, D. et al.",NA,"Brasil","São Paulo",NA,NA,NA,"ESA062050","Magnoliophyta",NA,"A.St.-Hil. & Tul.","Tamashiro, J.Y.","48.0","1999","01","06","Iguape",NA,"-47.5499992370605","-24.7000007629395","ESA062050",NA,"1999","01","06","55628","auto",NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-11-04 10:59:28-03","ESALQ","ESA","62183","PreservedSpecimen","Plantae","Annonaceae","Xylopia","langsdorffiana","Xylopia langsdorffiana",NA,"Kozera, C. et al.",NA,"Brasil","São Paulo",NA,NA,NA,"ESA062183","Magnoliophyta",NA,"A.St.-Hil. & Tul.",NA,"712.0","1999","01","05","Pariquera-açu",NA,"-47.8800010681152","-24.7099990844727","ESA062183",NA,NA,NA,NA,"17990","auto",NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-11-04 10:59:28-03","ESALQ","ESA","28200","PreservedSpecimen","Plantae","Annonaceae","Xylopia","langsdorffiana","Xylopia langsdorffiana",NA,"Ivanauskas, N.M. et al.",NA,"Brasil","São Paulo",NA,NA,NA,"ESA028200","Magnoliophyta",NA,NA,"Ivanauskas, N.M.","1556.0","1996","06","22","Pariquera-açu",NA,"-47.8800010681152","-24.7099990844727","ESA028200",NA,NA,NA,NA,"17990","auto",NA,NA,NA,NA,NA,NA,NA,NA
