"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","typeStatus","locality","decimalLongitude","decimalLatitude","imagecode","stateProvince","county","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","eventTime","sex"
"1","2020-09-23 10:37:10-03","E","E","146690","PreservedSpecimen","Plantae","Combretaceae","Combretum","laxum","Combretum laxum","Pinheiro, R.;","88","1966","03","10","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:170724","<a href=http://data.rbge.org.uk/herb/E00146690 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00146690",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","245919","PreservedSpecimen","Plantae","Combretaceae","Combretum","adenophyllum","Combretum adenophyllum","Martii Herbar. Florae Brasil.","578","1839",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=307795' target='other'> <mi>dwc_moreinfo</mi></a>","NY00245919","Magnoliophyta","Myrtales","Mart.","type","Prope Cujaba","-56.043867","-15.612755","NY00245919_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-10-21 19:04:00-02","NY","NYBG","245921","PreservedSpecimen","Plantae","Combretaceae","Combretum","basslerianum","Combretum basslerianum","G. Tessmann","3208",NA,NA,NA,"South America","Peru","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=85867' target='other'> <mi>dwc_moreinfo</mi></a>","NY00245921","Magnoliophyta","Myrtales",NA,"type","Yarima Cacha, on middle Ucayali",NA,NA,"NY00245921_01","Ucayali",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","245923","PreservedSpecimen","Plantae","Combretaceae","Combretum","brunnescens","Combretum brunnescens","J. S. de la Cruz","3566","1923","03","23","South America","Guyana","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=255107' target='other'> <mi>dwc_moreinfo</mi></a>","NY00245923","Magnoliophyta","Myrtales","Gleason","holotype","Amakura River","-60","8.17","NY00245923_01 NY00245923_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","2158176","PreservedSpecimen","Plantae","Combretaceae","Combretum","laxum","Combretum laxum","C. A. Cid Ferreira","8003","1986","08","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2313638' target='other'> <mi>dwc_moreinfo</mi></a>","NY02158176","Magnoliophyta","Myrtales","Jacq.",NA,"Rio Trombetas, a jusante de Cachoeira Porteira. Margem do Lago Abuí","-57.0516345","-1.0837999","NY02158176_01","Pará","Oriximiná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","471871","PreservedSpecimen","Plantae","Combretaceae","Combretum","laxum","Combretum laxum","M. Silveira","1187","1996","05","03","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=332781' target='other'> <mi>dwc_moreinfo</mi></a>","NY00471871","Magnoliophyta","Myrtales","Jacq.",NA,"Bacia do Alto Juruá, Rio Moa, Volta da Aurora.","-72.9722","-7.5097","NY00471871_01","Acre","Mâncio Lima","C. A. Stace",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","02158111","PreservedSpecimen","Plantae","Combretaceae","Combretum","laxum","Combretum laxum","C. A. Cid Ferreira","3552","1982","11","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2312227' target='other'> <mi>dwc_moreinfo</mi></a>","NY02158111","Magnoliophyta","Myrtales","Jacq.",NA,"Novo Japurá. Rio Japurá, afluente do rio Solimões, ao longo do rio.","-67.016667","-1.9","NY02158111_01","Amazonas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","2158201","PreservedSpecimen","Plantae","Combretaceae","Combretum","laxum","Combretum laxum","D. C. Daly","1387","1981","11","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2313670' target='other'> <mi>dwc_moreinfo</mi></a>","NY02158201","Magnoliophyta","Myrtales","Jacq.",NA,"Rio Tocantins, 1 km E of Breu Branco, 44 km S of Tucuruí on old BR 422","-49.6735668","-4.1624743","NY02158201_01","Pará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","565560","PreservedSpecimen","Plantae","Combretaceae","Combretum","laxum","Combretum laxum","A. F. M. Glaziou","7607","1874","08","12","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=332786' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565560","Magnoliophyta","Myrtales","Jacq.",NA,"Larangeiras","-43.2075","-22.9031","NY00565560_01 NY00565560_02","Rio de Janeiro","Rio de Janeiro","N. M. F. d. Silva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","2158180","PreservedSpecimen","Plantae","Combretaceae","Combretum","laxum","Combretum laxum","J. M. Pires","50341","1961","08","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2313642' target='other'> <mi>dwc_moreinfo</mi></a>","NY02158180","Magnoliophyta","Myrtales","Jacq.",NA,"Porto Platón.","-51.37","0.73","NY02158180_01","Amapá",NA,NA,"67","67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
