"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","recordNumber","locality","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","typeStatus","individualCount","fieldNumber","previousCatalogNumber"
"1","2021-04-05 14:33:54-03","UNESC","CRI","5307","PreservedSpecimen","Plantae","Phytolaccaceae","Seguieria","aculeata","Seguieria aculeata","Jacq.","M. S. Marchioretto","1993","05","27","J. A. Jarenkow","1993","02","16","Brasil","Santa Catarina","Concórdia","-52.0275","-27.233056","52º1'39''W","27º13'59''S","CRI006079","CRI006079",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:47-03","UNESC","CRI","14910","PreservedSpecimen","Plantae","Phytolaccaceae","Seguieria","aculeata","Seguieria aculeata","Jacq.","Sobral, M","2009","07","17","Verdi, M.; Hasckel, R.P. & Klemz, G.","2009","03","03","Brasil","Santa Catarina","Iporã do Oeste","-53.459722","-26.955556","53º27'35''W","26º57'20''S","CRI014353","CRI014353","1689","Linha Iratim. Linha Iratim.","372","372","Florística IFFSC 2515(Arbórea) Habitat: Floresta Estacional Decidual; Estágio médio de regeneração Habito: arbórea; flor amarelo esverdeado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-08 15:16:32-03","UNESC","CRI","11321","PreservedSpecimen","Plantae","Phytolaccaceae","Seguieria","aculeata","Seguieria aculeata","Jacq.","A. L. de Gasper","2009","03","07","M. Verdi; R. P. Hasckel & G. Klemz","2009","03","06","Brasil","Santa Catarina","Mondaí","-53.416111","-27.0475","53º24'58''W","27º2'51''S","CRI010177",NA,NA,"Linha Cascalho","292","292","Planta doada pelo Herbário FURB (11168)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","625983","PreservedSpecimen","Plantae","Petiveriaceae","Seguieria","aculeata","Seguieria aculeata","Jacq.","J. G. Rohwer",NA,NA,NA,"P. K. H. Dusén","1915","03","16","Brazil","Paraná",NA,NA,NA,NA,NA,"NY00625983","NY00625983_01","16860","Patrimonio.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=409972' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Caryophyllales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","626033","PreservedSpecimen","Plantae","Petiveriaceae","Seguieria","aculeata","Seguieria aculeata","Jacq.","R. L. Liesner",NA,NA,NA,"R. Vásquez Martínez","1981","09","16","Peru","Loreto","Alto Amazonas","-76.13","-5.83",NA,NA,"NY00626033",NA,"2521","Yurimaguas, carretera a Tarapoto km 15.","170","170","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=409958' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Caryophyllales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","625985","PreservedSpecimen","Plantae","Petiveriaceae","Seguieria","aculeata","Seguieria aculeata","Jacq.","J. G. Rohwer",NA,NA,NA,"R. M. Klein","1964","03","02","Brazil","Santa Catarina","Itapiranga","-53.7119","-27.1694",NA,NA,"NY00625985","NY00625985_01","5.161","Coqueiro.","400","400","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=409965' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Caryophyllales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","625990","PreservedSpecimen","Plantae","Petiveriaceae","Seguieria","aculeata","Seguieria aculeata","Jacq.","J. G. Rohwer",NA,NA,NA,"R. Reitz","1958","01","28","Brazil","Santa Catarina","Vidal Ramos","-49.3556","-27.3919",NA,NA,"NY00625990","NY00625990_01","6.315","Sabiá.","750","750","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=409968' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Caryophyllales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","625992","PreservedSpecimen","Plantae","Petiveriaceae","Seguieria","aculeata","Seguieria aculeata","Jacq.","J. G. Rohwer",NA,NA,NA,"L. B. Smith","1957","02","23","Brazil","Santa Catarina",NA,NA,NA,NA,NA,"NY00625992","NY00625992_01","11725","Mun. Mondaí-Itapiranga. 29km south of Ipora.","300","400","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=409969' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Caryophyllales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","625982","PreservedSpecimen","Plantae","Petiveriaceae","Seguieria","aculeata","Seguieria aculeata","Jacq.","J. G. Rohwer",NA,NA,NA,"P. K. H. Dusén","1914","04","28","Brazil","Paraná",NA,"-50.012929","-25.234872",NA,NA,"NY00625982","NY00625982_01","14286","Villa Velha.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=409963' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Caryophyllales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","625987","PreservedSpecimen","Plantae","Petiveriaceae","Seguieria","aculeata","Seguieria aculeata","Jacq.","J. G. Rohwer",NA,NA,NA,"P. K. H. Dusén","1911","06","04","Brazil","Santa Catarina",NA,NA,NA,NA,NA,"NY00625987","NY00625987_01","11825","Herval.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=409960' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Caryophyllales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
